Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002987,8.815288,[56 38] ; [ 5 16],[49.86086957 44.13913043] ; [11.13913043  9.86086957],0
r4,1,0.003231,8.671971,[82 13] ; [13  9],[77.13675214 17.86324786] ; [17.86324786  4.13675214],0
b1,1,0.004453,8.089234,[26 69] ; [13  9],[31.66666667 63.33333333] ; [ 7.33333333 14.66666667],0
u2,1,0.009974,6.639566,[17 24] ; [8 1],[20.5 20.5] ; [4.5 4.5],0
p3,1,0.01,6.6349,[41 54] ; [ 3 19],[35.72649573 59.27350427] ; [ 8.27350427 13.72649573],0
n4,1,0.011341,6.411126,[69 25] ; [10 12],[64.01724138 29.98275862] ; [14.98275862  7.01724138],0
a7,1,0.046555,3.961402,[67 26] ; [11 11],[63.07826087 29.92173913] ; [14.92173913  7.07826087],0
r2,1,0.047673,3.921487,[85  8] ; [16  5],[82.39473684 10.60526316] ; [18.60526316  2.39473684],0
p11,1,0.076632,3.134928,[77 18] ; [14  8],[73.88888889 21.11111111] ; [17.11111111  4.88888889],0
r3,1,0.08219,3.021059,[90  4] ; [18  3],[88.27826087  5.72173913] ; [19.72173913  1.27826087],0
s4,1,0.087589,2.91813,[15 79] ; [ 7 15],[17.82758621 76.17241379] ; [ 4.17241379 17.82758621],0
n5,1,0.129593,2.297369,[67 27] ; [12 10],[64.01724138 29.98275862] ; [14.98275862  7.01724138],0
p5,1,0.166621,1.913084,[15 80] ; [ 1 21],[12.99145299 82.00854701] ; [ 3.00854701 18.99145299],0
u4,1,0.254752,1.297052,[ 1 94] ; [ 1 21],[ 1.62393162 93.37606838] ; [ 0.37606838 21.62393162],0
s8,1,0.266789,1.233182,[38 57] ; [ 6 16],[35.72649573 59.27350427] ; [ 8.27350427 13.72649573],0
p4,1,0.26827,1.22557,[46 47] ; [ 8 14],[43.66956522 49.33043478] ; [10.33043478 11.66956522],0
a4,1,0.282379,1.155605,[23 72] ; [ 3 19],[21.11111111 73.88888889] ; [ 4.88888889 17.11111111],0
d5,1,0.284327,1.14629,[67 28] ; [18  4],[69.01709402 25.98290598] ; [15.98290598  6.01709402],0
d1,1,0.296661,1.089143,[36 59] ; [11 11],[38.16239316 56.83760684] ; [ 8.83760684 13.16239316],0
a8,1,0.315108,1.009143,[11 78] ; [ 1 20],[ 9.70909091 79.29090909] ; [ 2.29090909 18.70909091],0
s6,1,0.317,1.001282,[59 33] ; [11 10],[56.99115044 35.00884956] ; [13.00884956  7.99115044],0
