Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,78.083669,[ 32 138] ; [280 201],[81.47465438 88.52534562] ; [230.52534562 250.47465438],1
a4,1,0.0,72.761251,[ 27 143] ; [259 224],[74.45635528 95.54364472] ; [211.54364472 271.45635528],1
a3,1,0.0,61.125321,[80 89] ; [382 101],[119.75153374  49.24846626] ; [342.24846626 140.75153374],1
d1,1,0.0,56.625125,[ 64 106] ; [340 144],[105.01529052  64.98470948] ; [298.98470948 185.01529052],1
u1,1,0.0,42.351495,[  7 163] ; [136 348],[ 37.17125382 132.82874618] ; [105.82874618 378.17125382],1
a6,1,0.0,29.875743,[106  64] ; [398  83],[131.61290323  38.38709677] ; [372.38709677 108.61290323],1
r1,1,0.0,29.216007,[117  52] ; [420  60],[139.83513097  29.16486903] ; [397.16486903  82.83513097],1
n4,1,0.0,26.754543,[102  67] ; [388  95],[127.00920245  41.99079755] ; [362.99079755 120.00920245],1
p4,1,4e-06,21.328903,[77 92] ; [315 164],[102.2345679  66.7654321] ; [289.7654321 189.2345679],1
d5,1,1.9e-05,18.324738,[124  46] ; [420  62],[141.8404908  28.1595092] ; [402.1595092  79.8404908],1
d3,1,4.6e-05,16.614244,[113  56] ; [395  87],[131.87711214  37.12288786] ; [376.12288786 105.87711214],1
r4,1,0.000118,14.823031,[147  23] ; [461  23],[158.04281346  11.95718654] ; [449.95718654  34.04281346],1
v2,1,0.000179,14.042853,[76 86] ; [295 168],[96.1632 65.8368] ; [274.8368 188.1632],1
v1,1,0.000187,13.954206,[67 97] ; [272 199],[87.55275591 76.44724409] ; [251.44724409 219.55275591],1
p9,1,0.000285,13.169382,[125  40] ; [417  59],[139.51638066  25.48361934] ; [402.48361934  73.51638066],1
d4,1,0.000754,11.350999,[130  40] ; [421  61],[143.66564417  26.33435583] ; [407.33435583  74.66564417],1
s5,1,0.001089,10.670401,[ 35 129] ; [163 301],[ 51.70700637 112.29299363] ; [146.29299363 317.70700637],0
s7,1,0.001902,9.642093,[ 59 104] ; [230 227],[75.97903226 87.02096774] ; [213.02096774 243.97903226],0
p10,1,0.001965,9.581765,[122  43] ; [404  73],[135.18691589  29.81308411] ; [390.81308411  86.18691589],0
s8,1,0.002829,8.914441,[ 55 115] ; [218 261],[71.51001541 98.48998459] ; [201.48998459 277.51001541],0
n5,1,0.003631,8.459509,[107  62] ; [360 120],[121.60708783  47.39291217] ; [345.39291217 134.60708783],0
s6,1,0.010767,6.503329,[100  68] ; [333 141],[113.30841121  54.69158879] ; [319.69158879 154.30841121],0
p8,1,0.019,5.501539,[75 93] ; [262 213],[88.04976672 79.95023328] ; [248.95023328 226.04976672],0
p3,1,0.019907,5.420054,[ 70 100] ; [247 232],[83.03543914 86.96456086] ; [233.96456086 245.03543914],0
p12,1,0.02592,4.961363,[  7 162] ; [ 46 433],[ 13.82253086 155.17746914] ; [ 39.17746914 439.82253086],0
r2,1,0.039293,4.248146,[157  12] ; [462  16],[161.6862442   7.3137558] ; [457.3137558  20.6862442],0
p6,1,0.070315,3.275655,[ 50 116] ; [181 296],[ 59.63608087 106.36391913] ; [171.36391913 305.63608087],0
s2,1,0.071364,3.251374,[76 93] ; [253 224],[86.06965944 82.93034056] ; [242.93034056 234.06965944],0
v4,1,0.073563,3.201675,[158  11] ; [466  16],[161.99078341   7.00921659] ; [462.00921659  19.99078341],0
p7,1,0.083687,2.9918,[94 70] ; [305 165],[103.21135647  60.78864353] ; [295.78864353 174.21135647],0
a1,1,0.08635,2.94113,[  3 167] ; [ 23 461],[  6.75840979 163.24159021] ; [ 19.24159021 464.75840979],0
u3,1,0.092304,2.833724,[49 40] ; [67 33],[54.62433862 34.37566138] ; [61.37566138 38.62433862],0
u4,1,0.104023,2.642756,[  1 169] ; [ 13 471],[  3.63914373 166.36085627] ; [ 10.36085627 473.63914373],0
b2,1,0.143499,2.140026,[25 63] ; [107 183],[30.73015873 57.26984127] ; [101.26984127 188.73015873],0
b3,1,0.143499,2.140026,[25 63] ; [107 183],[30.73015873 57.26984127] ; [101.26984127 188.73015873],0
s1,1,0.151393,2.058163,[  8 160] ; [ 12 463],[  5.22550544 162.77449456] ; [ 14.77449456 460.22550544],0
n6,1,0.177904,1.81505,[137  32] ; [411  70],[142.48  26.52] ; [405.52  75.48],0
b1,1,0.190131,1.716599,[ 51 119] ; [172 312],[ 57.96636086 112.03363914] ; [165.03363914 318.96636086],0
p2,1,0.242001,1.368899,[138  31] ; [411  70],[142.74  26.26] ; [406.26  74.74],0
v3,1,0.268999,1.221845,[ 58 104] ; [189 275],[63.9201278 98.0798722] ; [183.0798722 280.9201278],0
n3,1,0.330932,0.945247,[30  7] ; [73 27],[27.81751825  9.18248175] ; [75.18248175 24.81751825],0
