Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.155093,[49 13] ; [ 4 19],[38.65882353 23.34117647] ; [14.34117647  8.65882353],1
d5,1,0.012834,6.191838,[50 12] ; [13 11],[45.41860465 16.58139535] ; [17.58139535  6.41860465],0
u3,1,0.018191,5.577627,[13  3] ; [5 8],[9.93103448 6.06896552] ; [8.06896552 4.93103448],0
a3,1,0.019575,5.449446,[45 17] ; [11 13],[40.37209302 21.62790698] ; [15.62790698  8.37209302],0
n5,1,0.023603,5.123587,[26 36] ; [16  7],[30.63529412 31.36470588] ; [11.36470588 11.63529412],0
n2,1,0.033641,4.512857,[15  1] ; [6 4],[12.92307692  3.07692308] ; [8.07692308 1.92307692],0
s3,1,0.044396,4.041419,[37 23] ; [ 9 15],[32.85714286 27.14285714] ; [13.14285714 10.85714286],0
p3,1,0.084595,2.974325,[33 28] ; [ 8 16],[29.42352941 31.57647059] ; [11.57647059 12.42352941],0
p8,1,0.122787,2.381406,[31 30] ; [16  7],[34.13095238 26.86904762] ; [12.86904762 10.13095238],0
n3,1,0.124051,2.365414,[10  6] ; [9 1],[11.69230769  4.30769231] ; [7.30769231 2.69230769],0
s4,1,0.127781,2.319259,[14 48] ; [ 2 22],[11.53488372 50.46511628] ; [ 4.46511628 19.53488372],0
r1,1,0.150868,2.063455,[46 16] ; [14 10],[43.25581395 18.74418605] ; [16.74418605  7.25581395],0
r4,1,0.150868,2.063455,[46 16] ; [14 10],[43.25581395 18.74418605] ; [16.74418605  7.25581395],0
p9,1,0.150868,2.063455,[46 16] ; [14 10],[43.25581395 18.74418605] ; [16.74418605  7.25581395],0
a2,1,0.166071,1.918057,[13 49] ; [ 2 22],[10.81395349 51.18604651] ; [ 4.18604651 19.81395349],0
n1,1,0.16962,1.886299,[ 3 13] ; [4 5],[ 4.48 11.52] ; [2.52 6.48],0
b4,1,0.171467,1.870068,[36 26] ; [10 14],[33.1627907 28.8372093] ; [12.8372093 11.1627907],0
u2,1,0.197213,1.662896,[15  2] ; [9 4],[13.6  3.4] ; [10.4  2.6],0
b3,1,0.20297,1.620877,[ 9 31] ; [ 1 13],[ 7.40740741 32.59259259] ; [ 2.59259259 11.40740741],0
b2,1,0.20297,1.620877,[ 9 31] ; [ 1 13],[ 7.40740741 32.59259259] ; [ 2.59259259 11.40740741],0
r2,1,0.216741,1.525821,[50 11] ; [16  7],[47.92857143 13.07142857] ; [18.07142857  4.92857143],0
d2,1,0.221123,1.497066,[27 35] ; [ 7 17],[24.51162791 37.48837209] ; [ 9.48837209 14.51162791],0
a7,1,0.239563,1.383165,[42 20] ; [13 11],[39.65116279 22.34883721] ; [15.34883721  8.65116279],0
b5,1,0.239563,1.383165,[42 20] ; [13 11],[39.65116279 22.34883721] ; [15.34883721  8.65116279],0
r3,1,0.242429,1.366414,[57  5] ; [20  4],[55.51162791  6.48837209] ; [21.48837209  2.51162791],0
s7,1,0.24454,1.354232,[24 34] ; [ 6 16],[21.75 36.25] ; [ 8.25 13.75],0
s2,1,0.251837,1.313086,[26 35] ; [ 7 17],[23.68235294 37.31764706] ; [ 9.31764706 14.68235294],0
s6,1,0.274604,1.193603,[39 23] ; [12 12],[36.76744186 25.23255814] ; [14.23255814  9.76744186],0
p1,1,0.313049,1.017768,[ 2 60] ; [ 2 22],[ 2.88372093 59.11627907] ; [ 1.11627907 22.88372093],0
a5,1,0.376013,0.783695,[40 22] ; [13 11],[38.20930233 23.79069767] ; [14.79069767  9.20930233],0
p2,1,0.379581,0.772059,[50 10] ; [18  6],[48.57142857 11.42857143] ; [19.42857143  4.57142857],0
s8,1,0.408379,0.683515,[24 38] ; [ 7 17],[22.34883721 39.65116279] ; [ 8.65116279 15.34883721],0
s5,1,0.42993,0.623012,[15 46] ; [ 4 20],[13.63529412 47.36470588] ; [ 5.36470588 18.63529412],0
n4,1,0.453262,0.562482,[34 28] ; [11 13],[32.44186047 29.55813953] ; [12.55813953 11.44186047],0
s1,1,0.546913,0.362876,[ 3 58] ; [ 2 22],[ 3.58823529 57.41176471] ; [ 1.41176471 22.58823529],0
p5,1,0.552283,0.353242,[ 5 57] ; [ 1 22],[ 4.37647059 57.62352941] ; [ 1.62352941 21.37647059],0
p10,1,0.574848,0.314638,[42 19] ; [15  9],[40.90588235 20.09411765] ; [16.09411765  7.90588235],0
b1,1,0.57833,0.308943,[40 22] ; [17  7],[41.09302326 20.90697674] ; [15.90697674  8.09302326],0
p11,1,0.605072,0.267414,[43 19] ; [18  6],[43.97674419 18.02325581] ; [17.02325581  6.97674419],0
v3,1,0.629469,0.232782,[15 43] ; [ 5 19],[14.14634146 43.85365854] ; [ 5.85365854 18.14634146],0
a6,1,0.644642,0.212722,[42 20] ; [15  9],[41.09302326 20.90697674] ; [15.90697674  8.09302326],0
v4,1,0.65409,0.200782,[56  6] ; [20  3],[55.43529412  6.56470588] ; [20.56470588  2.43529412],0
v1,1,0.772185,0.08382,[26 35] ; [ 9 14],[25.41666667 35.58333333] ; [ 9.58333333 13.41666667],0
a8,1,0.787021,0.072998,[ 6 50] ; [ 2 21],[ 5.67088608 50.32911392] ; [ 2.32911392 20.67088608],0
p6,1,0.794852,0.067608,[20 38] ; [ 9 15],[20.51219512 37.48780488] ; [ 8.48780488 15.51219512],0
p4,1,0.875204,0.024665,[37 24] ; [15  9],[37.31764706 23.68235294] ; [14.68235294  9.31764706],0
a4,1,0.923958,0.009111,[20 42] ; [ 8 16],[20.18604651 41.81395349] ; [ 7.81395349 16.18604651],0
v2,1,0.945902,0.004604,[30 29] ; [11 11],[29.86419753 29.13580247] ; [11.13580247 10.86419753],0
