Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.6e-05,18.580865,[265  52] ; [16 15],[255.9683908  61.0316092] ; [25.0316092  5.9683908],1
p9,1,1.8e-05,18.361267,[290  25] ; [21 10],[283.13583815  31.86416185] ; [27.86416185  3.13583815],1
d3,1,5.1e-05,16.404129,[233  84] ; [12 19],[223.17528736  93.82471264] ; [21.82471264  9.17528736],1
p10,1,0.000229,13.577246,[284  31] ; [21 10],[277.6734104  37.3265896] ; [27.3265896  3.6734104],1
p11,1,0.00033,12.893388,[273  44] ; [19 12],[265.98850575  51.01149425] ; [26.01149425  4.98850575],1
v4,1,0.000727,11.419988,[305  10] ; [26  5],[301.34393064  13.65606936] ; [29.65606936  1.34393064],1
a2,1,0.001007,10.814426,[ 99 218] ; [ 1 30],[ 91.09195402 225.90804598] ; [ 8.90804598 22.09195402],0
d4,1,0.002691,9.00566,[270  46] ; [20 11],[264.09221902  51.90778098] ; [25.90778098  5.09221902],0
s7,1,0.00375,8.401295,[187 114] ; [10 19],[179.68787879 121.31212121] ; [17.31212121 11.68787879],0
r2,1,0.004288,8.157828,[300  13] ; [26  5],[296.62209302  16.37790698] ; [29.37790698  1.62209302],0
a3,1,0.00448,8.078288,[245  70] ; [17 14],[238.52601156  76.47398844] ; [23.47398844  7.52601156],0
r4,1,0.005966,7.560408,[298  19] ; [25  6],[294.22701149  22.77298851] ; [28.77298851  2.22701149],0
p8,1,0.006112,7.517056,[243  72] ; [17 14],[236.70520231  78.29479769] ; [23.29479769  7.70520231],0
s8,1,0.007603,7.12474,[170 144] ; [ 9 22],[162.91594203 151.08405797] ; [16.08405797 14.91594203],0
r3,1,0.00889,6.844693,[304  10] ; [27  4],[301.25797101  12.74202899] ; [29.74202899  1.25797101],0
v1,1,0.01955,5.451678,[197 114] ; [13 18],[190.96491228 120.03508772] ; [19.03508772 11.96491228],0
u1,1,0.020205,5.394054,[ 79 238] ; [ 2 29],[ 73.78448276 243.21551724] ; [ 7.21551724 23.78448276],0
u2,1,0.021237,5.307204,[44 27] ; [ 4 10],[40.09411765 30.90588235] ; [7.90588235 6.09411765],0
r1,1,0.03363,4.513395,[262  53] ; [21 10],[257.64450867  57.35549133] ; [25.35549133  5.64450867],0
v3,1,0.034881,4.450991,[155 154] ; [ 9 21],[149.48672566 159.51327434] ; [14.51327434 15.48672566],0
a5,1,0.037656,4.320474,[255  62] ; [20 11],[250.50287356  66.49712644] ; [24.49712644  6.50287356],0
d1,1,0.038413,4.286621,[203 114] ; [14 17],[197.66954023 119.33045977] ; [19.33045977 11.66954023],0
d5,1,0.054084,3.710109,[267  49] ; [22  9],[263.1815562  52.8184438] ; [25.8184438  5.1815562],0
d2,1,0.062597,3.467211,[168 149] ; [11 20],[163.0545977 153.9454023] ; [15.9454023 15.0545977],0
a4,1,0.079523,3.07463,[154 162] ; [10 21],[149.34870317 166.65129683] ; [14.65129683 16.34870317],0
n4,1,0.089045,2.891546,[263  53] ; [22  9],[259.5389049  56.4610951] ; [25.4610951  5.5389049],0
n5,1,0.089881,2.876499,[254  61] ; [21 10],[250.36127168  64.63872832] ; [24.63872832  6.36127168],0
s3,1,0.107926,2.584338,[188 125] ; [14 17],[183.79651163 129.20348837] ; [18.20348837 12.79651163],0
a6,1,0.117644,2.448412,[226  90] ; [18 13],[222.20172911  93.79827089] ; [21.79827089  9.20172911],0
p1,1,0.129349,2.300304,[ 39 277] ; [ 1 30],[ 36.42651297 279.57348703] ; [ 3.57348703 27.42651297],0
n6,1,0.150542,2.066752,[280  35] ; [24  6],[277.56521739  37.43478261] ; [26.43478261  3.56521739],0
s1,1,0.156732,2.005477,[  7 309] ; [ 2 29],[  8.19596542 307.80403458] ; [ 0.80403458 30.19596542],0
b3,1,0.167126,1.908533,[ 88 119] ; [ 6 16],[ 84.96943231 122.03056769] ; [ 9.03056769 12.96943231],0
b2,1,0.167126,1.908533,[ 88 119] ; [ 6 16],[ 84.96943231 122.03056769] ; [ 9.03056769 12.96943231],0
s2,1,0.193956,1.687309,[170 144] ; [13 18],[166.55652174 147.44347826] ; [16.44347826 14.55652174],0
s6,1,0.200182,1.641048,[221  85] ; [19 12],[217.92284866  88.07715134] ; [22.07715134  8.92284866],0
b4,1,0.213749,1.545852,[180 137] ; [14 17],[176.7183908 140.2816092] ; [17.2816092 13.7183908],0
p6,1,0.229481,1.444078,[176 136] ; [14 17],[172.82798834 139.17201166] ; [17.17201166 13.82798834],0
p5,1,0.307469,1.041518,[ 65 251] ; [ 4 27],[ 62.83573487 253.16426513] ; [ 6.16426513 24.83573487],0
s5,1,0.317969,0.997284,[130 174] ; [10 20],[127.4251497 176.5748503] ; [12.5748503 17.4251497],0
u3,1,0.38142,0.76612,[45 27] ; [7 7],[43.53488372 28.46511628] ; [8.46511628 5.53488372],0
