Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,26.837692,[109  52] ; [ 64 100],[85.70153846 75.29846154] ; [87.29846154 76.70153846],1
p2,1,1e-06,24.953686,[145  16] ; [114  55],[126.36060606  34.63939394] ; [132.63939394  36.36060606],1
p8,1,4.5e-05,16.633478,[100  58] ; [67 98],[81.69040248 76.30959752] ; [85.30959752 79.69040248],1
b5,1,0.000152,14.347289,[112  51] ; [82 88],[94.96096096 68.03903904] ; [99.03903904 70.96096096],1
p7,1,0.000435,12.373607,[111  47] ; [86 82],[95.47852761 62.52147239] ; [101.52147239  66.47852761],1
p11,1,0.001809,9.734032,[136  27] ; [117  53],[123.84084084  39.15915916] ; [129.15915916  40.84084084],0
p4,1,0.002684,9.010771,[100  62] ; [76 92],[86.4 75.6] ; [89.6 78.4],0
p3,1,0.003285,8.641925,[87 73] ; [ 65 105],[73.6969697 86.3030303] ; [78.3030303 91.6969697],0
v3,1,0.004706,7.989086,[66 92] ; [ 44 120],[ 53.97515528 104.02484472] ; [ 56.02484472 107.97515528],0
r1,1,0.006903,7.297996,[140  21] ; [128  42],[130.35649547  30.64350453] ; [137.64350453  32.35649547],0
u1,1,0.007362,7.182515,[ 36 127] ; [ 19 151],[ 26.92192192 136.07807808] ; [ 28.07807808 141.92192192],0
r3,1,0.011565,6.376391,[153   8] ; [148  22],[146.40785498  14.59214502] ; [154.59214502  15.40785498],0
v4,1,0.012146,6.289412,[152   8] ; [148  22],[145.45454545  14.54545455] ; [154.54545455  15.45454545],0
p6,1,0.01753,5.642478,[ 54 105] ; [ 37 130],[ 44.38343558 114.61656442] ; [ 46.61656442 120.38343558],0
p9,1,0.022445,5.210925,[135  26] ; [122  44],[126.5351682  34.4648318] ; [130.4648318  35.5351682],0
n5,1,0.031056,4.649871,[127  35] ; [114  54],[118.30909091  43.69090909] ; [122.69090909  45.30909091],0
r4,1,0.064018,3.430109,[145  18] ; [139  31],[139.01501502  23.98498498] ; [144.98498498  25.01501502],0
p10,1,0.066007,3.379637,[128  32] ; [119  48],[120.85626911  39.14373089] ; [126.14373089  40.85626911],0
s3,1,0.136259,2.21971,[ 30 131] ; [ 43 126],[ 35.61515152 125.38484848] ; [ 37.38484848 131.61515152],0
b4,1,0.147103,2.102042,[101  62] ; [92 78],[94.47147147 68.52852853] ; [98.52852853 71.47147147],0
n6,1,0.1567,2.005789,[133  29] ; [128  41],[127.74018127  34.25981873] ; [133.25981873  35.74018127],0
b3,1,0.200628,1.637795,[45 59] ; [36 68],[40.5 63.5] ; [40.5 63.5],0
b2,1,0.200628,1.637795,[45 59] ; [36 68],[40.5 63.5] ; [40.5 63.5],0
r2,1,0.202699,1.622818,[149  10] ; [150  17],[145.83128834  13.16871166] ; [153.16871166  13.83128834],0
s5,1,0.215387,1.534843,[ 28 133] ; [ 38 128],[ 32.49541284 128.50458716] ; [ 33.50458716 132.49541284],0
s6,1,0.233649,1.418509,[79 82] ; [71 96],[73.62804878 87.37195122] ; [76.37195122 90.62804878],0
d1,1,0.253465,1.304106,[103  60] ; [97 73],[97.8978979 65.1021021] ; [102.1021021  67.8978979],0
s8,1,0.254951,1.295967,[ 47 114] ; [ 40 129],[ 42.44545455 118.55454545] ; [ 44.55454545 124.44545455],0
a2,1,0.271882,1.207227,[ 48 115] ; [ 41 129],[ 43.56456456 119.43543544] ; [ 45.43543544 124.56456456],0
s1,1,0.272444,1.204399,[  2 159] ; [  5 162],[  3.43597561 157.56402439] ; [  3.56402439 163.43597561],0
a7,1,0.284256,1.146627,[121  41] ; [118  52],[116.62048193  45.37951807] ; [122.37951807  47.62048193],0
n2,1,0.29948,1.076509,[19  6] ; [40 22],[16.95402299  8.04597701] ; [42.04597701 19.95402299],0
d3,1,0.34497,0.891874,[118  45] ; [115  55],[114.05105105  48.94894895] ; [118.94894895  51.05105105],0
d2,1,0.399937,0.708516,[90 73] ; [85 83],[86.17824773 76.82175227] ; [88.82175227 79.17824773],0
n1,1,0.453966,0.56073,[ 8 17] ; [24 35],[ 9.52380952 15.47619048] ; [22.47619048 36.52380952],0
d5,1,0.458742,0.548962,[140  23] ; [141  29],[137.54654655  25.45345345] ; [143.45345345  26.54654655],0
s4,1,0.462758,0.539216,[ 14 146] ; [ 19 151],[ 16. 144.] ; [ 17. 153.],0
a1,1,0.510477,0.433089,[  7 156] ; [ 10 160],[  8.32132132 154.67867868] ; [  8.67867868 161.32132132],0
p12,1,0.53996,0.375614,[  9 151] ; [  7 161],[  7.80487805 152.19512195] ; [  8.19512195 159.80487805],0
u3,1,0.582465,0.302266,[20 18] ; [20 23],[18.7654321 19.2345679] ; [21.2345679 21.7654321],0
a3,1,0.651305,0.204259,[125  38] ; [126  43],[123.23192771  39.76807229] ; [127.76807229  41.23192771],0
