Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.001811,9.731449,[26  5] ; [17 19],[19.89552239 11.10447761] ; [23.10447761 12.89552239],0
d1,1,0.006075,7.52805,[24  7] ; [16 20],[18.50746269 12.49253731] ; [21.49253731 14.50746269],0
p4,1,0.010147,6.608919,[23  8] ; [15 20],[17.84848485 13.15151515] ; [20.15151515 14.84848485],0
p6,1,0.012453,6.245136,[17 14] ; [ 9 27],[12.02985075 18.97014925] ; [13.97014925 22.02985075],0
d4,1,0.022993,5.169063,[30  1] ; [28  8],[26.8358209  4.1641791] ; [31.1641791  4.8358209],0
p8,1,0.023663,5.119143,[14 17] ; [ 7 29],[ 9.71641791 21.28358209] ; [11.28358209 24.71641791],0
n1,1,0.025409,4.995771,[7 2] ; [ 5 11],[4.32 4.68] ; [7.68 8.32],0
b1,1,0.049426,3.860821,[22  9] ; [17 19],[18.04477612 12.95522388] ; [20.95522388 15.04477612],0
a4,1,0.061906,3.485563,[20 11] ; [15 21],[16.19402985 14.80597015] ; [18.80597015 17.19402985],0
d2,1,0.07073,3.266007,[23  8] ; [19 17],[19.43283582 11.56716418] ; [22.56716418 13.43283582],0
p9,1,0.073077,3.212513,[27  4] ; [24 11],[23.95454545  7.04545455] ; [27.04545455  7.95454545],0
a7,1,0.082854,3.008007,[18 13] ; [28  8],[21.28358209  9.71641791] ; [24.71641791 11.28358209],0
p7,1,0.100396,2.699246,[20 11] ; [16 20],[16.65671642 14.34328358] ; [19.34328358 16.65671642],0
v2,1,0.100396,2.699246,[20 11] ; [16 20],[16.65671642 14.34328358] ; [19.34328358 16.65671642],0
a5,1,0.106613,2.603719,[26  5] ; [24 12],[23.13432836  7.86567164] ; [26.86567164  9.13432836],0
d5,1,0.11994,2.41811,[29  2] ; [29  7],[26.8358209  4.1641791] ; [31.1641791  4.8358209],0
a3,1,0.147755,2.095272,[26  5] ; [24 11],[23.48484848  7.51515152] ; [26.51515152  8.48484848],0
p1,1,0.169063,1.891228,[ 6 24] ; [ 3 33],[ 4.09090909 25.90909091] ; [ 4.90909091 31.09090909],0
p2,1,0.198077,1.656499,[25  6] ; [24 12],[22.67164179  8.32835821] ; [26.32835821  9.67164179],0
a6,1,0.210362,1.568937,[16 15] ; [24 12],[18.50746269 12.49253731] ; [21.49253731 14.50746269],0
r3,1,0.273766,1.197778,[26  4] ; [34  2],[27.27272727  2.72727273] ; [32.72727273  3.27272727],0
b5,1,0.28218,1.156563,[22  9] ; [21 15],[19.89552239 11.10447761] ; [23.10447761 12.89552239],0
