Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.575866,[12 24] ; [42  7],[22.87058824 13.12941176] ; [31.12941176 17.87058824],1
n6,1,0.000167,14.175,[18 18] ; [42  6],[25.71428571 10.28571429] ; [34.28571429 13.71428571],1
s7,1,0.000663,11.590154,[ 7 27] ; [28 20],[14.51219512 19.48780488] ; [20.48780488 27.51219512],1
n1,1,0.010991,6.466837,[ 4 10] ; [12  4],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
a4,1,0.015072,5.908042,[11 25] ; [28 21],[16.51764706 19.48235294] ; [22.48235294 26.51764706],0
s6,1,0.01796,5.6,[18 18] ; [36 12],[23.14285714 12.85714286] ; [30.85714286 17.14285714],0
s3,1,0.02237,5.216791,[15 21] ; [32 16],[20.14285714 15.85714286] ; [26.85714286 21.14285714],0
s8,1,0.02542,4.995062,[ 8 28] ; [22 26],[12.85714286 23.14285714] ; [17.14285714 30.85714286],0
r2,1,0.031759,4.611457,[28  8] ; [45  3],[31.28571429  4.71428571] ; [41.71428571  6.28571429],0
a2,1,0.033946,4.497398,[ 3 33] ; [13 36],[ 6.77647059 29.22352941] ; [ 9.22352941 39.77647059],0
p9,1,0.039131,4.255165,[ 9 27] ; [23 26],[13.55294118 22.44705882] ; [18.44705882 30.55294118],0
s2,1,0.046324,3.96979,[12 24] ; [26 21],[16.48192771 19.51807229] ; [21.51807229 25.48192771],0
v4,1,0.059614,3.548091,[29  7] ; [46  3],[31.76470588  4.23529412] ; [43.23529412  5.76470588],0
r4,1,0.069658,3.291068,[25 11] ; [42  7],[28.37647059  7.62352941] ; [38.62352941 10.37647059],0
u1,1,0.079071,3.0839,[ 4 32] ; [13 36],[ 7.2 28.8] ; [ 9.8 39.2],0
a7,1,0.085198,2.962842,[20 16] ; [36 13],[23.71764706 12.28235294] ; [32.28235294 16.71764706],0
a3,1,0.095464,2.779733,[17 19] ; [32 17],[20.75294118 15.24705882] ; [28.24705882 20.75294118],0
d2,1,0.110269,2.550356,[15 21] ; [29 20],[18.63529412 17.36470588] ; [25.36470588 23.63529412],0
b2,1,0.114782,2.48711,[ 5 18] ; [15 21],[ 7.79661017 15.20338983] ; [12.20338983 23.79661017],0
b3,1,0.114782,2.48711,[ 5 18] ; [15 21],[ 7.79661017 15.20338983] ; [12.20338983 23.79661017],0
d5,1,0.119729,2.420863,[25 11] ; [41  8],[27.95294118  8.04705882] ; [38.04705882 10.95294118],0
d1,1,0.125016,2.353322,[16 20] ; [30 19],[19.48235294 16.51764706] ; [26.51764706 22.48235294],0
p6,1,0.133286,2.253804,[10 26] ; [21 27],[13.28571429 22.71428571] ; [17.71428571 30.28571429],0
a8,1,0.160602,1.968549,[ 2 31] ; [ 7 35],[ 3.96 29.04] ; [ 5.04 36.96],0
r1,1,0.226562,1.462317,[22 14] ; [36 13],[24.56470588 11.43529412] ; [33.43529412 15.56470588],0
s4,1,0.27611,1.186137,[ 5 31] ; [11 36],[ 6.93975904 29.06024096] ; [ 9.06024096 37.93975904],0
d4,1,0.28381,1.148754,[25 11] ; [39 10],[27.10588235  8.89411765] ; [36.89411765 12.10588235],0
p11,1,0.298891,1.079135,[15 21] ; [26 23],[17.36470588 18.63529412] ; [23.63529412 25.36470588],0
d3,1,0.370797,0.800993,[24 12] ; [37 12],[25.83529412 10.16470588] ; [35.16470588 13.83529412],0
p2,1,0.399134,0.710934,[25 11] ; [38 11],[26.68235294  9.31764706] ; [36.31764706 12.68235294],0
s1,1,0.441103,0.593411,[ 2 34] ; [ 5 44],[ 2.96470588 33.03529412] ; [ 4.03529412 44.96470588],0
p8,1,0.448532,0.574359,[15 21] ; [24 24],[16.71428571 19.28571429] ; [22.28571429 25.71428571],0
b4,1,0.47342,0.513983,[20 16] ; [31 18],[21.6 14.4] ; [29.4 19.6],0
u3,1,0.534772,0.385316,[12  7] ; [9 8],[11.08333333  7.91666667] ; [9.91666667 7.08333333],0
b1,1,0.54883,0.359418,[20 16] ; [24 25],[18.63529412 17.36470588] ; [25.36470588 23.63529412],0
a5,1,0.552215,0.353364,[22 14] ; [33 16],[23.29411765 12.70588235] ; [31.70588235 17.29411765],0
v1,1,0.644783,0.21254,[15 21] ; [18 31],[13.97647059 22.02352941] ; [19.02352941 29.97647059],0
p1,1,0.645581,0.211518,[ 4 32] ; [ 4 45],[ 3.38823529 32.61176471] ; [ 4.61176471 44.38823529],0
v2,1,0.728648,0.120357,[17 19] ; [24 23],[17.78313253 18.21686747] ; [23.21686747 23.78313253],0
s5,1,0.738434,0.111508,[ 8 27] ; [12 34],[ 8.64197531 26.35802469] ; [11.35802469 34.64197531],0
b5,1,0.739682,0.110406,[23 13] ; [33 16],[23.71764706 12.28235294] ; [32.28235294 16.71764706],0
a1,1,0.751187,0.100536,[ 2 34] ; [ 2 47],[ 1.69411765 34.30588235] ; [ 2.30588235 46.69411765],0
r3,1,0.770389,0.085186,[33  3] ; [44  5],[32.61176471  3.38823529] ; [44.38823529  4.61176471],0
n3,1,0.795809,0.066964,[9 5] ; [11  5],[9.33333333 4.66666667] ; [10.66666667  5.33333333],0
p7,1,0.819619,0.052,[20 16] ; [26 23],[19.48235294 16.51764706] ; [26.51764706 22.48235294],0
a6,1,0.884042,0.021271,[20 16] ; [28 21],[20.32941176 15.67058824] ; [27.67058824 21.32941176],0
n2,1,0.904201,0.014486,[10  3] ; [12  4],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
u2,1,0.967991,0.00161,[ 7 12] ; [ 6 10],[ 7.05714286 11.94285714] ; [ 5.94285714 10.05714286],0
p3,1,0.979361,0.000669,[19 17] ; [26 23],[19.05882353 16.94117647] ; [25.94117647 23.05882353],0
v3,1,0.98618,0.0003,[11 24] ; [15 33],[10.96385542 24.03614458] ; [15.03614458 32.96385542],0
