Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.027833,4.838375,[13 13] ; [22 60],[ 8.42592593 17.57407407] ; [26.57407407 55.42592593],0
n4,1,0.039306,4.247613,[21  5] ; [51 36],[16.56637168  9.43362832] ; [55.43362832 31.56637168],0
s7,1,0.059977,3.538023,[12 12] ; [25 60],[ 8.14678899 15.85321101] ; [28.85321101 56.14678899],0
s3,1,0.063122,3.453384,[15 10] ; [34 53],[10.9375 14.0625] ; [38.0625 48.9375],0
r4,1,0.066877,3.358063,[21  5] ; [54 34],[17.10526316  8.89473684] ; [57.89473684 30.10526316],0
s5,1,0.068695,3.313941,[ 8 18] ; [13 74],[ 4.83185841 21.16814159] ; [16.16814159 70.83185841],0
s2,1,0.097352,2.748398,[13 13] ; [28 59],[ 9.43362832 16.56637168] ; [31.56637168 55.43362832],0
p1,1,0.099745,2.70961,[ 5 21] ; [ 7 81],[ 2.73684211 23.26315789] ; [ 9.26315789 78.73684211],0
v1,1,0.104754,2.631631,[14 12] ; [31 55],[10.44642857 15.55357143] ; [34.55357143 51.44642857],0
r1,1,0.114795,2.486942,[18  8] ; [45 42],[14.49557522 11.50442478] ; [48.50442478 38.49557522],0
d3,1,0.124978,2.353797,[10 16] ; [20 66],[ 6.96428571 19.03571429] ; [23.03571429 62.96428571],0
s6,1,0.18087,1.790461,[15 10] ; [39 48],[12.05357143 12.94642857] ; [41.94642857 45.05357143],0
b3,1,0.21097,1.564754,[5 9] ; [ 9 37],[ 3.26666667 10.73333333] ; [10.73333333 35.26666667],0
b2,1,0.21097,1.564754,[5 9] ; [ 9 37],[ 3.26666667 10.73333333] ; [10.73333333 35.26666667],0
n5,1,0.213714,1.54609,[21  5] ; [60 28],[18.47368421  7.52631579] ; [62.52631579 25.47368421],0
n6,1,0.337373,0.920387,[20  6] ; [59 29],[18.01754386  7.98245614] ; [60.98245614 27.01754386],0
a5,1,0.33745,0.920097,[14 12] ; [38 50],[11.85964912 14.14035088] ; [40.14035088 47.85964912],0
a1,1,0.348745,0.87802,[ 2 24] ; [ 3 85],[ 1.14035088 24.85964912] ; [ 3.85964912 84.14035088],0
p5,1,0.355824,0.852579,[ 2 24] ; [ 3 84],[ 1.15044248 24.84955752] ; [ 3.84955752 83.15044248],0
p6,1,0.357529,0.846553,[ 7 19] ; [16 70],[ 5.33928571 20.66071429] ; [17.66071429 68.33928571],0
d2,1,0.358598,0.842796,[ 4 22] ; [21 67],[ 5.70175439 20.29824561] ; [19.29824561 68.70175439],0
p11,1,0.367619,0.811697,[14 12] ; [56 32],[15.96491228 10.03508772] ; [54.03508772 33.96491228],0
p2,1,0.390163,0.738435,[16 10] ; [62 26],[17.78947368  8.21052632] ; [60.21052632 27.78947368],0
s8,1,0.397907,0.714642,[ 9 17] ; [23 65],[ 7.29824561 18.70175439] ; [24.70175439 63.29824561],0
p10,1,0.432563,0.615932,[18  8] ; [51 33],[16.30909091  9.69090909] ; [52.69090909 31.30909091],0
a4,1,0.458086,0.550568,[ 4 22] ; [19 67],[ 5.33928571 20.66071429] ; [17.66071429 68.33928571],0
s1,1,0.463996,0.536239,[ 3 23] ; [ 6 79],[ 2.10810811 23.89189189] ; [ 6.89189189 78.10810811],0
v4,1,0.472632,0.515815,[23  3] ; [71 15],[21.82142857  4.17857143] ; [72.17857143 13.82142857],0
u2,1,0.492359,0.471368,[4 9] ; [21 30],[5.078125 7.921875] ; [19.921875 31.078125],0
p7,1,0.528295,0.397669,[10 15] ; [41 46],[11.38392857 13.61607143] ; [39.61607143 47.38392857],0
a3,1,0.530613,0.393218,[13 13] ; [37 49],[11.60714286 14.39285714] ; [38.39285714 47.60714286],0
s4,1,0.548883,0.359322,[ 4 22] ; [18 69],[ 5.0619469 20.9380531] ; [16.9380531 70.0619469],0
d5,1,0.590753,0.28917,[12 14] ; [35 52],[10.81415929 15.18584071] ; [36.18584071 50.81415929],0
p9,1,0.59411,0.283971,[18  8] ; [54 31],[16.86486486  9.13513514] ; [55.13513514 29.86486486],0
p8,1,0.603674,0.269491,[10 16] ; [28 57],[ 8.9009009 17.0990991] ; [29.0990991 55.9009009],0
a7,1,0.618158,0.248464,[14 12] ; [42 45],[12.88495575 13.11504425] ; [43.11504425 43.88495575],0
n1,1,0.729661,0.119423,[3 3] ; [17 23],[2.60869565 3.39130435] ; [17.39130435 22.60869565],0
n3,1,0.742668,0.107795,[4 1] ; [30 11],[3.69565217 1.30434783] ; [30.30434783 10.69565217],0
r3,1,0.772863,0.083309,[19  7] ; [66 21],[19.55752212  6.44247788] ; [65.44247788 21.55752212],0
u3,1,0.858785,0.031656,[5 8] ; [21 30],[5.28125 7.71875] ; [20.71875 30.28125],0
a2,1,0.878158,0.023502,[ 2 24] ; [ 6 82],[ 1.8245614 24.1754386] ; [ 6.1754386 81.8245614],0
b1,1,0.898712,0.016202,[11 15] ; [36 52],[10.71929825 15.28070175] ; [36.28070175 51.71929825],0
b5,1,0.949847,0.003956,[14 12] ; [48 40],[14.14035088 11.85964912] ; [47.85964912 40.14035088],0
a8,1,0.983915,0.000406,[ 3 21] ; [10 71],[ 2.97142857 21.02857143] ; [10.02857143 70.97142857],0
p4,1,0.993226,7.2e-05,[ 8 18] ; [27 61],[ 7.98245614 18.01754386] ; [27.01754386 60.98245614],0
b4,1,1.0,0.0,[13 13] ; [44 44],[13. 13.] ; [44. 44.],0
a6,1,1.0,0.0,[13 13] ; [44 44],[13. 13.] ; [44. 44.],0
