Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,31.640066,[228  20] ; [43 23],[214.03821656  33.96178344] ; [56.96178344  9.03821656],1
n5,1,2.2e-05,17.968214,[210  38] ; [41 26],[197.61269841  50.38730159] ; [53.38730159 13.61269841],1
p9,1,4.1e-05,16.817322,[229  19] ; [49 17],[219.56687898  28.43312102] ; [58.43312102  7.56687898],1
r3,1,0.00013,14.645392,[245   3] ; [60  7],[240.12698413   7.87301587] ; [64.87301587  2.12698413],1
n6,1,0.000172,14.109571,[221  26] ; [47 19],[211.48881789  35.51118211] ; [56.51118211  9.48881789],1
p7,1,0.000385,12.601719,[166  72] ; [31 36],[153.72459016  84.27540984] ; [43.27540984 23.72459016],1
n4,1,0.000597,11.78453,[212  36] ; [45 22],[202.33650794  45.66349206] ; [54.66349206 12.33650794],1
v3,1,0.001033,10.767513,[116 118] ; [17 47],[104.43624161 129.56375839] ; [28.56375839 35.43624161],0
p2,1,0.001385,10.225677,[218  30] ; [49 19],[209.5443038  38.4556962] ; [57.4556962 10.5443038],0
p4,1,0.001413,10.18883,[177  69] ; [35 33],[166.08917197  79.91082803] ; [45.91082803 22.08917197],0
r4,1,0.002567,9.091891,[235  13] ; [57 11],[229.16455696  18.83544304] ; [62.83544304  5.16455696],0
p8,1,0.002627,9.049913,[144 101] ; [26 42],[133.06709265 111.93290735] ; [36.93290735 31.06709265],0
a5,1,0.005392,7.743144,[214  34] ; [49 19],[206.40506329  41.59493671] ; [56.59493671 11.40506329],0
s1,1,0.016364,5.763358,[  8 237] ; [ 7 61],[ 11.74121406 233.25878594] ; [ 3.25878594 64.74121406],0
s8,1,0.022502,5.206509,[167  79] ; [36 32],[159.03821656  86.96178344] ; [43.96178344 24.03821656],0
d2,1,0.025417,4.995259,[177  70] ; [57 10],[184.07006369  62.92993631] ; [49.92993631 17.07006369],0
s2,1,0.040376,4.202032,[212  36] ; [51 17],[206.40506329  41.59493671] ; [56.59493671 11.40506329],0
p3,1,0.041588,4.151906,[148  98] ; [31 36],[140.68370607 105.31629393] ; [38.31629393 28.68370607],0
b1,1,0.050667,3.819233,[ 95 153] ; [35 33],[102.02531646 145.97468354] ; [27.97468354 40.02531646],0
p12,1,0.052227,3.768484,[ 37 210] ; [ 4 63],[ 32.25159236 214.74840764] ; [ 8.74840764 58.25159236],0
v2,1,0.053638,3.723925,[150  87] ; [32 32],[143.30232558  93.69767442] ; [38.69767442 25.30232558],0
v4,1,0.069298,3.299576,[239   9] ; [61  6],[236.19047619  11.80952381] ; [63.80952381  3.19047619],0
p1,1,0.073484,3.203436,[ 22 226] ; [11 56],[ 25.98095238 222.01904762] ; [ 7.01904762 59.98095238],0
