Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.5e-05,17.765803,[41 31] ; [58  7],[52.02919708 19.97080292] ; [46.97080292 18.02919708],1
v4,1,8.2e-05,15.519024,[48 24] ; [61  4],[57.28467153 14.71532847] ; [51.71532847 13.28467153],1
p9,1,0.000439,12.360216,[24 43] ; [42 21],[34.01538462 32.98461538] ; [31.98461538 31.01538462],1
p10,1,0.002077,9.47997,[23 47] ; [38 26],[31.86567164 38.13432836] ; [29.13432836 34.86567164],0
p7,1,0.003523,8.51473,[18 54] ; [31 32],[26.13333333 45.86666667] ; [22.86666667 40.13333333],0
r4,1,0.004297,8.1539,[37 36] ; [49 17],[45.16546763 27.83453237] ; [40.83453237 25.16546763],0
v1,1,0.008219,6.985161,[19 54] ; [31 34],[26.44927536 46.55072464] ; [23.55072464 41.44927536],0
a1,1,0.025327,5.001373,[10 63] ; [ 2 64],[ 6.30215827 66.69784173] ; [ 5.69784173 60.30215827],0
s2,1,0.026561,4.919115,[19 54] ; [29 37],[25.20863309 47.79136691] ; [22.79136691 43.20863309],0
s6,1,0.036032,4.395612,[24 47] ; [34 32],[30.05839416 40.94160584] ; [27.94160584 38.05839416],0
p8,1,0.036691,4.364686,[10 63] ; [18 46],[14.91970803 58.08029197] ; [13.08029197 50.91970803],0
s1,1,0.042691,4.107605,[ 9 63] ; [ 2 63],[ 5.7810219 66.2189781] ; [ 5.2189781 59.7810219],0
r1,1,0.061015,3.509569,[41 31] ; [47 18],[46.24817518 25.75182482] ; [41.75182482 23.24817518],0
r2,1,0.110965,2.540421,[57 13] ; [60  6],[60.22058824  9.77941176] ; [56.77941176  9.22058824],0
p1,1,0.11661,2.462274,[ 7 66] ; [ 2 64],[ 4.72661871 68.27338129] ; [ 4.27338129 61.72661871],0
s5,1,0.121136,2.402566,[11 58] ; [17 46],[14.63636364 54.36363636] ; [13.36363636 49.63636364],0
v2,1,0.129963,2.29295,[22 48] ; [27 34],[26.18320611 43.81679389] ; [22.81679389 38.18320611],0
s8,1,0.135632,2.226831,[13 59] ; [19 47],[16.69565217 55.30434783] ; [15.30434783 50.69565217],0
d4,1,0.157189,2.001061,[50 22] ; [52 13],[53.60583942 18.39416058] ; [48.39416058 16.60583942],0
s3,1,0.160185,1.972481,[26 45] ; [32 34],[30.05839416 40.94160584] ; [27.94160584 38.05839416],0
b4,1,0.181761,1.783166,[36 37] ; [40 26],[39.91366906 33.08633094] ; [36.08633094 29.91366906],0
a6,1,0.189279,1.723224,[39 33] ; [43 23],[42.7826087 29.2173913] ; [39.2173913 26.7826087],0
b5,1,0.195155,1.678263,[42 31] ; [45 21],[45.69064748 27.30935252] ; [41.30935252 24.69064748],0
n6,1,0.200506,1.638689,[36 36] ; [39 25],[39.70588235 32.29411765] ; [35.29411765 28.70588235],0
b1,1,0.207178,1.591037,[41 32] ; [30 36],[37.28776978 35.71223022] ; [33.71223022 32.28776978],0
n2,1,0.22485,1.473146,[21 16] ; [20  8],[23.33846154 13.66153846] ; [17.66153846 10.33846154],0
n3,1,0.233456,1.419677,[18 16] ; [19  9],[20.29032258 13.70967742] ; [16.70967742 11.29032258],0
p6,1,0.237134,1.397551,[10 61] ; [14 50],[12.62222222 58.37777778] ; [11.37777778 52.62222222],0
a5,1,0.304887,1.052694,[45 28] ; [35 31],[42.01438849 30.98561151] ; [37.98561151 28.01438849],0
n1,1,0.310292,1.029434,[17 20] ; [ 9 18],[15.03125 21.96875] ; [10.96875 16.03125],0
u2,1,0.347736,0.8817,[ 9 17] ; [11 12],[10.6122449 15.3877551] ; [ 9.3877551 13.6122449],0
s7,1,0.347854,0.881271,[18 48] ; [22 41],[20.46511628 45.53488372] ; [19.53488372 43.46511628],0
p3,1,0.369986,0.803713,[12 60] ; [15 51],[14.08695652 57.91304348] ; [12.91304348 53.08695652],0
a7,1,0.391868,0.733139,[46 26] ; [46 19],[48.35036496 23.64963504] ; [43.64963504 21.35036496],0
u1,1,0.455297,0.557432,[ 7 66] ; [ 9 57],[ 8.4028777 64.5971223] ; [ 7.5971223 58.4028777],0
n4,1,0.506082,0.44216,[45 27] ; [37 28],[43.09489051 28.90510949] ; [38.90510949 26.09489051],0
a3,1,0.703685,0.144667,[47 24] ; [41 24],[45.94117647 25.05882353] ; [42.05882353 22.94117647],0
a4,1,0.73371,0.115732,[30 41] ; [26 40],[29.02189781 41.97810219] ; [26.97810219 39.02189781],0
d2,1,0.77551,0.081325,[34 37] ; [30 36],[33.16788321 37.83211679] ; [30.83211679 35.16788321],0
a8,1,0.818838,0.052459,[ 8 62] ; [ 6 53],[ 7.59689922 62.40310078] ; [ 6.40310078 52.59689922],0
b2,1,0.837105,0.042271,[18 28] ; [10 14],[18.4 27.6] ; [ 9.6 14.4],0
b3,1,0.837105,0.042271,[18 28] ; [10 14],[18.4 27.6] ; [ 9.6 14.4],0
d5,1,0.848557,0.036466,[51 21] ; [47 18],[51.50364964 20.49635036] ; [46.49635036 18.50364964],0
n5,1,0.86751,0.02783,[42 30] ; [37 28],[41.51824818 30.48175182] ; [37.48175182 27.51824818],0
v3,1,0.877723,0.023672,[17 52] ; [16 46],[17.38167939 51.61832061] ; [15.61832061 46.38167939],0
d1,1,0.894678,0.017526,[34 39] ; [30 36],[33.61151079 39.38848921] ; [30.38848921 35.61151079],0
a2,1,0.90059,0.015604,[15 58] ; [13 53],[14.70503597 58.29496403] ; [13.29496403 52.70503597],0
u3,1,0.917616,0.010699,[ 9 17] ; [ 9 16],[ 9.17647059 16.82352941] ; [ 8.82352941 16.17647059],0
p5,1,0.934072,0.006843,[ 1 72] ; [ 1 64],[ 1.05797101 71.94202899] ; [ 0.94202899 64.05797101],0
s4,1,0.938449,0.005963,[14 59] ; [13 53],[14.17985612 58.82014388] ; [12.82014388 53.17985612],0
d3,1,0.951462,0.003705,[39 33] ; [35 29],[39.17647059 32.82352941] ; [34.82352941 29.17647059],0
