Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,143.668966,[596  24] ; [13 18],[580.  40.] ; [29.  2.],1
v4,1,0.0,84.029044,[604  15] ; [20 11],[594.24  24.76] ; [29.76  1.24],1
r1,1,0.0,48.137257,[521  96] ; [11 20],[506.54938272 110.45061728] ; [25.45061728  5.54938272],1
d1,1,7.8e-05,15.598565,[381 239] ; [ 8 23],[370.47619048 249.52380952] ; [18.52380952 12.47619048],1
a7,1,0.000799,11.243854,[451 167] ; [14 17],[442.78890601 175.21109399] ; [22.21109399  8.78890601],1
a2,1,0.002816,8.922697,[170 450] ; [ 1 30],[162.85714286 457.14285714] ; [ 8.14285714 22.85714286],0
a6,1,0.003635,8.457797,[431 185] ; [14 17],[423.67851623 192.32148377] ; [21.32148377  9.67851623],0
d3,1,0.004845,7.93639,[427 189] ; [14 17],[419.87017002 196.12982998] ; [21.12982998  9.87017002],0
a5,1,0.007599,7.125587,[471 148] ; [17 14],[464.72615385 154.27384615] ; [23.27384615  7.72615385],0
n4,1,0.009581,6.711167,[553  66] ; [23  8],[548.52923077  70.47076923] ; [27.47076923  3.52923077],0
d5,1,0.009729,6.683931,[511 106] ; [20 11],[505.59722222 111.40277778] ; [25.40277778  5.59722222],0
d4,1,0.010049,6.626177,[509 106] ; [20 11],[503.61455108 111.38544892] ; [25.38544892  5.61455108],0
s3,1,0.012233,6.276784,[365 246] ; [11 19],[358.4024961 252.5975039] ; [17.5975039 12.4024961],0
a4,1,0.015078,5.907359,[297 320] ; [ 8 23],[290.40895062 326.59104938] ; [14.59104938 16.40895062],0
v1,1,0.020191,5.395336,[361 243] ; [12 19],[354.79055118 249.20944882] ; [18.20944882 12.79055118],0
s2,1,0.020674,5.354081,[336 276] ; [10 20],[329.8317757 282.1682243] ; [16.1682243 13.8317757],0
a3,1,0.022291,5.222907,[454 163] ; [17 14],[448.46759259 168.53240741] ; [22.53240741  8.46759259],0
s7,1,0.022542,5.203465,[319 270] ; [ 9 19],[313.11507293 275.88492707] ; [14.88492707 13.11507293],0
s5,1,0.024639,5.049074,[213 381] ; [ 5 26],[207.1872 386.8128] ; [10.8128 20.1872],0
p2,1,0.027452,4.862146,[526  89] ; [22  9],[521.70278638  93.29721362] ; [26.29721362  4.70278638],0
n6,1,0.033662,4.5118,[565  53] ; [24  6],[561.73148148  56.26851852] ; [27.26851852  2.73148148],0
s6,1,0.045072,4.015948,[434 172] ; [17 14],[429.05180534 176.94819466] ; [21.94819466  9.05180534],0
u1,1,0.055776,3.658721,[127 493] ; [ 2 29],[122.85714286 497.14285714] ; [ 6.14285714 24.85714286],0
d2,1,0.088986,2.892618,[315 301] ; [11 20],[310.38021638 305.61978362] ; [15.61978362 15.38021638],0
u3,1,0.099471,2.713998,[97 69] ; [5 9],[94.06666667 71.93333333] ; [7.93333333 6.06666667],0
p3,1,0.103733,2.647194,[330 285] ; [12 19],[325.58823529 289.41176471] ; [16.41176471 14.58823529],0
p6,1,0.111399,2.534263,[244 364] ; [ 8 23],[239.77464789 368.22535211] ; [12.22535211 18.77464789],0
p7,1,0.158032,1.99296,[404 198] ; [17 14],[400.38230648 201.61769352] ; [20.61769352 10.38230648],0
s8,1,0.163563,1.940974,[297 318] ; [11 20],[293.21981424 321.78018576] ; [14.78018576 16.21981424],0
s1,1,0.243429,1.360628,[ 17 590] ; [ 2 29],[ 18.07680251 588.92319749] ; [ 0.92319749 30.07680251],0
p11,1,0.271679,1.20825,[513 107] ; [28  3],[515.23809524 104.76190476] ; [25.76190476  5.23809524],0
p5,1,0.314054,1.013549,[ 80 533] ; [ 6 25],[ 81.86024845 531.13975155] ; [ 4.13975155 26.86024845],0
v3,1,0.352258,0.865307,[263 335] ; [11 20],[260.49602544 337.50397456] ; [13.50397456 17.49602544],0
b3,1,0.370236,0.802873,[151 226] ; [ 6 14],[149.0906801 227.9093199] ; [ 7.9093199 12.0906801],0
