Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,98.231264,[146   8] ; [10 30],[123.83505155  30.16494845] ; [32.16494845  7.83505155],1
n6,1,0.0,27.543639,[146   7] ; [26 13],[137.0625  15.9375] ; [34.9375  4.0625],1
a3,1,0.000973,10.878523,[139  15] ; [28 12],[132.56701031  21.43298969] ; [34.43298969  5.56701031],1
p7,1,0.003204,8.687764,[117  33] ; [20 17],[109.89304813  40.10695187] ; [27.10695187  9.89304813],0
s7,1,0.007605,7.124279,[106  44] ; [17 19],[99.19354839 50.80645161] ; [23.80645161 12.19354839],0
p11,1,0.010925,6.47751,[129  26] ; [26 14],[123.20512821  31.79487179] ; [31.79487179  8.20512821],0
p2,1,0.012073,6.300061,[139  16] ; [29 10],[134.22680412  20.77319588] ; [33.77319588  5.22680412],0
r1,1,0.012705,6.209736,[138  16] ; [29 10],[133.25388601  20.74611399] ; [33.74611399  5.25388601],0
v3,1,0.013453,6.108577,[78 74] ; [11 27],[71.2 80.8] ; [17.8 20.2],0
r4,1,0.017794,5.616359,[148   7] ; [34  6],[144.66666667  10.33333333] ; [37.33333333  2.66666667],0
s4,1,0.019465,5.459252,[ 33 118] ; [16 24],[ 38.7382199 112.2617801] ; [10.2617801 29.7382199],0
p5,1,0.025596,4.983132,[ 37 118] ; [ 3 36],[ 31.95876289 123.04123711] ; [ 8.04123711 30.95876289],0
n2,1,0.031864,4.605801,[22  2] ; [11  6],[19.31707317  4.68292683] ; [13.68292683  3.31707317],0
v1,1,0.032347,4.579991,[107  47] ; [20 19],[101.33678756  52.66321244] ; [25.66321244 13.33678756],0
v4,1,0.035919,4.400964,[150   4] ; [36  4],[147.64948454   6.35051546] ; [38.35051546  1.64948454],0
p10,1,0.036805,4.359412,[144  11] ; [32  7],[140.6185567  14.3814433] ; [35.3814433  3.6185567],0
p4,1,0.047723,3.919699,[118  35] ; [24 15],[113.15625  39.84375] ; [28.84375 10.15625],0
u1,1,0.048847,3.880594,[ 52 103] ; [ 7 33],[ 46.8974359 108.1025641] ; [12.1025641 27.8974359],0
d2,1,0.063469,3.444329,[117  35] ; [25 15],[112.41666667  39.58333333] ; [29.58333333 10.41666667],0
p12,1,0.103269,2.65432,[ 23 131] ; [ 2 37],[ 19.94818653 134.05181347] ; [ 5.05181347 33.94818653],0
a2,1,0.126646,2.333141,[63 92] ; [11 29],[58.82051282 96.17948718] ; [15.17948718 24.82051282],0
p8,1,0.137751,2.202899,[96 56] ; [19 19],[92. 60.] ; [23. 15.],0
p9,1,0.1492,2.080408,[141  12] ; [33  6],[138.65625  14.34375] ; [35.34375  3.65625],0
p6,1,0.151936,2.052703,[78 74] ; [15 24],[74.0104712 77.9895288] ; [18.9895288 20.0104712],0
a6,1,0.171407,1.870595,[109  44] ; [24 16],[105.43523316  47.56476684] ; [27.56476684 12.43523316],0
a5,1,0.20861,1.581045,[142  13] ; [34  6],[139.8974359  15.1025641] ; [36.1025641  3.8974359],0
a4,1,0.235128,1.409569,[101  54] ; [22 18],[97.76923077 57.23076923] ; [25.23076923 14.76923077],0
n3,1,0.247473,1.337513,[19  5] ; [10  6],[17.4  6.6] ; [11.6  4.4],0
s8,1,0.293194,1.104896,[98 55] ; [22 18],[95.12953368 57.87046632] ; [24.87046632 15.12953368],0
v2,1,0.331032,0.944856,[97 55] ; [21 17],[94.4 57.6] ; [23.6 14.4],0
b5,1,0.42175,0.645435,[82 73] ; [24 16],[84.25641026 70.74358974] ; [21.74358974 18.25641026],0
s1,1,0.443676,0.586757,[  4 148] ; [ 2 38],[  4.75 147.25] ; [ 1.25 38.75],0
n1,1,0.475701,0.508702,[14 10] ; [8 9],[12.87804878 11.12195122] ; [9.12195122 7.87804878],0
a1,1,0.635516,0.224654,[ 11 144] ; [ 2 38],[ 10.33333333 144.66666667] ; [ 2.66666667 37.33333333],0
b1,1,0.666423,0.185815,[60 95] ; [14 26],[58.82051282 96.17948718] ; [15.17948718 24.82051282],0
p1,1,0.684312,0.165312,[ 20 135] ; [ 6 33],[ 20.77319588 134.22680412] ; [ 5.22680412 33.77319588],0
s3,1,0.738277,0.111647,[109  41] ; [28 12],[108.15789474  41.84210526] ; [28.84210526 11.15789474],0
s6,1,0.760331,0.093053,[131  22] ; [35  5],[131.59585492  21.40414508] ; [34.40414508  5.59585492],0
d3,1,0.764152,0.090019,[136  18] ; [36  4],[136.53608247  17.46391753] ; [35.46391753  4.53608247],0
u2,1,0.795012,0.0675,[8 7] ; [7 5],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
