Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.435885,[ 86 127] ; [49 16],[103.4352518 109.5647482] ; [31.5647482 33.4352518],1
s8,1,0.000145,14.438662,[ 67 158] ; [36 29],[ 79.9137931 145.0862069] ; [23.0862069 41.9137931],1
p8,1,0.000652,11.620268,[ 69 151] ; [35 29],[ 80.56338028 139.43661972] ; [23.43661972 40.56338028],1
p1,1,0.004749,7.972482,[  9 213] ; [ 9 57],[ 13.875 208.125] ; [ 4.125 61.875],0
v1,1,0.006374,7.441374,[ 87 130] ; [38 26],[ 96.53024911 120.46975089] ; [28.46975089 35.53024911],0
v3,1,0.006896,7.299843,[ 66 151] ; [32 34],[ 75.14487633 141.85512367] ; [22.85512367 43.14487633],0
b1,1,0.011614,6.368792,[ 65 160] ; [30 36],[ 73.45360825 151.54639175] ; [21.54639175 44.45360825],0
a5,1,0.014384,5.990398,[137  88] ; [51 15],[145.36082474  79.63917526] ; [42.63917526 23.36082474],0
s7,1,0.036355,4.380365,[ 76 142] ; [32 33],[ 83.19434629 134.80565371] ; [24.80565371 40.19434629],0
r4,1,0.046482,3.964054,[190  35] ; [62  4],[194.84536082  30.15463918] ; [57.15463918  8.84536082],0
p10,1,0.056008,3.651808,[167  57] ; [55  9],[172.66666667  51.33333333] ; [49.33333333 14.66666667],0
u1,1,0.061633,3.49288,[ 22 203] ; [12 54],[ 26.28865979 198.71134021] ; [ 7.71134021 58.28865979],0
b4,1,0.064971,3.405721,[141  84] ; [33 33],[134.53608247  90.46391753] ; [39.46391753 26.53608247],0
d3,1,0.064971,3.405721,[141  84] ; [33 33],[134.53608247  90.46391753] ; [39.46391753 26.53608247],0
a3,1,0.06604,3.3788,[142  83] ; [49 16],[148.18965517  76.81034483] ; [42.81034483 22.18965517],0
v2,1,0.070017,3.282623,[105 104] ; [41 24],[111.3649635  97.6350365] ; [34.6350365 30.3649635],0
b2,1,0.07324,3.208869,[38 85] ; [21 25],[42.9408284 80.0591716] ; [16.0591716 29.9408284],0
b3,1,0.07324,3.208869,[38 85] ; [21 25],[42.9408284 80.0591716] ; [16.0591716 29.9408284],0
a1,1,0.113229,2.508561,[  5 220] ; [ 4 62],[  6.95876289 218.04123711] ; [ 2.04123711 63.95876289],0
a8,1,0.117398,2.451701,[ 34 176] ; [ 5 56],[ 30.22140221 179.77859779] ; [ 8.77859779 52.22140221],0
p9,1,0.117652,2.4483,[179  43] ; [57  7],[183.18881119  38.81118881] ; [52.81118881 11.18881119],0
p5,1,0.169688,1.885701,[  8 215] ; [ 5 61],[ 10.03114187 212.96885813] ; [ 2.96885813 63.03114187],0
s5,1,0.175956,1.831452,[ 54 164] ; [21 42],[ 58.18505338 159.81494662] ; [16.81494662 46.18505338],0
a2,1,0.203874,1.614401,[ 33 192] ; [14 52],[ 36.34020619 188.65979381] ; [10.65979381 55.34020619],0
n4,1,0.227604,1.45577,[153  72] ; [50 16],[156.95876289  68.04123711] ; [46.04123711 19.95876289],0
a7,1,0.238019,1.392287,[150  74] ; [39 27],[145.9862069  78.0137931] ; [43.0137931 22.9862069],0
a4,1,0.249491,1.326154,[ 78 147] ; [28 38],[ 81.95876289 143.04123711] ; [24.04123711 41.95876289],0
u2,1,0.261599,1.260275,[46 36] ; [ 7 10],[43.8989899 38.1010101] ; [9.1010101 7.8989899],0
v4,1,0.277594,1.178832,[202  19] ; [63  3],[204.05923345  16.94076655] ; [60.94076655  5.05923345],0
d5,1,0.324199,0.971933,[160  65] ; [51 15],[163.1443299  61.8556701] ; [47.8556701 18.1443299],0
p6,1,0.355621,0.853297,[ 33 190] ; [12 49],[ 35.33450704 187.66549296] ; [ 9.66549296 51.33450704],0
n2,1,0.365001,0.820612,[52 17] ; [8 1],[53.07692308 15.92307692] ; [6.92307692 2.07692308],0
u3,1,0.377267,0.779589,[44 39] ; [11  6],[45.65 37.35] ; [9.35 7.65],0
n1,1,0.435821,0.607262,[24 44] ; [2 7],[22.96103896 45.03896104] ; [3.03896104 5.96103896],0
s3,1,0.442541,0.589684,[112 109] ; [37 29],[114.73519164 106.26480836] ; [34.26480836 31.73519164],0
d4,1,0.45003,0.570576,[173  51] ; [48 18],[170.70344828  53.29655172] ; [50.29655172 15.70344828],0
s4,1,0.465751,0.532039,[ 35 187] ; [ 8 58],[ 33.14583333 188.85416667] ; [ 9.85416667 56.14583333],0
d2,1,0.512062,0.42985,[ 83 141] ; [27 38],[ 85.25951557 138.74048443] ; [24.74048443 40.25951557],0
n5,1,0.523036,0.407903,[146  77] ; [46 20],[148.15224913  74.84775087] ; [43.84775087 22.15224913],0
r3,1,0.598745,0.276893,[212  10] ; [64  2],[212.75   9.25] ; [63.25  2.75],0
p2,1,0.625633,0.23803,[170  54] ; [52 14],[171.47586207  52.52413793] ; [50.52413793 15.47586207],0
p12,1,0.63469,0.225754,[ 14 209] ; [ 3 61],[ 13.20905923 209.79094077] ; [ 3.79094077 60.20905923],0
s6,1,0.662202,0.190859,[125  97] ; [38 26],[126.52447552  95.47552448] ; [36.47552448 27.52447552],0
n3,1,0.671509,0.179842,[49 20] ; [7 2],[49.53846154 19.46153846] ; [6.46153846 2.53846154],0
s2,1,0.718118,0.130303,[ 92 130] ; [29 37],[ 93.27083333 128.72916667] ; [27.72916667 38.27083333],0
s1,1,0.726838,0.122034,[  5 215] ; [ 2 64],[  5.38461538 214.61538462] ; [ 1.61538462 64.38461538],0
b5,1,0.742789,0.10769,[138  87] ; [39 27],[136.8556701  88.1443299] ; [40.1443299 25.8556701],0
a6,1,0.799325,0.064629,[145  80] ; [43 22],[145.86206897  79.13793103] ; [42.13793103 22.86206897],0
n6,1,0.823325,0.04985,[184  40] ; [55 11],[184.60689655  39.39310345] ; [54.39310345 11.60689655],0
r1,1,0.849821,0.035852,[167  58] ; [49 16],[167.5862069  57.4137931] ; [48.4137931 16.5862069],0
d1,1,0.914732,0.011464,[104 121] ; [31 35],[104.3814433 120.6185567] ; [30.6185567 35.3814433],0
