Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,73.242211,[112  19] ; [22 59],[82.80188679 48.19811321] ; [51.19811321 29.80188679],1
n6,1,0.000106,15.019965,[103  29] ; [42 38],[90.28301887 41.71698113] ; [54.71698113 25.28301887],1
s4,1,0.002333,9.267001,[ 19 112] ; [26 55],[ 27.80660377 103.19339623] ; [17.19339623 63.80660377],0
n1,1,0.007819,7.074567,[27 21] ; [ 8 23],[21.26582278 26.73417722] ; [13.73417722 17.26582278],0
p5,1,0.009291,6.765976,[ 14 116] ; [ 1 79],[  9.28571429 120.71428571] ; [ 5.71428571 74.28571429],0
s8,1,0.016588,5.739403,[54 77] ; [20 60],[45.94312796 85.05687204] ; [28.05687204 51.94312796],0
v1,1,0.025059,5.019776,[66 66] ; [27 52],[58.18009479 73.81990521] ; [34.81990521 44.18009479],0
s7,1,0.041824,4.142319,[60 62] ; [25 48],[53.17948718 68.82051282] ; [31.82051282 41.17948718],0
u2,1,0.042289,4.123594,[14 27] ; [17 12],[18.15714286 22.84285714] ; [12.84285714 16.15714286],0
r3,1,0.067144,3.351506,[107  23] ; [74  7],[111.51658768  18.48341232] ; [69.48341232 11.51658768],0
b2,1,0.077211,3.122643,[25 46] ; [ 6 27],[21.16346154 49.83653846] ; [ 9.83653846 23.16346154],0
b3,1,0.077211,3.122643,[25 46] ; [ 6 27],[21.16346154 49.83653846] ; [ 9.83653846 23.16346154],0
a1,1,0.082641,3.01219,[ 11 121] ; [ 2 79],[  8.05633803 123.94366197] ; [ 4.94366197 76.05633803],0
p6,1,0.083125,3.002711,[44 85] ; [18 61],[38.45192308 90.54807692] ; [23.54807692 55.45192308],0
p9,1,0.088542,2.900675,[86 42] ; [42 34],[80.31372549 47.68627451] ; [47.68627451 28.31372549],0
p2,1,0.141606,2.160417,[90 41] ; [47 33],[85.05687204 45.94312796] ; [51.94312796 28.05687204],0
p10,1,0.142044,2.155675,[75 53] ; [37 40],[69.93170732 58.06829268] ; [42.06829268 34.93170732],0
p4,1,0.152777,2.044304,[63 68] ; [30 49],[58.01428571 72.98571429] ; [34.98571429 44.01428571],0
n2,1,0.15878,1.985806,[38 12] ; [19 12],[35.18518519 14.81481481] ; [21.81481481  9.18518519],0
b4,1,0.201071,1.634579,[68 64] ; [49 32],[72.50704225 59.49295775] ; [44.49295775 36.50704225],0
d4,1,0.20146,1.631756,[96 34] ; [66 15],[99.81042654 30.18957346] ; [62.18957346 18.81042654],0
p7,1,0.218446,1.514554,[64 64] ; [33 47],[59.69230769 68.30769231] ; [37.30769231 42.69230769],0
v2,1,0.272959,1.201815,[56 73] ; [39 37],[59.7804878 69.2195122] ; [35.2195122 40.7804878],0
d1,1,0.301926,1.06567,[67 65] ; [47 34],[70.64788732 61.35211268] ; [43.35211268 37.64788732],0
u1,1,0.310985,1.026489,[ 25 107] ; [11 70],[ 22.30985915 109.69014085] ; [13.69014085 67.30985915],0
a3,1,0.314995,1.009615,[90 40] ; [50 30],[86.66666667 43.33333333] ; [53.33333333 26.66666667],0
b1,1,0.32988,0.94937,[71 61] ; [38 43],[67.54929577 64.45070423] ; [41.45070423 39.54929577],0
u3,1,0.361686,0.832032,[20 22] ; [17 12],[21.88732394 20.11267606] ; [15.11267606 13.88732394],0
s1,1,0.363178,0.826873,[  7 122] ; [ 7 74],[  8.6 120.4] ; [ 5.4 75.6],0
a4,1,0.379552,0.772151,[61 69] ; [33 48],[57.91469194 72.08530806] ; [36.08530806 44.91469194],0
d5,1,0.401594,0.703548,[100  31] ; [65 15],[102.44075829  28.55924171] ; [62.55924171 17.44075829],0
p12,1,0.410432,0.677549,[  4 127] ; [ 1 78],[  3.11904762 127.88095238] ; [ 1.88095238 77.11904762],0
n3,1,0.420464,0.649019,[31 17] ; [22  8],[32.61538462 15.38461538] ; [20.38461538  9.61538462],0
s6,1,0.439135,0.598541,[83 45] ; [47 32],[80.38647343 47.61352657] ; [49.61352657 29.38647343],0
p1,1,0.453272,0.562456,[ 14 118] ; [ 6 74],[ 12.45283019 119.54716981] ; [ 7.54716981 72.45283019],0
r1,1,0.461485,0.54229,[99 31] ; [58 23],[96.72985782 33.27014218] ; [60.27014218 20.72985782],0
v3,1,0.479585,0.499808,[47 82] ; [23 50],[44.7029703 84.2970297] ; [25.2970297 47.7029703],0
d3,1,0.489243,0.47819,[85 45] ; [56 24],[87.28571429 42.71428571] ; [53.71428571 26.28571429],0
a2,1,0.502401,0.44986,[33 99] ; [17 64],[ 30.98591549 101.01408451] ; [19.01408451 61.98591549],0
a7,1,0.605632,0.266585,[93 39] ; [59 21],[94.64150943 37.35849057] ; [57.35849057 22.64150943],0
a5,1,0.628893,0.233565,[89 43] ; [52 29],[87.38028169 44.61971831] ; [53.61971831 27.38028169],0
p3,1,0.69692,0.151695,[51 80] ; [29 51],[49.66824645 81.33175355] ; [30.33175355 49.66824645],0
v4,1,0.720326,0.128181,[116  15] ; [73  8],[116.78773585  14.21226415] ; [72.21226415  8.78773585],0
p8,1,0.742892,0.107601,[44 86] ; [25 54],[42.91866029 87.08133971] ; [26.08133971 52.91866029],0
s3,1,0.841026,0.040233,[69 62] ; [41 39],[68.29383886 62.70616114] ; [41.70616114 38.29383886],0
a6,1,0.845862,0.037792,[81 50] ; [49 32],[80.33018868 50.66981132] ; [49.66981132 31.33018868],0
b5,1,0.846224,0.037612,[83 49] ; [52 29],[83.66197183 48.33802817] ; [51.33802817 29.66197183],0
s2,1,0.854987,0.033401,[63 68] ; [40 41],[63.64622642 67.35377358] ; [39.35377358 41.64622642],0
d2,1,0.862398,0.030041,[69 61] ; [42 39],[68.38862559 61.61137441] ; [42.61137441 38.38862559],0
s5,1,0.895919,0.017113,[42 84] ; [24 50],[41.58 84.42] ; [24.42 49.58],0
r4,1,0.950816,0.003805,[108  24] ; [66 15],[107.83098592  24.16901408] ; [66.16901408 14.83098592],0
