Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9.7e-05,15.192249,[ 9 21] ; [30  9],[16.95652174 13.04347826] ; [22.04347826 16.95652174],1
n1,1,0.02145,5.289862,[ 2 16] ; [ 9 11],[ 5.21052632 12.78947368] ; [ 5.78947368 14.21052632],0
u3,1,0.044136,4.051339,[5 9] ; [ 1 15],[ 2.8 11.2] ; [ 3.2 12.8],0
p4,1,0.046342,3.969105,[10 20] ; [ 5 33],[ 6.61764706 23.38235294] ; [ 8.38235294 29.61764706],0
v4,1,0.047613,3.923609,[21  9] ; [18 21],[16.95652174 13.04347826] ; [22.04347826 16.95652174],0
r3,1,0.06402,3.430061,[15 15] ; [11 28],[11.30434783 18.69565217] ; [14.69565217 24.30434783],0
a1,1,0.064898,3.407572,[ 2 28] ; [ 9 30],[ 4.7826087 25.2173913] ; [ 6.2173913 32.7826087],0
b3,1,0.070421,3.273186,[ 4 11] ; [13 10],[6.71052632 8.28947368] ; [10.28947368 12.71052632],0
b2,1,0.070421,3.273186,[ 4 11] ; [13 10],[6.71052632 8.28947368] ; [10.28947368 12.71052632],0
p7,1,0.103165,2.655924,[11 19] ; [ 7 30],[ 8.05970149 21.94029851] ; [ 9.94029851 27.05970149],0
s7,1,0.131912,2.269853,[ 3 25] ; [ 9 26],[ 5.33333333 22.66666667] ; [ 6.66666667 28.33333333],0
p2,1,0.203652,1.615989,[14 16] ; [12 26],[11.47058824 18.52941176] ; [14.52941176 23.47058824],0
p9,1,0.205698,1.601451,[13 16] ; [11 26],[10.54545455 18.45454545] ; [13.45454545 23.54545455],0
p3,1,0.211601,1.560441,[ 4 25] ; [10 28],[ 6.05970149 22.94029851] ; [ 7.94029851 30.05970149],0
d4,1,0.21444,1.541197,[22  8] ; [23 16],[19.56521739 10.43478261] ; [25.43478261 13.56521739],0
p8,1,0.229592,1.443385,[ 6 23] ; [ 4 35],[ 4.26470588 24.73529412] ; [ 5.73529412 33.26470588],0
d2,1,0.242948,1.363409,[10 20] ; [18 20],[12.35294118 17.64705882] ; [15.64705882 22.35294118],0
s1,1,0.248386,1.332361,[ 5 25] ; [ 3 36],[ 3.47826087 26.52173913] ; [ 4.52173913 34.47826087],0
a5,1,0.253703,1.302797,[12 18] ; [21 18],[14.34782609 15.65217391] ; [18.65217391 20.34782609],0
b5,1,0.253703,1.302797,[18 12] ; [18 21],[15.65217391 14.34782609] ; [20.34782609 18.65217391],0
a2,1,0.26216,1.257314,[ 2 28] ; [ 6 33],[ 3.47826087 26.52173913] ; [ 4.52173913 34.47826087],0
a7,1,0.281443,1.16011,[17 13] ; [17 22],[14.7826087 15.2173913] ; [19.2173913 19.7826087],0
