Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.03922,4.251298,[ 5 62] ; [2 4],[ 6.42465753 60.57534247] ; [0.57534247 5.42465753],0
r3,1,0.105805,2.61579,[65  2] ; [5 1],[64.24657534  2.75342466] ; [5.75342466 0.24657534],0
s5,1,0.124492,2.359878,[14 50] ; [3 3],[15.54285714 48.45714286] ; [1.45714286 4.54285714],0
b3,1,0.132415,2.263957,[12 32] ; [3 2],[13.46938776 30.53061224] ; [1.53061224 3.46938776],0
b2,1,0.132415,2.263957,[12 32] ; [3 2],[13.46938776 30.53061224] ; [1.53061224 3.46938776],0
s2,1,0.134234,2.242848,[32 34] ; [1 5],[30.25 35.75] ; [2.75 3.25],0
b4,1,0.161513,1.960004,[36 31] ; [5 1],[37.63013699 29.36986301] ; [3.36986301 2.63013699],0
r1,1,0.170506,1.878487,[50 16] ; [3 3],[48.58333333 17.41666667] ; [4.41666667 1.58333333],0
b5,1,0.204258,1.611665,[38 29] ; [5 1],[39.46575342 27.53424658] ; [3.53424658 2.46575342],0
n5,1,0.22248,1.488306,[27 39] ; [4 2],[28.41666667 37.58333333] ; [2.58333333 3.41666667],0
r4,1,0.299479,1.076515,[56 11] ; [4 2],[55.06849315 11.93150685] ; [4.93150685 1.06849315],0
a6,1,0.308748,1.036022,[47 20] ; [3 3],[45.89041096 21.10958904] ; [4.10958904 1.89041096],0
s3,1,0.335859,0.926175,[35 30] ; [2 4],[33.87323944 31.12676056] ; [3.12676056 2.87323944],0
d3,1,0.343529,0.897216,[43 24] ; [5 1],[44.05479452 22.94520548] ; [3.94520548 2.05479452],0
p10,1,0.414046,0.667153,[45 22] ; [5 1],[45.89041096 21.10958904] ; [4.10958904 1.89041096],0
a2,1,0.418485,0.654566,[13 54] ; [2 4],[13.76712329 53.23287671] ; [1.23287671 4.76712329],0
p3,1,0.454563,0.559249,[34 33] ; [4 2],[34.87671233 32.12328767] ; [3.12328767 2.87671233],0
d1,1,0.454563,0.559249,[34 33] ; [4 2],[34.87671233 32.12328767] ; [3.12328767 2.87671233],0
s7,1,0.481332,0.495844,[22 40] ; [3 3],[22.79411765 39.20588235] ; [2.20588235 3.79411765],0
v2,1,0.527906,0.398421,[33 29] ; [4 2],[33.73529412 28.26470588] ; [3.26470588 2.73529412],0
a7,1,0.540368,0.374858,[42 25] ; [3 3],[41.30136986 25.69863014] ; [3.69863014 2.30136986],0
a3,1,0.540368,0.374858,[42 25] ; [3 3],[41.30136986 25.69863014] ; [3.69863014 2.30136986],0
v4,1,0.548706,0.35964,[60  6] ; [5 1],[59.58333333  6.41666667] ; [5.41666667 0.58333333],0
d2,1,0.591386,0.288185,[26 41] ; [3 3],[26.61643836 40.38356164] ; [2.38356164 3.61643836],0
s8,1,0.591386,0.288185,[26 41] ; [3 3],[26.61643836 40.38356164] ; [2.38356164 3.61643836],0
d4,1,0.688771,0.160419,[51 16] ; [5 1],[51.39726027 15.60273973] ; [4.60273973 1.39726027],0
v1,1,0.719736,0.128746,[28 38] ; [3 3],[28.41666667 37.58333333] ; [2.58333333 3.41666667],0
a4,1,0.738359,0.111574,[27 40] ; [2 4],[26.61643836 40.38356164] ; [2.38356164 3.61643836],0
b1,1,0.738359,0.111574,[40 27] ; [4 2],[40.38356164 26.61643836] ; [3.61643836 2.38356164],0
v3,1,0.776905,0.08029,[17 44] ; [2 4],[17.29850746 43.70149254] ; [1.70149254 4.29850746],0
a5,1,0.796477,0.066517,[48 19] ; [4 2],[47.7260274 19.2739726] ; [4.2739726 1.7260274],0
p6,1,0.816129,0.054069,[23 43] ; [2 3],[23.23943662 42.76056338] ; [1.76056338 3.23943662],0
p11,1,0.858639,0.031722,[47 20] ; [4 2],[46.80821918 20.19178082] ; [4.19178082 1.80821918],0
p8,1,0.860658,0.030813,[36 31] ; [3 3],[35.79452055 31.20547945] ; [3.20547945 2.79452055],0
d5,1,0.870441,0.026601,[54 13] ; [5 1],[54.15068493 12.84931507] ; [4.84931507 1.15068493],0
n1,1,0.892295,0.018333,[ 9 11] ; [1 1],[ 9.09090909 10.90909091] ; [0.90909091 1.09090909],0
s6,1,0.960755,0.002421,[44 23] ; [4 2],[44.05479452 22.94520548] ; [3.94520548 2.05479452],0
n4,1,0.972057,0.001227,[34 33] ; [3 3],[33.95890411 33.04109589] ; [3.04109589 2.95890411],0
s4,1,0.987433,0.000248,[11 56] ; [1 5],[11.01369863 55.98630137] ; [0.98630137 5.01369863],0
