Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.835757,[157  32] ; [32 30],[142.31474104  46.68525896] ; [46.68525896 15.31474104],1
p7,1,2e-06,22.808137,[134  55] ; [22 38],[118.40963855  70.59036145] ; [37.59036145 22.40963855],1
p10,1,4e-06,21.322736,[152  36] ; [31 30],[138.1686747  49.8313253] ; [44.8313253 16.1686747],1
p9,1,4e-06,21.052697,[163  26] ; [36 25],[150.444  38.556] ; [48.556 12.444],1
p8,1,5e-06,21.029135,[105  82] ; [14 48],[89.36947791 97.63052209] ; [29.63052209 32.36947791],1
n5,1,1.6e-05,18.559945,[152  37] ; [32 29],[139.104  49.896] ; [44.896 16.104],1
n6,1,0.001098,10.655371,[160  28] ; [41 21],[151.152  36.848] ; [49.848 12.152],0
p3,1,0.005286,7.778978,[100  90] ; [20 42],[90.47619048 99.52380952] ; [29.52380952 32.47619048],0
u3,1,0.006045,7.536788,[19 34] ; [19  9],[24.86419753 28.13580247] ; [13.13580247 14.86419753],0
a3,1,0.009661,6.696305,[137  52] ; [34 28],[128.76095618  60.23904382] ; [42.23904382 19.76095618],0
v4,1,0.010565,6.537122,[178   9] ; [53  9],[173.48192771  13.51807229] ; [57.51807229  4.48192771],0
p4,1,0.015471,5.862018,[108  81] ; [24 37],[99.792 89.208] ; [32.208 28.792],0
s1,1,0.015721,5.833763,[  5 184] ; [ 6 54],[  8.34939759 180.65060241] ; [ 2.65060241 57.34939759],0
s7,1,0.016978,5.698678,[104  79] ; [23 36],[96.03719008 86.96280992] ; [30.96280992 28.03719008],0
p6,1,0.020761,5.346736,[ 73 113] ; [14 47],[ 65.51417004 120.48582996] ; [21.48582996 39.51417004],0
d5,1,0.022589,5.199819,[144  45] ; [38 24],[137.0438247  51.9561753] ; [44.9561753 17.0438247],0
d4,1,0.02468,5.046167,[148  40] ; [40 22],[141.376  46.624] ; [46.624 15.376],0
d1,1,0.027568,4.85486,[98 92] ; [22 40],[90.47619048 99.52380952] ; [29.52380952 32.47619048],0
d3,1,0.037243,4.339246,[ 90 100] ; [20 42],[ 82.93650794 107.06349206] ; [27.06349206 34.93650794],0
a5,1,0.040606,4.192369,[134  56] ; [35 27],[127.42063492  62.57936508] ; [41.57936508 20.42063492],0
v3,1,0.051452,3.793485,[ 77 110] ; [15 41],[ 70.79835391 116.20164609] ; [21.20164609 34.79835391],0
v1,1,0.089827,2.877471,[102  83] ; [26 35],[96.2601626 88.7398374] ; [31.7398374 29.2601626],0
p11,1,0.092878,2.823769,[154  36] ; [44 18],[149.28571429  40.71428571] ; [48.71428571 13.28571429],0
n1,1,0.093533,2.8125,[18 30] ; [14 10],[21.33333333 26.66666667] ; [10.66666667 13.33333333],0
s3,1,0.108459,2.576533,[115  74] ; [30 31],[109.62  79.38] ; [35.38 25.62],0
n2,1,0.139337,2.185264,[35 13] ; [22  3],[37.47945205 10.52054795] ; [19.52054795  5.47945205],0
b1,1,0.166515,1.914038,[ 85 105] ; [34 28],[ 89.72222222 100.27777778] ; [29.27777778 32.72222222],0
p5,1,0.171048,1.873736,[ 25 165] ; [ 4 56],[ 22.04 167.96] ; [ 6.96 53.04],0
r1,1,0.186894,1.741931,[142  48] ; [41 21],[137.97619048  52.02380952] ; [45.02380952 16.97619048],0
s5,1,0.197598,1.660042,[ 73 110] ; [17 39],[ 68.91213389 114.08786611] ; [21.08786611 34.91213389],0
a2,1,0.211251,1.562831,[ 19 171] ; [ 3 59],[ 16.58730159 173.41269841] ; [ 5.41269841 56.58730159],0
