Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.0,27.491142,[94 21] ; [ 9 19],[82.83216783 32.16783217] ; [20.16783217  7.83216783],1
r4,1,0.0,25.588235,[80 36] ; [ 5 24],[68. 48.] ; [17. 12.],1
r3,1,1.1e-05,19.270971,[101  15] ; [14 14],[92.63888889 23.36111111] ; [22.36111111  5.63888889],1
p11,1,5e-05,16.458724,[92 24] ; [12 17],[83.2 32.8] ; [20.8  8.2],1
s6,1,8.6e-05,15.417233,[67 46] ; [ 5 23],[57.70212766 55.29787234] ; [14.29787234 13.70212766],1
r2,1,0.000273,13.250521,[96 16] ; [14 12],[89.27536232 22.72463768] ; [20.72463768  5.27536232],1
p8,1,0.000326,12.913354,[53 60] ; [ 3 26],[44.56338028 68.43661972] ; [11.43661972 17.56338028],1
p9,1,0.00058,11.837761,[98 17] ; [15 12],[91.51408451 23.48591549] ; [21.48591549  5.51408451],1
n6,1,0.001138,10.588603,[101  15] ; [17 11],[95.05555556 20.94444444] ; [22.94444444  5.05555556],0
p10,1,0.001432,10.163697,[87 26] ; [13 15],[80.14184397 32.85815603] ; [19.85815603  8.14184397],0
p7,1,0.006034,7.54026,[64 50] ; [ 8 21],[57.3986014 56.6013986] ; [14.6013986 14.3986014],0
n3,1,0.008973,6.828283,[28  5] ; [5 6],[24.75  8.25] ; [8.25 2.75],0
u2,1,0.01018,6.603175,[22 17] ; [ 2 11],[18. 21.] ; [6. 7.],0
s5,1,0.01131,6.415926,[28 79] ; [ 1 26],[23.15671642 83.84328358] ; [ 5.84328358 21.15671642],0
s7,1,0.014009,6.037019,[47 62] ; [ 5 23],[41.37226277 67.62773723] ; [10.62773723 17.37226277],0
p4,1,0.024728,5.04286,[62 52] ; [ 9 20],[56.6013986 57.3986014] ; [14.3986014 14.6013986],0
s2,1,0.026598,4.916734,[50 66] ; [ 6 23],[44.8 71.2] ; [11.2 17.8],0
p6,1,0.027865,4.836419,[41 70] ; [ 4 23],[36.19565217 74.80434783] ; [ 8.80434783 18.19565217],0
v1,1,0.036609,4.36849,[52 59] ; [ 7 21],[47.11510791 63.88489209] ; [11.88489209 16.11510791],0
u3,1,0.037373,4.333333,[15 24] ; [ 1 12],[12. 27.] ; [4. 9.],0
p3,1,0.049592,3.855215,[55 60] ; [ 8 21],[50.3125 64.6875] ; [12.6875 16.3125],0
a7,1,0.053557,3.726438,[71 45] ; [12 17],[66.4 49.6] ; [16.6 12.4],0
n2,1,0.07044,3.272727,[27  6] ; [6 5],[24.75  8.25] ; [8.25 2.75],0
d4,1,0.079798,3.069008,[87 29] ; [17 12],[83.2 32.8] ; [20.8  8.2],0
s8,1,0.08616,2.944701,[39 77] ; [ 5 24],[35.2 80.8] ; [ 8.8 20.2],0
d2,1,0.117887,2.445168,[43 72] ; [15 13],[46.64335664 68.35664336] ; [11.35664336 16.64335664],0
a8,1,0.127644,2.320921,[11 97] ; [ 6 23],[13.40145985 94.59854015] ; [ 3.59854015 25.40145985],0
s4,1,0.164863,1.929047,[20 96] ; [ 2 27],[17.6 98.4] ; [ 4.4 24.6],0
b1,1,0.176254,1.828932,[44 72] ; [15 14],[47.2 68.8] ; [11.8 17.2],0
v3,1,0.198068,1.656563,[42 72] ; [ 7 22],[39.06293706 74.93706294] ; [ 9.93706294 19.06293706],0
s3,1,0.202447,1.624634,[56 58] ; [10 18],[52.98591549 61.01408451] ; [13.01408451 14.98591549],0
b4,1,0.236677,1.400276,[66 50] ; [20  9],[68.8 47.2] ; [17.2 11.8],0
v2,1,0.269491,1.219336,[53 59] ; [10 18],[50.4 61.6] ; [12.6 15.4],0
a3,1,0.300821,1.07055,[76 40] ; [16 13],[73.6 42.4] ; [18.4 10.6],0
a1,1,0.308961,1.035111,[  9 107] ; [ 4 25],[ 10.4 105.6] ; [ 2.6 26.4],0
d5,1,0.352874,0.863095,[86 30] ; [19 10],[84. 32.] ; [21.  8.],0
p5,1,0.359263,0.840469,[ 15 100] ; [ 2 27],[ 13.57638889 101.42361111] ; [ 3.42361111 25.57638889],0
b5,1,0.392131,0.732323,[74 42] ; [16 13],[72. 44.] ; [18. 11.],0
s1,1,0.410375,0.677713,[  4 111] ; [ 2 27],[  4.79166667 110.20833333] ; [ 1.20833333 27.79166667],0
n1,1,0.422551,0.64321,[13 19] ; [6 5],[14.13953488 17.86046512] ; [4.86046512 6.13953488],0
p1,1,0.495415,0.464744,[ 11 105] ; [ 4 25],[ 12. 104.] ; [ 3. 26.],0
a4,1,0.56868,0.324896,[44 72] ; [ 9 19],[42.69444444 73.30555556] ; [10.30555556 17.69444444],0
a5,1,0.673361,0.177696,[69 47] ; [16 13],[68. 48.] ; [17. 12.],0
b2,1,0.718365,0.130065,[26 47] ; [ 8 12],[26.68817204 46.31182796] ; [ 7.31182796 12.68817204],0
b3,1,0.718365,0.130065,[26 47] ; [ 8 12],[26.68817204 46.31182796] ; [ 7.31182796 12.68817204],0
a2,1,0.801155,0.06343,[ 14 102] ; [ 4 25],[ 14.4 101.6] ; [ 3.6 25.4],0
