Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000852,11.124339,[ 5 13] ; [31 11],[10.8  7.2] ; [25.2 16.8],1
n4,1,0.00921,6.781588,[ 8 10] ; [33  9],[12.3  5.7] ; [28.7 13.3],0
u3,1,0.068622,3.31567,[7 2] ; [5 8],[4.90909091 4.09090909] ; [7.09090909 5.90909091],0
b5,1,0.068875,3.309632,[ 7 11] ; [27 15],[10.2  7.8] ; [23.8 18.2],0
a4,1,0.102015,2.673758,[ 3 15] ; [16 26],[ 5.7 12.3] ; [13.3 28.7],0
p2,1,0.110772,2.543171,[9 9] ; [30 12],[11.7  6.3] ; [27.3 14.7],0
d1,1,0.127978,2.31686,[ 6 12] ; [23 19],[8.7 9.3] ; [20.3 21.7],0
u1,1,0.13057,2.285714,[ 1 17] ; [ 9 33],[ 3. 15.] ; [ 7. 35.],0
s3,1,0.142821,2.147294,[16  2] ; [30 12],[13.8  4.2] ; [32.2  9.8],0
a3,1,0.160601,1.968558,[9 9] ; [29 13],[11.4  6.6] ; [26.6 15.4],0
n1,1,0.168843,1.893182,[3 3] ; [2 9],[1.76470588 4.23529412] ; [3.23529412 7.76470588],0
d2,1,0.175334,1.836735,[ 6 12] ; [22 20],[8.4 9.6] ; [19.6 22.4],0
a2,1,0.17984,1.798942,[ 1 17] ; [ 8 34],[ 2.7 15.3] ; [ 6.3 35.7],0
r4,1,0.230553,1.437445,[12  6] ; [34  8],[13.8  4.2] ; [32.2  9.8],0
s5,1,0.306048,1.047653,[ 3 15] ; [12 29],[ 4.57627119 13.42372881] ; [10.42372881 30.57627119],0
s6,1,0.329114,0.952381,[12  6] ; [33  9],[13.5  4.5] ; [31.5 10.5],0
v2,1,0.356438,0.850405,[10  8] ; [17 23],[8.37931034 9.62068966] ; [18.62068966 21.37931034],0
b1,1,0.391366,0.734694,[12  6] ; [23 19],[10.5  7.5] ; [24.5 17.5],0
d3,1,0.413102,0.669856,[10  8] ; [28 14],[11.4  6.6] ; [26.6 15.4],0
b3,1,0.430684,0.620979,[2 9] ; [ 8 18],[2.97297297 8.02702703] ; [ 7.02702703 18.97297297],0
b2,1,0.430684,0.620979,[2 9] ; [ 8 18],[2.97297297 8.02702703] ; [ 7.02702703 18.97297297],0
p3,1,0.432132,0.617088,[9 9] ; [16 25],[ 7.62711864 10.37288136] ; [17.37288136 23.62711864],0
r3,1,0.452503,0.564374,[17  1] ; [37  5],[16.2  1.8] ; [37.8  4.2],0
a7,1,0.495103,0.465417,[9 9] ; [25 17],[10.2  7.8] ; [23.8 18.2],0
s7,1,0.496346,0.46274,[7 9] ; [21 18],[8.14545455 7.85454545] ; [19.85454545 19.14545455],0
s4,1,0.511091,0.431833,[ 5 13] ; [ 8 32],[ 4.03448276 13.96551724] ; [ 8.96551724 31.03448276],0
n2,1,0.518217,0.41744,[6 1] ; [8 3],[5.44444444 1.55555556] ; [8.55555556 2.44444444],0
u2,1,0.547617,0.361604,[6 3] ; [7 6],[5.31818182 3.68181818] ; [7.68181818 5.31818182],0
d5,1,0.573663,0.316592,[12  6] ; [31 11],[12.9  5.1] ; [30.1 11.9],0
p6,1,0.575111,0.314206,[ 4 14] ; [12 29],[ 4.88135593 13.11864407] ; [11.11864407 29.88135593],0
p1,1,0.610299,0.25974,[ 1 17] ; [ 4 38],[ 1.5 16.5] ; [ 3.5 38.5],0
r2,1,0.619016,0.247253,[15  3] ; [37  5],[15.6  2.4] ; [36.4  5.6],0
v4,1,0.619016,0.247253,[15  3] ; [37  5],[15.6  2.4] ; [36.4  5.6],0
v1,1,0.649246,0.206852,[ 7 11] ; [19 23],[ 7.8 10.2] ; [18.2 23.8],0
s1,1,0.740269,0.10989,[ 2 16] ; [ 6 36],[ 2.4 15.6] ; [ 5.6 36.4],0
n3,1,0.763573,0.090476,[4 3] ; [6 6],[3.68421053 3.31578947] ; [6.31578947 5.68421053],0
s8,1,0.775097,0.081633,[ 7 11] ; [18 24],[ 7.5 10.5] ; [17.5 24.5],0
p11,1,0.775097,0.081633,[10  8] ; [25 17],[10.5  7.5] ; [24.5 17.5],0
a5,1,0.775097,0.081633,[10  8] ; [25 17],[10.5  7.5] ; [24.5 17.5],0
b4,1,0.775097,0.081633,[11  7] ; [24 18],[10.5  7.5] ; [24.5 17.5],0
p7,1,0.796152,0.066735,[11  7] ; [23 17],[10.55172414  7.44827586] ; [23.44827586 16.55172414],0
a6,1,0.821297,0.05102,[10  8] ; [22 20],[9.6 8.4] ; [22.4 19.6],0
p10,1,0.85583,0.033009,[ 6 12] ; [13 29],[ 5.7 12.3] ; [13.3 28.7],0
a8,1,0.866745,0.028155,[ 2 15] ; [ 4 35],[ 1.82142857 15.17857143] ; [ 4.17857143 34.82142857],0
d4,1,0.894023,0.017746,[14  4] ; [32 10],[13.8  4.2] ; [32.2  9.8],0
r1,1,0.894023,0.017746,[14  4] ; [32 10],[13.8  4.2] ; [32.2  9.8],0
p8,1,0.909474,0.012928,[ 8 10] ; [18 24],[ 7.8 10.2] ; [18.2 23.8],0
v3,1,0.99216,9.7e-05,[ 7 11] ; [16 25],[ 7.01694915 10.98305085] ; [15.98305085 25.01694915],0
p4,1,1.0,0.0,[9 9] ; [21 21],[9. 9.] ; [21. 21.],0
