Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,64.229391,[236  16] ; [12 16],[223.2  28.8] ; [24.8  3.2],1
p2,1,2.3e-05,17.889037,[223  30] ; [17 12],[215.31914894  37.68085106] ; [24.68085106  4.31914894],1
p11,1,0.000124,14.7301,[209  45] ; [15 14],[201.0459364  52.9540636] ; [22.9540636  6.0459364],1
n5,1,0.000697,11.498061,[201  51] ; [15 14],[193.70818505  58.29181495] ; [22.29181495  6.70818505],1
b1,1,0.001162,10.549678,[ 88 166] ; [19 10],[ 96.03533569 157.96466431] ; [10.96466431 18.03533569],0
p7,1,0.001337,10.291024,[192  55] ; [14 14],[185.02545455  61.97454545] ; [20.97454545  7.02545455],0
s1,1,0.001836,9.706358,[  6 243] ; [ 4 25],[  8.95683453 240.04316547] ; [ 1.04316547 27.95683453],0
s2,1,0.003386,8.586974,[187  65] ; [14 15],[180.25622776  71.74377224] ; [20.74377224  8.25622776],0
p8,1,0.004086,8.245031,[156  95] ; [10 19],[148.80714286 102.19285714] ; [17.19285714 11.80714286],0
p6,1,0.013354,6.121576,[125 127] ; [ 7 21],[118.8 133.2] ; [13.2 14.8],0
n6,1,0.013967,6.042303,[227  23] ; [22  7],[223.11827957  26.88172043] ; [25.88172043  3.11827957],0
s8,1,0.014472,5.979604,[155  97] ; [11 18],[148.8683274 103.1316726] ; [17.1316726 11.8683274],0
s6,1,0.016272,5.773192,[221  29] ; [21  8],[216.84587814  33.15412186] ; [25.15412186  3.84587814],0
a5,1,0.036028,4.395775,[208  46] ; [19 10],[203.7385159  50.2614841] ; [23.2614841  5.7385159],0
v4,1,0.037895,4.309709,[244   7] ; [26  3],[242.03571429   8.96428571] ; [27.96428571  1.03571429],0
p3,1,0.039016,4.260169,[155  98] ; [12 17],[149.82624113 103.17375887] ; [17.17375887 11.82624113],0
a7,1,0.044354,4.043042,[178  76] ; [15 14],[173.22261484  80.77738516] ; [19.77738516  9.22261484],0
b3,1,0.044772,4.027198,[71 80] ; [ 5 16],[66.72093023 84.27906977] ; [ 9.27906977 11.72093023],0
b2,1,0.044772,4.027198,[71 80] ; [ 5 16],[66.72093023 84.27906977] ; [ 9.27906977 11.72093023],0
r4,1,0.045149,4.013067,[242  12] ; [25  4],[239.63957597  14.36042403] ; [27.36042403  1.63957597],0
s7,1,0.052021,3.775089,[166  77] ; [14 14],[161.40221402  81.59778598] ; [18.59778598  9.40221402],0
n4,1,0.052686,3.753862,[197  55] ; [18 11],[192.8113879  59.1886121] ; [22.1886121  6.8113879],0
v1,1,0.107523,2.590254,[159  91] ; [14 15],[155.01792115  94.98207885] ; [17.98207885 11.01792115],0
u3,1,0.135595,2.227248,[37 20] ; [3 5],[35.07692308 21.92307692] ; [4.92307692 3.07692308],0
d2,1,0.160197,1.972361,[131 122] ; [19 10],[134.57446809 118.42553191] ; [15.42553191 13.57446809],0
s3,1,0.162148,1.954078,[178  72] ; [17 12],[174.7311828  75.2688172] ; [20.2688172  8.7311828],0
