Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,46.259343,[ 10 139] ; [34 42],[ 29.13777778 119.86222222] ; [14.86222222 61.13777778],1
s8,1,1e-06,23.278346,[ 15 136] ; [28 49],[ 28.47807018 122.52192982] ; [14.52192982 62.47807018],1
p5,1,0.000224,13.621347,[  3 148] ; [11 65],[  9.31277533 141.68722467] ; [ 4.68722467 71.31277533],1
p4,1,0.000738,11.391193,[ 48 102] ; [42 34],[59.73451327 90.26548673] ; [30.26548673 45.73451327],1
s7,1,0.00202,9.531656,[ 21 121] ; [24 49],[ 29.72093023 112.27906977] ; [15.27906977 57.72093023],0
r4,1,0.002051,9.503653,[103  48] ; [67 10],[112.5877193  38.4122807] ; [57.4122807 19.5877193],0
s4,1,0.002495,9.144411,[ 11 140] ; [16 60],[ 17.96035242 133.03964758] ; [ 9.03964758 66.96035242],0
p12,1,0.004059,8.257213,[  2 149] ; [ 7 69],[  5.98678414 145.01321586] ; [ 3.01321586 72.98678414],0
s2,1,0.006513,7.402694,[ 11 139] ; [15 62],[ 17.18061674 132.81938326] ; [ 8.81938326 68.18061674],0
p10,1,0.006595,7.379973,[85 64] ; [56 18],[94.21076233 54.78923767] ; [46.78923767 27.21076233],0
a5,1,0.006842,7.313923,[84 67] ; [57 20],[93.38157895 57.61842105] ; [47.61842105 29.38157895],0
p7,1,0.010566,6.536944,[59 91] ; [43 32],[68. 82.] ; [34. 41.],0
p9,1,0.01432,5.998206,[88 59] ; [58 18],[96.24215247 50.75784753] ; [49.75784753 26.24215247],0
n6,1,0.029412,4.743312,[107  43] ; [65 12],[113.65638767  36.34361233] ; [58.34361233 18.65638767],0
r3,1,0.02973,4.724838,[122  28] ; [71  6],[127.53303965  22.46696035] ; [65.46696035 11.53303965],0
p3,1,0.041201,4.167725,[ 39 112] ; [30 47],[ 45.69736842 105.30263158] ; [23.30263158 53.69736842],0
p6,1,0.055234,3.675004,[ 28 120] ; [23 53],[ 33.69642857 114.30357143] ; [17.30357143 58.69642857],0
p8,1,0.06161,3.493495,[53 98] ; [36 39],[59.46460177 91.53539823] ; [29.53539823 45.46460177],0
a1,1,0.097441,2.746936,[  7 144] ; [ 8 69],[  9.93421053 141.06578947] ; [ 5.06578947 71.93421053],0
r1,1,0.098439,2.730655,[89 62] ; [54 23],[94.70614035 56.29385965] ; [48.29385965 28.70614035],0
u1,1,0.108133,2.581293,[ 10 141] ; [10 67],[ 13.24561404 137.75438596] ; [ 6.75438596 70.24561404],0
b2,1,0.113387,2.506371,[29 55] ; [ 9 34],[25.13385827 58.86614173] ; [12.86614173 30.13385827],0
b3,1,0.113387,2.506371,[29 55] ; [ 9 34],[25.13385827 58.86614173] ; [12.86614173 30.13385827],0
n5,1,0.129909,2.293592,[85 65] ; [51 25],[90.26548673 59.73451327] ; [45.73451327 30.26548673],0
p2,1,0.133528,2.250997,[90 60] ; [54 23],[95.15418502 54.84581498] ; [48.84581498 28.15418502],0
d3,1,0.180627,1.792455,[87 62] ; [52 25],[91.64159292 57.35840708] ; [47.35840708 29.64159292],0
n2,1,0.195592,1.674986,[32 27] ; [18  8],[34.70588235 24.29411765] ; [15.29411765 10.70588235],0
n4,1,0.204743,1.608215,[91 60] ; [53 24],[95.36842105 55.63157895] ; [48.63157895 28.36842105],0
v3,1,0.224458,1.475639,[ 32 114] ; [22 53],[ 35.67420814 110.32579186] ; [18.32579186 56.67420814],0
v4,1,0.240309,1.37878,[129  22] ; [70  7],[131.79385965  19.20614035] ; [67.20614035  9.79385965],0
r2,1,0.272368,1.204782,[123  26] ; [67  9],[125.82222222  23.17777778] ; [64.17777778 11.82222222],0
d2,1,0.275054,1.191367,[58 90] ; [36 41],[61.83111111 86.16888889] ; [32.16888889 44.83111111],0
p1,1,0.346769,0.885247,[ 13 137] ; [ 4 73],[ 11.23348018 138.76651982] ; [ 5.76651982 71.23348018],0
a8,1,0.364518,0.822267,[ 12 128] ; [ 9 63],[ 13.86792453 126.13207547] ; [ 7.13207547 64.86792453],0
u2,1,0.368358,0.809195,[27 31] ; [17 13],[29. 29.] ; [15. 15.],0
n3,1,0.463743,0.536845,[33 25] ; [17  9],[34.52380952 23.47619048] ; [15.47619048 10.52380952],0
a7,1,0.474088,0.512432,[100  49] ; [48 29],[97.57522124 51.42477876] ; [50.42477876 26.57522124],0
p11,1,0.489362,0.477929,[97 54] ; [53 24],[99.34210526 51.65789474] ; [50.65789474 26.34210526],0
u3,1,0.498807,0.457473,[24 35] ; [14 15],[25.47727273 33.52272727] ; [12.52272727 16.47727273],0
v2,1,0.539839,0.375838,[50 93] ; [29 45],[52.05990783 90.94009217] ; [26.94009217 47.05990783],0
b1,1,0.554589,0.34916,[63 88] ; [29 48],[60.92982456 90.07017544] ; [31.07017544 45.92982456],0
b5,1,0.661914,0.191207,[85 66] ; [41 36],[83.44736842 67.55263158] ; [42.55263158 34.44736842],0
b4,1,0.752246,0.099653,[81 70] ; [43 34],[82.12280702 68.87719298] ; [41.87719298 35.12280702],0
a2,1,0.754185,0.098048,[ 26 125] ; [12 65],[ 25.16666667 125.83333333] ; [12.83333333 64.16666667],0
n1,1,0.770254,0.085289,[17 42] ; [ 8 17],[17.55952381 41.44047619] ; [ 7.44047619 17.55952381],0
s1,1,0.813427,0.0557,[  5 145] ; [ 3 73],[  5.30973451 144.69026549] ; [ 2.69026549 73.30973451],0
d5,1,0.826863,0.047842,[109  41] ; [57 20],[109.69162996  40.30837004] ; [56.30837004 20.69162996],0
a4,1,0.886083,0.020524,[56 94] ; [28 49],[55.50660793 94.49339207] ; [28.49339207 48.50660793],0
a6,1,0.932182,0.007242,[95 56] ; [48 29],[94.70614035 56.29385965] ; [48.29385965 28.70614035],0
a3,1,0.965624,0.001857,[92 58] ; [47 30],[91.85022026 58.14977974] ; [47.14977974 29.85022026],0
