Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,72.013302,[113  49] ; [ 4 58],[84.61607143 77.38392857] ; [32.38392857 29.61607143],1
d5,1,0.0,49.109707,[140  22] ; [25 37],[119.33035714  42.66964286] ; [45.66964286 16.33035714],1
d3,1,0.0,47.243531,[117  45] ; [13 48],[94.43946188 67.56053812] ; [35.56053812 25.43946188],1
r1,1,5.2e-05,16.374435,[121  40] ; [29 33],[108.29596413  52.70403587] ; [41.70403587 20.29596413],1
d2,1,8.2e-05,15.519335,[91 69] ; [17 45],[77.83783784 82.16216216] ; [30.16216216 31.83783784],1
r3,1,0.000186,13.963745,[145  17] ; [42 19],[135.84753363  26.15246637] ; [51.15246637  9.84753363],1
a5,1,0.000673,11.56129,[126  36] ; [34 28],[115.71428571  46.28571429] ; [44.28571429 17.71428571],1
a3,1,0.00072,11.436706,[120  41] ; [31 30],[109.50900901  51.49099099] ; [41.49099099 19.50900901],1
n6,1,0.000981,10.863538,[139  21] ; [42 20],[130.45045045  29.54954955] ; [50.54954955 11.45045045],1
p10,1,0.001447,10.144353,[130  30] ; [37 24],[120.90497738  39.09502262] ; [46.09502262 14.90497738],0
u1,1,0.002987,8.815508,[ 26 136] ; [ 1 61],[ 19.52678571 142.47321429] ; [ 7.47321429 54.52678571],0
p11,1,0.006747,7.339141,[128  34] ; [38 24],[120.05357143  41.94642857] ; [45.94642857 16.05357143],0
r4,1,0.006969,7.280953,[130  32] ; [39 23],[122.22321429  39.77678571] ; [46.77678571 15.22321429],0
a2,1,0.00801,7.031172,[ 42 120] ; [ 6 56],[ 34.71428571 127.28571429] ; [13.28571429 48.71428571],0
v4,1,0.012496,6.239067,[146  16] ; [48 14],[140.30357143  21.69642857] ; [53.69642857  8.30357143],0
r2,1,0.013811,6.062088,[144  14] ; [49 13],[138.60909091  19.39090909] ; [54.39090909  7.60909091],0
u2,1,0.017615,5.634079,[22 19] ; [ 8 23],[17.08333333 23.91666667] ; [12.91666667 18.08333333],0
a4,1,0.019028,5.498962,[80 81] ; [20 42],[72.19730942 88.80269058] ; [27.80269058 34.19730942],0
p9,1,0.022932,5.173652,[129  30] ; [40 20],[122.69863014  36.30136986] ; [46.30136986 13.69863014],0
a6,1,0.032802,4.55607,[118  44] ; [36 26],[111.375  50.625] ; [42.625 19.375],0
s5,1,0.034118,4.488794,[ 24 133] ; [ 3 59],[ 19.35616438 137.64383562] ; [ 7.64383562 54.35616438],0
s2,1,0.036504,4.373413,[ 38 121] ; [ 7 55],[ 32.37556561 126.62443439] ; [12.62443439 49.37556561],0
u3,1,0.036793,4.359958,[21 21] ; [ 8 23],[16.68493151 25.31506849] ; [12.31506849 18.68493151],0
v2,1,0.042657,4.108951,[84 73] ; [22 36],[77.40465116 79.59534884] ; [28.59534884 29.40465116],0
s8,1,0.044492,4.037786,[ 41 121] ; [ 8 54],[ 35.4375 126.5625] ; [13.5625 48.4375],0
b4,1,0.051773,3.783097,[94 68] ; [27 35],[87.50892857 74.49107143] ; [33.49107143 28.50892857],0
p2,1,0.058026,3.592927,[121  39] ; [39 23],[115.31531532  44.68468468] ; [44.68468468 17.31531532],0
a8,1,0.078244,3.100995,[ 21 126] ; [ 3 53],[ 17.37931034 129.62068966] ; [ 6.62068966 49.37931034],0
a7,1,0.089868,2.87673,[111  51] ; [35 27],[105.58928571  56.41071429] ; [40.41071429 21.58928571],0
v3,1,0.125471,2.347665,[63 94] ; [18 44],[58.06849315 98.93150685] ; [22.93150685 39.06849315],0
p8,1,0.158575,1.987758,[80 81] ; [23 36],[75.37727273 85.62272727] ; [27.62272727 31.37727273],0
p4,1,0.167968,1.900987,[81 79] ; [25 37],[76.3963964 83.6036036] ; [29.6036036 32.3963964],0
p1,1,0.196855,1.665556,[ 12 150] ; [ 8 54],[ 14.46428571 147.53571429] ; [ 5.53571429 56.46428571],0
s7,1,0.197891,1.657869,[ 41 114] ; [10 46],[ 37.46445498 117.53554502] ; [13.53554502 42.46445498],0
n1,1,0.232918,1.422953,[15 26] ; [11 10],[17.19354839 23.80645161] ; [ 8.80645161 12.19354839],0
v1,1,0.262646,1.254758,[80 79] ; [26 36],[76.26244344 82.73755656] ; [29.73755656 32.26244344],0
p7,1,0.264878,1.243081,[90 71] ; [29 32],[86.3018018 74.6981982] ; [32.6981982 28.3018018],0
n4,1,0.267203,1.231048,[138  24] ; [49 13],[135.24107143  26.75892857] ; [51.75892857 10.24107143],0
b1,1,0.323309,0.975512,[64 98] ; [29 33],[67.25892857 94.74107143] ; [25.74107143 36.25892857],0
a1,1,0.370606,0.801632,[  8 154] ; [ 5 57],[  9.40178571 152.59821429] ; [ 3.59821429 58.40178571],0
p12,1,0.370988,0.800352,[  4 156] ; [ 3 59],[  5.04504505 154.95495495] ; [ 1.95495495 60.04504505],0
p3,1,0.389362,0.740933,[71 90] ; [23 38],[68.17117117 92.82882883] ; [25.82882883 35.17117117],0
b2,1,0.461053,0.543338,[46 53] ; [15 23],[44.08029197 54.91970803] ; [16.91970803 21.08029197],0
b3,1,0.461053,0.543338,[46 53] ; [15 23],[44.08029197 54.91970803] ; [16.91970803 21.08029197],0
s4,1,0.465353,0.532989,[ 11 151] ; [ 6 56],[ 12.29464286 149.70535714] ; [ 4.70535714 57.29464286],0
p5,1,0.593415,0.285043,[ 11 149] ; [ 3 58],[ 10.13574661 149.86425339] ; [ 3.86425339 57.13574661],0
n3,1,0.613571,0.255008,[28 15] ; [15  6],[28.890625 14.109375] ; [14.109375  6.890625],0
