Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.5e-05,16.66016,[28 10] ; [39 71],[17.2027027 20.7972973] ; [49.7972973 60.2027027],1
p12,1,0.000807,11.225789,[ 5 33] ; [  1 112],[ 1.50993377 36.49006623] ; [  4.49006623 108.50993377],1
u2,1,0.00511,7.840227,[11  1] ; [25 28],[6.64615385 5.35384615] ; [29.35384615 23.64615385],0
b1,1,0.006653,7.364475,[ 7 32] ; [48 66],[14.01960784 24.98039216] ; [40.98039216 73.01960784],0
v1,1,0.008657,6.892156,[21 18] ; [34 78],[14.20529801 24.79470199] ; [40.79470199 71.20529801],0
a7,1,0.020904,5.334794,[34  5] ; [77 36],[28.48026316 10.51973684] ; [82.51973684 30.48026316],0
d3,1,0.033682,4.510749,[32  7] ; [72 41],[26.68421053 12.31578947] ; [77.31578947 35.68421053],0
b4,1,0.036637,4.367221,[28 11] ; [60 54],[22.43137255 16.56862745] ; [65.56862745 48.43137255],0
n1,1,0.039095,4.256737,[ 1 14] ; [15 29],[ 4.06779661 10.93220339] ; [11.93220339 32.06779661],0
p5,1,0.044346,4.04335,[ 4 34] ; [  3 111],[ 1.75 36.25] ; [  5.25 108.75],0
d4,1,0.057953,3.595016,[35  4] ; [86 28],[30.84313725  8.15686275] ; [90.15686275 23.84313725],0
s6,1,0.060374,3.527073,[26 12] ; [57 55],[21.02666667 16.97333333] ; [61.97333333 50.02666667],0
a3,1,0.079103,3.083239,[27 12] ; [60 53],[22.32236842 16.67763158] ; [64.67763158 48.32236842],0
a6,1,0.086435,2.939546,[27 12] ; [61 53],[22.43137255 16.56862745] ; [65.56862745 48.43137255],0
p10,1,0.104168,2.640542,[28 10] ; [66 46],[23.81333333 14.18666667] ; [70.18666667 41.81333333],0
a5,1,0.105717,2.617105,[26 13] ; [59 55],[21.66666667 17.33333333] ; [63.33333333 50.66666667],0
b2,1,0.164705,1.930487,[ 7 11] ; [12 42],[ 4.75 13.25] ; [14.25 39.75],0
b3,1,0.164705,1.930487,[ 7 11] ; [12 42],[ 4.75 13.25] ; [14.25 39.75],0
a2,1,0.164948,1.928273,[ 7 32] ; [ 11 103],[ 4.58823529 34.41176471] ; [ 13.41176471 100.58823529],0
u1,1,0.174543,1.843487,[ 6 33] ; [  9 105],[ 3.82352941 35.17647059] ; [ 11.17647059 102.82352941],0
p9,1,0.201046,1.634762,[28  9] ; [72 40],[24.83221477 12.16778523] ; [75.16778523 36.83221477],0
d5,1,0.211096,1.563894,[31  8] ; [78 35],[27.96710526 11.03289474] ; [81.03289474 31.96710526],0
