Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.012861,6.188066,[10  1] ; [17 18],[6.45652174 4.54347826] ; [20.54347826 14.45652174],0
v1,1,0.013731,6.072422,[6 5] ; [ 6 29],[2.86956522 8.13043478] ; [ 9.13043478 25.86956522],0
r3,1,0.018444,5.553514,[8 3] ; [11 23],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
p4,1,0.021253,5.305931,[7 4] ; [ 9 26],[3.82608696 7.17391304] ; [12.17391304 22.82608696],0
p6,1,0.062128,3.479653,[5 6] ; [ 6 28],[2.68888889 8.31111111] ; [ 8.31111111 25.68888889],0
p11,1,0.083935,2.987013,[8 3] ; [15 20],[5.5 5.5] ; [17.5 17.5],0
s8,1,0.108168,2.580779,[3 8] ; [ 3 32],[1.43478261 9.56521739] ; [ 4.56521739 30.43478261],0
u3,1,0.110612,2.545455,[3 3] ; [ 4 18],[1.5 4.5] ; [ 5.5 16.5],0
u2,1,0.121315,2.400259,[4 2] ; [ 7 15],[2.35714286 3.64285714] ; [ 8.64285714 13.35714286],0
p9,1,0.137997,2.200153,[8 3] ; [16 18],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
p7,1,0.140562,2.171791,[7 4] ; [13 21],[4.88888889 6.11111111] ; [15.11111111 18.88888889],0
n2,1,0.161178,1.963141,[4 1] ; [ 9 11],[2.6 2.4] ; [10.4  9.6],0
a7,1,0.185079,1.756364,[2 9] ; [14 21],[3.82608696 7.17391304] ; [12.17391304 22.82608696],0
p10,1,0.260298,1.267174,[7 4] ; [15 19],[5.37777778 5.62222222] ; [16.62222222 17.37777778],0
v4,1,0.26419,1.246667,[7 3] ; [17 17],[5.45454545 4.54545455] ; [18.54545455 15.45454545],0
d5,1,0.297448,1.085603,[5 6] ; [10 25],[3.58695652 7.41304348] ; [11.41304348 23.58695652],0
s4,1,0.315414,1.00787,[ 1 10] ; [ 8 27],[2.15217391 8.84782609] ; [ 6.84782609 28.15217391],0
r1,1,0.405044,0.693301,[ 1 10] ; [ 7 28],[1.91304348 9.08695652] ; [ 6.08695652 28.91304348],0
p2,1,0.408383,0.683503,[8 3] ; [20 14],[6.84444444 4.15555556] ; [21.15555556 12.84444444],0
b2,1,0.418442,0.654686,[1 4] ; [ 9 14],[1.78571429 3.21428571] ; [ 8.21428571 14.78571429],0
b3,1,0.418442,0.654686,[1 4] ; [ 9 14],[1.78571429 3.21428571] ; [ 8.21428571 14.78571429],0
p8,1,0.43008,0.622609,[5 6] ; [11 23],[3.91111111 7.08888889] ; [12.08888889 21.91111111],0
s3,1,0.464106,0.535975,[2 9] ; [10 24],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
d2,1,0.493655,0.468551,[2 9] ; [10 25],[2.86956522 8.13043478] ; [ 9.13043478 25.86956522],0
s6,1,0.493828,0.468174,[4 7] ; [ 9 26],[3.10869565 7.89130435] ; [ 9.89130435 25.10869565],0
r2,1,0.572314,0.318826,[5 5] ; [21 14],[5.77777778 4.22222222] ; [20.22222222 14.77777778],0
d3,1,0.578192,0.309167,[2 9] ; [ 9 25],[2.68888889 8.31111111] ; [ 8.31111111 25.68888889],0
s7,1,0.622855,0.241875,[1 7] ; [ 7 28],[1.48837209 6.51162791] ; [ 6.51162791 28.48837209],0
a3,1,0.67096,0.180481,[5 6] ; [13 21],[4.4 6.6] ; [13.6 20.4],0
n6,1,0.729599,0.119481,[5 6] ; [18 17],[5.5 5.5] ; [17.5 17.5],0
a4,1,0.742971,0.107532,[2 9] ; [ 8 27],[2.39130435 8.60869565] ; [ 7.60869565 27.39130435],0
p3,1,0.75367,0.098473,[2 9] ; [ 5 30],[1.67391304 9.32608696] ; [ 5.32608696 29.67391304],0
s2,1,0.764574,0.089688,[3 8] ; [ 8 27],[2.63043478 8.36956522] ; [ 8.36956522 26.63043478],0
s5,1,0.827992,0.047209,[ 1 10] ; [ 4 31],[1.19565217 9.80434783] ; [ 3.80434783 31.19565217],0
n4,1,0.829333,0.046465,[7 4] ; [21 14],[6.69565217 4.30434783] ; [21.30434783 13.69565217],0
b4,1,0.856748,0.032586,[6 5] ; [18 17],[5.73913043 5.26086957] ; [18.26086957 16.73913043],0
a6,1,0.879517,0.022977,[5 6] ; [15 20],[4.7826087 6.2173913] ; [15.2173913 19.7826087],0
n5,1,0.91822,0.010542,[8 3] ; [26  9],[8.13043478 2.86956522] ; [25.86956522  9.13043478],0
s1,1,0.957464,0.002845,[ 1 10] ; [ 3 32],[ 0.95652174 10.04347826] ; [ 3.04347826 31.95652174],0
a5,1,0.96275,0.002181,[4 7] ; [13 22],[4.06521739 6.93478261] ; [12.93478261 22.06521739],0
b5,1,0.987964,0.000228,[5 6] ; [16 19],[5.02173913 5.97826087] ; [15.97826087 19.02173913],0
n1,1,1.0,0.0,[2 3] ; [ 8 12],[2. 3.] ; [ 8. 12.],0
