Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.165857,1.92,[1 9] ; [1 1],[1.66666667 8.33333333] ; [0.33333333 1.66666667],0
p3,1,0.252244,1.310833,[3 7] ; [2 1],[3.84615385 6.15384615] ; [1.15384615 1.84615385],0
n5,1,0.325892,0.965152,[9 1] ; [2 1],[8.46153846 1.53846154] ; [2.53846154 0.46153846],0
s7,1,0.386916,0.748611,[3 5] ; [2 1],[3.63636364 4.36363636] ; [1.36363636 1.63636364],0
v2,1,0.416448,0.660317,[6 4] ; [1 2],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
p6,1,0.416448,0.660317,[4 6] ; [2 1],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
r4,1,0.416448,0.660317,[4 6] ; [2 1],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
v3,1,0.416448,0.660317,[6 4] ; [1 2],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
a7,1,0.416448,0.660317,[6 4] ; [1 2],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
a6,1,0.416448,0.660317,[6 4] ; [1 2],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
p4,1,0.611541,0.257937,[5 5] ; [1 2],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
b5,1,0.611541,0.257937,[5 5] ; [2 1],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
b1,1,0.611541,0.257937,[5 5] ; [1 2],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
s3,1,0.735317,0.114286,[5 4] ; [2 1],[5.25 3.75] ; [1.75 1.25],0
v1,1,0.835099,0.043333,[4 6] ; [1 2],[3.84615385 6.15384615] ; [1.15384615 1.84615385],0
r2,1,0.835099,0.043333,[4 6] ; [1 2],[3.84615385 6.15384615] ; [1.15384615 1.84615385],0
a3,1,0.835099,0.043333,[6 4] ; [2 1],[6.15384615 3.84615385] ; [1.84615385 1.15384615],0
d1,1,0.912637,0.012037,[3 7] ; [1 2],[3.07692308 6.92307692] ; [0.92307692 2.07692308],0
b4,1,0.912637,0.012037,[7 3] ; [2 1],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
a8,1,1.0,0.0,[3 6] ; [1 2],[3. 6.] ; [1. 2.],0
s2,1,1.0,0.0,[3 6] ; [1 2],[3. 6.] ; [1. 2.],0
