Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9e-06,19.818365,[36  8] ; [ 4 14],[28.38709677 15.61290323] ; [11.61290323  6.38709677],1
p11,1,0.003845,8.355662,[32 12] ; [ 6 12],[26.96774194 17.03225806] ; [11.03225806  6.96774194],0
a7,1,0.034626,4.463545,[32 12] ; [ 8 10],[28.38709677 15.61290323] ; [11.61290323  6.38709677],0
a3,1,0.055949,3.653571,[33 11] ; [9 9],[29.80645161 14.19354839] ; [12.19354839  5.80645161],0
v3,1,0.063718,3.437874,[ 9 31] ; [8 9],[11.92982456 28.07017544] ; [ 5.07017544 11.92982456],0
p7,1,0.063898,3.433196,[32 11] ; [9 9],[28.90163934 14.09836066] ; [12.09836066  5.90163934],0
s7,1,0.066798,3.36,[18 22] ; [ 3 13],[15. 25.] ; [ 6. 10.],0
v4,1,0.08192,3.026394,[41  3] ; [14  4],[39.03225806  4.96774194] ; [15.96774194  2.03225806],0
n5,1,0.082697,3.011075,[17 26] ; [ 3 15],[14.09836066 28.90163934] ; [ 5.90163934 12.09836066],0
s8,1,0.088246,2.906078,[20 24] ; [ 4 14],[17.03225806 26.96774194] ; [ 6.96774194 11.03225806],0
u2,1,0.088676,2.898254,[9 1] ; [5 4],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
b5,1,0.117839,2.445809,[29 15] ; [ 8 10],[26.25806452 17.74193548] ; [10.74193548  7.25806452],0
b1,1,0.120959,2.404862,[25 19] ; [14  4],[27.67741935 16.32258065] ; [11.32258065  6.67741935],0
s5,1,0.155877,2.013773,[14 26] ; [ 3 15],[11.72413793 28.27586207] ; [ 5.27586207 12.72413793],0
b4,1,0.174892,1.840505,[21 23] ; [12  6],[23.41935484 20.58064516] ; [9.58064516 8.41935484],0
p6,1,0.241486,1.371898,[17 26] ; [ 4 13],[15.05 27.95] ; [ 5.95 11.05],0
p4,1,0.243063,1.362739,[29 15] ; [9 9],[26.96774194 17.03225806] ; [11.03225806  6.96774194],0
s4,1,0.282452,1.155255,[ 9 35] ; [ 6 12],[10.64516129 33.35483871] ; [ 4.35483871 13.64516129],0
d2,1,0.292847,1.106485,[18 26] ; [10  8],[19.87096774 24.12903226] ; [8.12903226 9.87096774],0
d4,1,0.293322,1.10431,[34 10] ; [16  2],[35.48387097  8.51612903] ; [14.51612903  3.48387097],0
s3,1,0.379974,0.770785,[24 20] ; [12  6],[25.5483871 18.4516129] ; [10.4516129  7.5483871],0
r1,1,0.450162,0.570245,[32 11] ; [15  3],[33.13114754  9.86885246] ; [13.86885246  4.13114754],0
p8,1,0.470038,0.521886,[24 20] ; [ 8 10],[22.70967742 21.29032258] ; [9.29032258 8.70967742],0
s6,1,0.553217,0.351586,[28 16] ; [10  8],[26.96774194 17.03225806] ; [11.03225806  6.96774194],0
d3,1,0.553217,0.351586,[28 16] ; [10  8],[26.96774194 17.03225806] ; [11.03225806  6.96774194],0
a4,1,0.578288,0.309011,[18 26] ; [ 6 12],[17.03225806 26.96774194] ; [ 6.96774194 11.03225806],0
a6,1,0.59336,0.285128,[30 14] ; [11  7],[29.09677419 14.90322581] ; [11.90322581  6.09677419],0
s2,1,0.624363,0.239782,[19 25] ; [9 9],[19.87096774 24.12903226] ; [8.12903226 9.87096774],0
p1,1,0.626394,0.236982,[ 7 37] ; [ 2 16],[ 6.38709677 37.61290323] ; [ 2.61290323 15.38709677],0
v1,1,0.632158,0.229146,[22 21] ; [ 8 10],[21.14754098 21.85245902] ; [8.85245902 9.14754098],0
p2,1,0.714726,0.133603,[36  8] ; [14  4],[35.48387097  8.51612903] ; [14.51612903  3.48387097],0
a2,1,0.731845,0.117424,[ 9 35] ; [ 3 15],[ 8.51612903 35.48387097] ; [ 3.48387097 14.51612903],0
r4,1,0.758495,0.09453,[38  6] ; [15  3],[37.61290323  6.38709677] ; [15.38709677  2.61290323],0
u3,1,0.79525,0.06734,[8 3] ; [7 2],[8.25 2.75] ; [6.75 2.25],0
r2,1,0.807059,0.059644,[40  4] ; [16  2],[39.74193548  4.25806452] ; [16.25806452  1.74193548],0
r3,1,0.807059,0.059644,[40  4] ; [16  2],[39.74193548  4.25806452] ; [16.25806452  1.74193548],0
a5,1,0.820509,0.051479,[33 11] ; [13  5],[32.64516129 11.35483871] ; [13.35483871  4.64516129],0
d5,1,0.820509,0.051479,[33 11] ; [13  5],[32.64516129 11.35483871] ; [13.35483871  4.64516129],0
d1,1,0.870878,0.02642,[23 21] ; [9 9],[22.70967742 21.29032258] ; [9.29032258 8.70967742],0
b2,1,0.871173,0.026298,[ 9 18] ; [4 9],[ 8.775 18.225] ; [4.225 8.775],0
b3,1,0.871173,0.026298,[ 9 18] ; [4 9],[ 8.775 18.225] ; [4.225 8.775],0
n1,1,0.872081,0.025926,[4 5] ; [2 3],[3.85714286 5.14285714] ; [2.14285714 2.85714286],0
n3,1,0.92265,0.009428,[7 2] ; [4 1],[7.07142857 1.92857143] ; [3.92857143 1.07142857],0
n2,1,0.92265,0.009428,[7 2] ; [4 1],[7.07142857 1.92857143] ; [3.92857143 1.07142857],0
n4,1,0.942169,0.005263,[24 20] ; [10  8],[24.12903226 19.87096774] ; [9.87096774 8.12903226],0
v2,1,1.0,0.0,[20 20] ; [9 9],[20. 20.] ; [9. 9.],0
