Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.3e-05,16.347728,[62 23] ; [75  3],[71.44171779 13.55828221] ; [65.55828221 12.44171779],1
p10,1,0.000193,13.896129,[35 48] ; [55 22],[46.6875 36.3125] ; [43.3125 33.6875],1
s6,1,0.000706,11.472952,[35 48] ; [53 24],[45.65 37.35] ; [42.35 34.65],1
p7,1,0.001346,10.277899,[18 64] ; [35 41],[27.50632911 54.49367089] ; [25.49367089 50.50632911],0
p12,1,0.005498,7.707946,[ 1 84] ; [ 9 68],[ 5.24691358 79.75308642] ; [ 4.75308642 72.24691358],0
v3,1,0.006183,7.496197,[21 59] ; [36 40],[29.23076923 50.76923077] ; [27.76923077 48.23076923],0
p9,1,0.006207,7.489126,[40 42] ; [54 23],[48.47798742 33.52201258] ; [45.52201258 31.47798742],0
s1,1,0.00916,6.791384,[12 73] ; [ 2 75],[ 7.34567901 77.65432099] ; [ 6.65432099 70.34567901],0
d4,1,0.010886,6.483819,[55 29] ; [64 13],[62.08695652 21.91304348] ; [56.91304348 20.08695652],0
s2,1,0.013388,6.117165,[28 56] ; [41 37],[35.77777778 48.22222222] ; [33.22222222 44.77777778],0
s5,1,0.017816,5.614177,[15 64] ; [27 48],[21.54545455 57.45454545] ; [20.45454545 54.54545455],0
p6,1,0.024067,5.089777,[12 73] ; [22 55],[17.83950617 67.16049383] ; [16.16049383 60.83950617],0
s3,1,0.035612,4.415604,[31 52] ; [42 36],[37.63354037 45.36645963] ; [35.36645963 42.63354037],0
v4,1,0.037742,4.316632,[69 16] ; [72  6],[73.52760736 11.47239264] ; [67.47239264 10.52760736],0
a5,1,0.039057,4.258382,[49 36] ; [57 21],[55.27607362 29.72392638] ; [50.72392638 27.27607362],0
d5,1,0.039936,4.220592,[53 31] ; [60 17],[58.95652174 25.04347826] ; [54.04347826 22.95652174],0
r1,1,0.047238,3.93688,[57 28] ; [63 15],[62.57668712 22.42331288] ; [57.42331288 20.57668712],0
r4,1,0.053421,3.730705,[64 21] ; [68 10],[68.83435583 16.16564417] ; [63.16564417 14.83435583],0
s8,1,0.058303,3.58502,[24 60] ; [33 44],[29.73913043 54.26086957] ; [27.26086957 49.73913043],0
s7,1,0.064163,3.426365,[25 53] ; [35 40],[30.58823529 47.41176471] ; [29.41176471 45.58823529],0
a7,1,0.067123,3.352007,[47 38] ; [54 24],[52.66871166 32.33128834] ; [48.33128834 29.66871166],0
p8,1,0.076655,3.134435,[16 69] ; [24 54],[20.85889571 64.14110429] ; [19.14110429 58.85889571],0
n6,1,0.080775,3.049242,[55 29] ; [60 17],[60. 24.] ; [55. 22.],0
p4,1,0.092833,2.824556,[22 61] ; [30 47],[26.975 56.025] ; [25.025 51.975],0
p3,1,0.106527,2.605004,[24 61] ; [31 46],[28.85802469 56.14197531] ; [26.14197531 50.85802469],0
d1,1,0.131782,2.271387,[39 46] ; [45 33],[43.80368098 41.19631902] ; [40.19631902 37.80368098],0
