Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.254146,[32 69] ; [19  3],[41.87804878 59.12195122] ; [ 9.12195122 12.87804878],1
p8,1,0.000245,13.453212,[24 77] ; [14  8],[31.20325203 69.79674797] ; [ 6.79674797 15.20325203],1
a5,1,0.018738,5.525847,[56 46] ; [ 6 16],[51. 51.] ; [11. 11.],0
p2,1,0.018738,5.525847,[46 56] ; [16  6],[51. 51.] ; [11. 11.],0
b4,1,0.02391,5.101125,[68 34] ; [ 9 13],[63.33870968 38.66129032] ; [13.66129032  8.33870968],0
a6,1,0.03615,4.390037,[62 40] ; [ 8 14],[57.58064516 44.41935484] ; [12.41935484  9.58064516],0
s2,1,0.039251,4.249973,[24 77] ; [10 12],[27.91869919 73.08130081] ; [ 6.08130081 15.91869919],0
s7,1,0.051714,3.785005,[19 77] ; [ 8 12],[22.34482759 73.65517241] ; [ 4.65517241 15.34482759],0
r3,1,0.065172,3.400616,[73 28] ; [20  2],[76.36585366 24.63414634] ; [16.63414634  5.36585366],0
n3,1,0.069903,3.2853,[20 21] ; [6 1],[22.20833333 18.79166667] ; [3.79166667 3.20833333],0
d5,1,0.09666,2.759812,[74 28] ; [12 10],[70.74193548 31.25806452] ; [15.25806452  6.74193548],0
p3,1,0.1,2.705544,[24 77] ; [ 9 13],[27.09756098 73.90243902] ; [ 5.90243902 16.09756098],0
v4,1,0.10779,2.586334,[76 25] ; [20  2],[78.82926829 22.17073171] ; [17.17073171  4.82926829],0
r4,1,0.144633,2.127956,[62 40] ; [17  5],[64.98387097 37.01612903] ; [14.01612903  7.98387097],0
b5,1,0.184447,1.761427,[49 53] ; [14  8],[51.82258065 50.17741935] ; [11.17741935 10.82258065],0
p4,1,0.188743,1.727403,[35 65] ; [11 11],[37.70491803 62.29508197] ; [ 8.29508197 13.70491803],0
u2,1,0.19477,1.681159,[21 25] ; [8 4],[23. 23.] ; [6. 6.],0
p11,1,0.201746,1.629692,[45 57] ; [13  9],[47.70967742 54.29032258] ; [10.29032258 11.70967742],0
s3,1,0.209194,1.576997,[36 65] ; [11 11],[38.59349593 62.40650407] ; [ 8.40650407 13.59349593],0
s6,1,0.230632,1.436963,[37 65] ; [11 11],[39.48387097 62.51612903] ; [ 8.51612903 13.48387097],0
a8,1,0.25229,1.31058,[ 6 88] ; [ 3 19],[ 7.29310345 86.70689655] ; [ 1.70689655 20.29310345],0
s4,1,0.255529,1.29282,[15 87] ; [ 5 15],[16.72131148 85.27868852] ; [ 3.27868852 16.72131148],0
a2,1,0.270379,1.214825,[13 89] ; [ 1 21],[11.51612903 90.48387097] ; [ 2.48387097 19.51612903],0
n2,1,0.29141,1.113095,[22 22] ; [5 2],[23.29411765 20.70588235] ; [3.70588235 3.29411765],0
s8,1,0.299993,1.074225,[18 84] ; [ 6 16],[19.74193548 82.25806452] ; [ 4.25806452 17.74193548],0
v3,1,0.321588,0.982479,[23 76] ; [ 3 19],[21.27272727 77.72727273] ; [ 4.72727273 17.27272727],0
n1,1,0.333416,0.935584,[13 30] ; [3 3],[14.04081633 28.95918367] ; [1.95918367 4.04081633],0
n4,1,0.351168,0.869234,[62 40] ; [11 11],[60.0483871 41.9516129] ; [12.9516129  9.0483871],0
a1,1,0.431419,0.619002,[10 92] ; [ 1 21],[ 9.0483871 92.9516129] ; [ 1.9516129 20.0483871],0
r1,1,0.441848,0.591477,[69 33] ; [13  9],[67.4516129 34.5483871] ; [14.5483871  7.4516129],0
a3,1,0.443455,0.587327,[55 46] ; [10 12],[53.37398374 47.62601626] ; [11.62601626 10.37398374],0
u1,1,0.48862,0.479565,[ 9 93] ; [ 3 19],[ 9.87096774 92.12903226] ; [ 2.12903226 19.87096774],0
n5,1,0.615081,0.252842,[57 45] ; [11 11],[55.93548387 46.06451613] ; [12.06451613  9.93548387],0
a4,1,0.621818,0.243321,[33 68] ; [ 6 16],[32.02439024 68.97560976] ; [ 6.97560976 15.02439024],0
a7,1,0.651454,0.204072,[59 42] ; [14  8],[59.94308943 41.05691057] ; [13.05691057  8.94308943],0
d3,1,0.698919,0.149599,[51 51] ; [12 10],[51.82258065 50.17741935] ; [11.17741935 10.82258065],0
p5,1,0.705848,0.142459,[ 3 98] ; [ 1 21],[ 3.28455285 97.71544715] ; [ 0.71544715 21.28455285],0
b1,1,0.719826,0.12866,[56 46] ; [13  9],[56.75806452 45.24193548] ; [12.24193548  9.75806452],0
s1,1,0.722202,0.126393,[ 7 95] ; [ 1 20],[ 6.63414634 95.36585366] ; [ 1.36585366 19.63414634],0
n6,1,0.777688,0.079712,[61 40] ; [14  8],[61.58536585 39.41463415] ; [13.41463415  8.58536585],0
d1,1,0.783096,0.075783,[45 57] ; [ 9 13],[44.41935484 57.58064516] ; [ 9.58064516 12.41935484],0
s5,1,0.853943,0.033889,[17 85] ; [ 3 17],[16.72131148 85.27868852] ; [ 3.27868852 16.72131148],0
d2,1,0.865048,0.028884,[48 52] ; [11 11],[48.36065574 51.63934426] ; [10.63934426 11.36065574],0
d4,1,0.866611,0.028212,[70 30] ; [15  7],[69.67213115 30.32786885] ; [15.32786885  6.67213115],0
r2,1,0.894237,0.017674,[83 17] ; [18  4],[82.78688525 17.21311475] ; [18.21311475  3.78688525],0
b2,1,0.903988,0.01455,[17 46] ; [ 4 10],[17.18181818 45.81818182] ; [ 3.81818182 10.18181818],0
b3,1,0.903988,0.01455,[17 46] ; [ 4 10],[17.18181818 45.81818182] ; [ 3.81818182 10.18181818],0
u3,1,0.947543,0.004329,[24 23] ; [6 6],[23.89830508 23.10169492] ; [6.10169492 5.89830508],0
p10,1,0.958683,0.002684,[27 74] ; [ 6 16],[27.09756098 73.90243902] ; [ 5.90243902 16.09756098],0
v2,1,0.963178,0.002131,[31 68] ; [ 7 15],[31.09090909 67.90909091] ; [ 6.90909091 15.09090909],0
p1,1,0.978609,0.000719,[ 9 92] ; [ 2 20],[ 9.03252033 91.96747967] ; [ 1.96747967 20.03252033],0
