Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002217,9.360388,[111  58] ; [43 50],[99.33587786 69.66412214] ; [54.66412214 38.33587786],0
n5,1,0.002433,9.190522,[143  27] ; [64 30],[133.29545455  36.70454545] ; [73.70454545 20.29545455],0
p6,1,0.003527,8.51271,[81 84] ; [29 66],[69.80769231 95.19230769] ; [40.19230769 54.80769231],0
s8,1,0.0098,6.670876,[115  55] ; [49 46],[105.20754717  64.79245283] ; [58.79245283 36.20754717],0
s5,1,0.01979,5.430358,[83 82] ; [30 56],[74.28286853 90.71713147] ; [38.71713147 47.28286853],0
p5,1,0.024712,5.043933,[ 27 144] ; [ 6 89],[ 21.21428571 149.78571429] ; [11.78571429 83.21428571],0
u3,1,0.034538,4.467857,[27 10] ; [10 12],[23.20338983 13.79661017] ; [13.79661017  8.20338983],0
n4,1,0.038053,4.30266,[144  27] ; [70 25],[137.57142857  33.42857143] ; [76.42857143 18.57142857],0
v4,1,0.040921,4.179265,[165   6] ; [85  9],[161.32075472   9.67924528] ; [88.67924528  5.32075472],0
p1,1,0.041177,4.168717,[ 20 151] ; [ 4 91],[ 15.42857143 155.57142857] ; [ 8.57142857 86.42857143],0
p8,1,0.041831,4.142045,[104  64] ; [46 48],[96.18320611 71.81679389] ; [53.81679389 40.18320611],0
s2,1,0.041882,4.139983,[146  26] ; [71 24],[139.79026217  32.20973783] ; [77.20973783 17.79026217],0
p7,1,0.053982,3.713259,[123  40] ; [61 34],[116.24806202  46.75193798] ; [67.75193798 27.24806202],0
b5,1,0.064014,3.430215,[107  65] ; [48 47],[99.85018727 72.14981273] ; [55.14981273 39.85018727],0
n6,1,0.065714,3.386973,[151  17] ; [77 17],[146.19847328  21.80152672] ; [81.80152672 12.19847328],0
u2,1,0.077402,3.118636,[23 14] ; [ 8 13],[19.77586207 17.22413793] ; [11.22413793  9.77586207],0
u4,1,0.085033,2.965975,[  9 163] ; [ 1 94],[  6.44194757 165.55805243] ; [ 3.55805243 91.44194757],0
n3,1,0.106655,2.603094,[22  9] ; [18  2],[24.31372549  6.68627451] ; [15.68627451  4.31372549],0
p12,1,0.115034,2.483669,[ 28 142] ; [ 9 86],[ 23.73584906 146.26415094] ; [13.26415094 81.73584906],0
s1,1,0.116666,2.461513,[  8 161] ; [ 1 93],[  5.78326996 163.21673004] ; [ 3.21673004 90.78326996],0
p3,1,0.146289,2.110531,[101  68] ; [48 47],[95.38257576 73.61742424] ; [53.61742424 41.38257576],0
a1,1,0.146971,2.103407,[ 13 159] ; [ 3 92],[ 10.3071161 161.6928839] ; [ 5.6928839 89.3071161],0
p4,1,0.175382,1.836327,[112  57] ; [55 40],[106.90530303  62.09469697] ; [60.09469697 34.90530303],0
p2,1,0.179954,1.798,[146  25] ; [75 20],[142.07142857  28.92857143] ; [78.92857143 16.07142857],0
s7,1,0.186663,1.743758,[122  45] ; [60 32],[117.35135135  49.64864865] ; [64.64864865 27.35135135],0
p9,1,0.195393,1.676476,[153  16] ; [81 14],[149.79545455  19.20454545] ; [84.20454545 10.79545455],0
n2,1,0.202956,1.620975,[23  7] ; [19  2],[24.70588235  5.29411765] ; [17.29411765  3.70588235],0
s4,1,0.21012,1.570602,[ 29 143] ; [22 73],[ 32.85393258 139.14606742] ; [18.14606742 76.85393258],0
r4,1,0.265452,1.240099,[162  10] ; [86  9],[159.76029963  12.23970037] ; [88.23970037  6.76029963],0
d4,1,0.27352,1.199008,[152  19] ; [80 15],[149.14285714  21.85714286] ; [82.85714286 12.14285714],0
a7,1,0.29002,1.119529,[125  46] ; [75 20],[128.57142857  42.42857143] ; [71.42857143 23.57142857],0
s6,1,0.294471,1.099065,[144  22] ; [77 17],[141.1  24.9] ; [79.9 14.1],0
a6,1,0.294677,1.09813,[111  59] ; [68 27],[114.83018868  55.16981132] ; [64.16981132 30.83018868],0
d3,1,0.307798,1.040103,[127  44] ; [65 30],[123.42857143  47.57142857] ; [68.57142857 26.42857143],0
