Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.005665,7.653814,[17 65] ; [13 14],[22.56880734 59.43119266] ; [ 7.43119266 19.56880734],0
p10,1,0.010265,6.588361,[39 42] ; [20  6],[44.6635514 36.3364486] ; [14.3364486 11.6635514],0
s1,1,0.013677,6.079332,[ 2 81] ; [ 4 23],[ 4.52727273 78.47272727] ; [ 1.47272727 25.52727273],0
u3,1,0.02381,5.108416,[ 9 30] ; [6 4],[11.93877551 27.06122449] ; [3.06122449 6.93877551],0
p3,1,0.028,4.828074,[21 63] ; [12 13],[25.43119266 58.56880734] ; [ 7.56880734 17.43119266],0
s5,1,0.028645,4.788805,[ 4 76] ; [ 5 22],[ 6.72897196 73.27102804] ; [ 2.27102804 24.72897196],0
p5,1,0.061734,3.490181,[ 2 80] ; [ 3 24],[ 3.76146789 78.23853211] ; [ 1.23853211 25.76146789],0
p4,1,0.063426,3.445464,[25 58] ; [13 13],[28.93577982 54.06422018] ; [ 9.06422018 16.93577982],0
b1,1,0.068835,3.310593,[36 48] ; [17 10],[40.10810811 43.89189189] ; [12.89189189 14.10810811],0
b4,1,0.109051,2.567919,[46 38] ; [10 17],[42.37837838 41.62162162] ; [13.62162162 13.37837838],0
p9,1,0.118456,2.437624,[49 31] ; [21  6],[52.3364486 27.6635514] ; [17.6635514  9.3364486],0
n2,1,0.178596,1.809265,[20 14] ; [6 1],[21.56097561 12.43902439] ; [4.43902439 2.56097561],0
n1,1,0.195801,1.673418,[10 22] ; [4 3],[11.48717949 20.51282051] ; [2.51282051 4.48717949],0
s7,1,0.297313,1.086207,[12 68] ; [ 6 19],[13.71428571 66.28571429] ; [ 4.28571429 20.71428571],0
v3,1,0.298191,1.082265,[14 69] ; [ 7 20],[15.84545455 67.15454545] ; [ 5.15454545 21.84545455],0
s3,1,0.310494,1.028571,[19 62] ; [ 9 18],[21. 60.] ; [ 7. 20.],0
d2,1,0.323388,0.975196,[33 49] ; [ 8 19],[30.8440367 51.1559633] ; [10.1559633 16.8440367],0
b2,1,0.351783,0.867013,[22 29] ; [8 6],[23.53846154 27.46153846] ; [6.46153846 7.53846154],0
b3,1,0.351783,0.867013,[22 29] ; [8 6],[23.53846154 27.46153846] ; [6.46153846 7.53846154],0
a5,1,0.35384,0.859639,[35 49] ; [14 13],[37.08108108 46.91891892] ; [11.91891892 15.08108108],0
