Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,70.750634,[178  51] ; [197 253],[126.47275405 102.52724595] ; [248.52724595 201.47275405],1
p7,1,0.0,63.030423,[181  43] ; [217 227],[133.46107784  90.53892216] ; [264.53892216 179.46107784],1
p8,1,0.0,41.552552,[148  79] ; [175 274],[108.46301775 118.53698225] ; [214.53698225 234.46301775],1
p3,1,0.0,36.477715,[140  89] ; [167 287],[102.93265007 126.06734993] ; [204.06734993 249.93265007],1
s8,1,0.0,31.59984,[129  99] ; [154 298],[ 94.88823529 133.11176471] ; [188.11176471 263.88823529],1
s7,1,3e-06,22.089075,[130  91] ; [170 261],[101.68711656 119.31288344] ; [198.31288344 232.68711656],1
v1,1,1.1e-05,19.249207,[141  85] ; [196 245],[114.18590705 111.81409295] ; [222.81409295 218.18590705],1
p2,1,2.4e-05,17.872571,[205  24] ; [344 109],[184.34164223  44.65835777] ; [364.65835777  88.34164223],1
p9,1,4.8e-05,16.518694,[205  23] ; [342 102],[185.58928571  42.41071429] ; [361.41071429  82.58928571],1
s6,1,0.000143,14.46822,[168  57] ; [268 180],[145.76523031  79.23476969] ; [290.23476969 157.76523031],1
s2,1,0.000285,13.169524,[138  90] ; [206 244],[115.68141593 112.31858407] ; [228.31858407 221.68141593],1
n4,1,0.000615,11.731062,[188  41] ; [316 136],[169.48017621  59.51982379] ; [334.51982379 117.48017621],1
s5,1,0.000629,11.689452,[ 88 130] ; [120 321],[ 68.80728376 149.19271624] ; [139.19271624 301.80728376],1
r4,1,0.000918,10.986797,[214  15] ; [384  70],[200.50073206  28.49926794] ; [397.49926794  56.50073206],1
s4,1,0.003166,8.709238,[ 53 172] ; [ 65 386],[ 39.27514793 185.72485207] ; [ 78.72485207 372.27514793],0
p10,1,0.003286,8.641268,[192  35] ; [336 114],[177.03988183  49.96011817] ; [350.96011817  99.03988183],0
d1,1,0.005142,7.828784,[172  57] ; [293 161],[155.90775988  73.09224012] ; [309.09224012 144.90775988],0
n6,1,0.005176,7.816926,[199  28] ; [355  95],[185.7577548  41.2422452] ; [368.2422452  81.7577548],0
v4,1,0.006079,7.526678,[222   7] ; [412  39],[213.50882353  15.49117647] ; [420.49117647  30.50882353],0
n5,1,0.008468,6.93177,[175  53] ; [300 148],[160.20710059  67.79289941] ; [314.79289941 133.20710059],0
b2,1,0.015909,5.812857,[65 77] ; [ 88 174],[53.77722772 88.22277228] ; [ 99.22277228 162.77722772],0
b3,1,0.015909,5.812857,[65 77] ; [ 88 174],[53.77722772 88.22277228] ; [ 99.22277228 162.77722772],0
r2,1,0.016792,5.717956,[218   7] ; [411  35],[210.91654247  14.08345753] ; [418.08345753  27.91654247],0
u1,1,0.016907,5.705983,[ 57 172] ; [ 78 376],[ 45.26354319 183.73645681] ; [ 89.73645681 364.26354319],0
p1,1,0.032043,4.596208,[ 18 210] ; [ 18 433],[ 12.08836524 215.91163476] ; [ 23.91163476 427.08836524],0
d5,1,0.039626,4.233821,[208  21] ; [387  67],[199.49487555  29.50512445] ; [395.50512445  58.49487555],0
r3,1,0.042932,4.098079,[221   7] ; [422  31],[215.27753304  12.72246696] ; [427.72246696  25.27753304],0
d3,1,0.047995,3.910146,[186  43] ; [338 116],[175.68960469  53.31039531] ; [348.31039531 105.68960469],0
s3,1,0.049746,3.849991,[137  91] ; [232 213],[125.01040119 102.98959881] ; [243.98959881 201.01040119],0
a4,1,0.050864,3.812748,[123 106] ; [207 245],[110.969163 118.030837] ; [219.030837 232.969163],0
d2,1,0.052244,3.767923,[132  97] ; [225 227],[120.04845815 108.95154185] ; [236.95154185 215.04845815],0
p11,1,0.068012,3.330367,[183  46] ; [334 120],[173.34260615  55.65739385] ; [343.65739385 110.34260615],0
a2,1,0.198029,1.656848,[ 67 162] ; [112 342],[ 60.01610542 168.98389458] ; [118.98389458 335.01610542],0
u3,1,0.20738,1.58962,[38 20] ; [69 55],[34.0989011 23.9010989] ; [72.9010989 51.0989011],0
b1,1,0.211501,1.561124,[ 95 134] ; [166 288],[ 87.50951684 141.49048316] ; [173.49048316 280.50951684],0
a6,1,0.256601,1.287002,[151  77] ; [320 134],[157.46041056  70.53958944] ; [313.53958944 140.46041056],0
v2,1,0.282486,1.155092,[135  90] ; [242 193],[128.52272727  96.47727273] ; [248.47727273 186.52272727],0
n3,1,0.329105,0.952415,[35 12] ; [78 39],[32.38414634 14.61585366] ; [80.61585366 36.38414634],0
p12,1,0.349355,0.875799,[ 15 212] ; [ 22 429],[ 12.3879056 214.6120944] ; [ 24.6120944 426.3879056],0
a5,1,0.415337,0.663471,[177  52] ; [338 116],[172.67203514  56.32796486] ; [342.32796486 111.67203514],0
n1,1,0.451701,0.566379,[19 28] ; [40 77],[16.90853659 30.09146341] ; [42.09146341 74.90853659],0
a3,1,0.49028,0.475911,[170  57] ; [328 125],[166.24411765  60.75588235] ; [331.75588235 121.24411765],0
b5,1,0.558052,0.343088,[146  83] ; [279 175],[142.49633968  86.50366032] ; [282.50366032 171.49633968],0
b4,1,0.604534,0.268211,[134  95] ; [275 179],[137.1317716  91.8682284] ; [271.8682284 182.1317716],0
u4,1,0.703656,0.144697,[  5 224] ; [  8 446],[  4.35871157 224.64128843] ; [  8.64128843 445.35871157],0
s1,1,0.77451,0.082071,[  7 221] ; [ 12 435],[  6.41777778 221.58222222] ; [ 12.58222222 434.41777778],0
a8,1,0.775248,0.08152,[ 27 179] ; [ 58 358],[ 28.1511254 177.8488746] ; [ 56.8488746 359.1511254],0
a7,1,0.828055,0.047175,[170  58] ; [335 119],[168.82697947  59.17302053] ; [336.17302053 117.82697947],0
r1,1,0.871661,0.026098,[185  44] ; [362  89],[184.21029412  44.78970588] ; [362.78970588  88.21029412],0
n2,1,0.923927,0.009118,[34 14] ; [82 35],[33.74545455 14.25454545] ; [82.25454545 34.74545455],0
u2,1,0.934271,0.006802,[35 24] ; [71 50],[34.74444444 24.25555556] ; [71.25555556 49.74444444],0
v3,1,0.968858,0.001524,[ 82 140] ; [160 275],[ 81.7716895 140.2283105] ; [160.2283105 274.7716895],0
a1,1,0.98152,0.000537,[ 10 219] ; [ 20 434],[ 10.05856515 218.94143485] ; [ 19.94143485 434.05856515],0
