Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,53.373656,[121   6] ; [1 6],[115.62686567  11.37313433] ; [6.37313433 0.62686567],1
n6,1,0.000101,15.11147,[119   6] ; [4 3],[116.47727273   8.52272727] ; [6.52272727 0.47727273],1
n5,1,0.000152,14.352672,[115  12] ; [3 4],[111.8358209  15.1641791] ; [6.1641791 0.8358209],1
a5,1,0.015394,5.870796,[103  24] ; [3 4],[100.46268657  26.53731343] ; [5.53731343 1.46268657],0
p7,1,0.015608,5.84654,[110  14] ; [4 3],[107.90839695  16.09160305] ; [6.09160305 0.90839695],0
d4,1,0.045162,4.012567,[107  18] ; [4 3],[105.11363636  19.88636364] ; [5.88636364 1.11363636],0
s6,1,0.049072,3.872901,[93 29] ; [3 4],[90.79069767 31.20930233] ; [5.20930233 1.79069767],0
p11,1,0.052417,3.762406,[108  19] ; [4 3],[106.14925373  20.85074627] ; [5.85074627 1.14925373],0
d5,1,0.056044,3.650743,[106  19] ; [4 3],[104.16666667  20.83333333] ; [5.83333333 1.16666667],0
p4,1,0.066148,3.376109,[106  20] ; [4 3],[104.21052632  21.78947368] ; [5.78947368 1.21052632],0
p3,1,0.075279,3.163992,[93 33] ; [3 4],[90.94736842 35.05263158] ; [5.05263158 1.94736842],0
r3,1,0.13251,2.262847,[122   4] ; [6 1],[121.26315789   4.73684211] ; [6.73684211 0.26315789],0
r2,1,0.13251,2.262847,[122   4] ; [6 1],[121.26315789   4.73684211] ; [6.73684211 0.26315789],0
a3,1,0.150004,2.072214,[100  25] ; [4 3],[98.48484848 26.51515152] ; [5.51515152 1.48484848],0
d1,1,0.175166,1.838167,[86 41] ; [3 4],[84.35074627 42.64925373] ; [4.64925373 2.35074627],0
p8,1,0.208809,1.579661,[98 28] ; [4 3],[96.63157895 29.36842105] ; [5.36842105 1.63157895],0
v1,1,0.256104,1.289697,[96 30] ; [4 3],[94.73684211 31.26315789] ; [5.26315789 1.73684211],0
a4,1,0.260892,1.264019,[64 63] ; [2 5],[62.55223881 64.44776119] ; [3.44776119 3.55223881],0
u3,1,0.320316,0.987654,[17 10] ; [1 2],[16.2 10.8] ; [1.8 1.2],0
b1,1,0.328223,0.955895,[49 78] ; [4 3],[50.23134328 76.76865672] ; [2.76865672 4.23134328],0
b2,1,0.328977,0.952921,[40 40] ; [1 3],[39.04761905 40.95238095] ; [1.95238095 2.04761905],0
b3,1,0.328977,0.952921,[40 40] ; [1 3],[39.04761905 40.95238095] ; [1.95238095 2.04761905],0
r4,1,0.340175,0.90977,[120   7] ; [6 1],[119.41791045   7.58208955] ; [6.58208955 0.41791045],0
b5,1,0.373803,0.790983,[76 51] ; [3 4],[74.87313433 52.12686567] ; [4.12686567 2.87313433],0
s2,1,0.383467,0.759557,[75 51] ; [3 4],[73.89473684 52.10526316] ; [4.10526316 2.89473684],0
a7,1,0.390017,0.738889,[91 35] ; [4 3],[90. 36.] ; [5. 2.],0
p5,1,0.396164,0.71994,[37 90] ; [1 6],[36.01492537 90.98507463] ; [1.98507463 5.01492537],0
a2,1,0.417898,0.65622,[36 91] ; [1 6],[35.06716418 91.93283582] ; [1.93283582 5.06716418],0
d3,1,0.457716,0.551474,[92 34] ; [6 1],[92.84210526 33.15789474] ; [5.15789474 1.84210526],0
r1,1,0.489142,0.478412,[104  23] ; [5 2],[103.30597015  23.69402985] ; [5.69402985 1.30597015],0
s5,1,0.522516,0.408925,[56 64] ; [2 4],[55.23809524 64.76190476] ; [2.76190476 3.23809524],0
s7,1,0.533515,0.387692,[88 33] ; [3 2],[87.38888889 33.61111111] ; [3.61111111 1.38888889],0
d2,1,0.538391,0.378529,[69 57] ; [3 4],[68.21052632 57.78947368] ; [3.78947368 3.21052632],0
a6,1,0.550872,0.355758,[85 40] ; [4 3],[84.28030303 40.71969697] ; [4.71969697 2.28030303],0
v2,1,0.684386,0.16523,[100  26] ; [6 1],[100.42105263  25.57894737] ; [5.57894737 1.42105263],0
b4,1,0.711115,0.137166,[82 45] ; [5 2],[82.45522388 44.54477612] ; [4.54477612 2.45522388],0
s8,1,0.713614,0.134694,[80 45] ; [4 3],[79.54545455 45.45454545] ; [4.45454545 2.54545455],0
p2,1,0.733107,0.116278,[114  13] ; [6 1],[113.73134328  13.26865672] ; [6.26865672 0.73134328],0
u2,1,0.803785,0.061728,[16 11] ; [2 1],[16.2 10.8] ; [1.8 1.2],0
s3,1,0.86047,0.030897,[75 49] ; [4 3],[74.77862595 49.22137405] ; [4.22137405 2.77862595],0
p1,1,0.868928,0.027232,[ 21 105] ; [1 6],[ 20.84210526 105.15789474] ; [1.15789474 5.84210526],0
s4,1,0.952358,0.00357,[ 17 109] ; [1 6],[ 17.05263158 108.94736842] ; [0.94736842 6.05263158],0
a8,1,0.992496,8.8e-05,[16 95] ; [1 6],[15.99152542 95.00847458] ; [1.00847458 5.99152542],0
