Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,80.847564,[41 83] ; [200  49],[80.11796247 43.88203753] ; [160.88203753  88.11796247],1
a4,1,1e-05,19.509254,[28 96] ; [115 134],[47.53887399 76.46112601] ; [ 95.46112601 153.53887399],1
a5,1,1.4e-05,18.813953,[61 63] ; [180  70],[79.90374332 44.09625668] ; [161.09625668  88.90374332],1
s7,1,4.3e-05,16.746713,[27 94] ; [106 133],[44.70277778 76.29722222] ; [ 88.29722222 150.70277778],1
n6,1,4.3e-05,16.745417,[81 43] ; [210  40],[96.48128342 27.51871658] ; [194.51871658  55.48128342],1
a8,1,0.000822,11.190586,[  5 114] ; [ 38 190],[ 14.74639769 104.25360231] ; [ 28.25360231 199.74639769],1
a3,1,0.000864,11.098643,[68 55] ; [180  68],[82.22102426 40.77897574] ; [165.77897574  82.22102426],1
p11,1,0.004145,8.219031,[76 48] ; [189  61],[87.86096257 36.13903743] ; [177.13903743  72.86096257],0
a2,1,0.00516,7.822666,[ 13 111] ; [ 56 194],[ 22.87700535 101.12299465] ; [ 46.12299465 203.87700535],0
v3,1,0.005885,7.585129,[29 90] ; [ 94 147],[40.65833333 78.34166667] ; [ 82.34166667 158.65833333],0
s4,1,0.008753,6.872532,[30 94] ; [ 33 214],[ 21.05660377 102.94339623] ; [ 41.94339623 205.05660377],0
r2,1,0.009303,6.763636,[112  12] ; [240   8],[117.33333333   6.66666667] ; [234.66666667  13.33333333],0
u1,1,0.009684,6.692187,[  7 117] ; [ 37 213],[ 14.58823529 109.41176471] ; [ 29.41176471 220.58823529],0
s8,1,0.010626,6.526839,[31 92] ; [ 96 153],[41.99193548 81.00806452] ; [ 85.00806452 163.99193548],0
r1,1,0.017348,5.66087,[84 40] ; [196  52],[93.33333333 30.66666667] ; [186.66666667  61.33333333],0
d2,1,0.019009,5.500651,[40 84] ; [111 136],[50.4690027 73.5309973] ; [100.5309973 146.4690027],0
n1,1,0.03274,4.559346,[13 41] ; [27 36],[18.46153846 35.53846154] ; [21.53846154 41.46153846],0
s3,1,0.047433,3.929976,[53 71] ; [132 114],[62. 62.] ; [123. 123.],0
n3,1,0.049674,3.852439,[33 21] ; [49 14],[37.84615385 16.15384615] ; [44.15384615 18.84615385],0
p12,1,0.053421,3.730699,[  2 121] ; [ 15 231],[  5.66666667 117.33333333] ; [ 11.33333333 234.66666667],0
p7,1,0.059772,3.543689,[48 70] ; [123 117],[56.36312849 61.63687151] ; [114.63687151 125.36312849],0
n2,1,0.062872,3.459948,[36 18] ; [53 12],[40.38655462 13.61344538] ; [48.61344538 16.38655462],0
v2,1,0.076354,3.140844,[52 65] ; [128 107],[59.82954545 57.17045455] ; [120.17045455 114.82954545],0
p3,1,0.092505,2.830234,[ 22 101] ; [ 64 185],[28.43548387 94.56451613] ; [ 57.56451613 191.43548387],0
p5,1,0.126326,2.337077,[  2 121] ; [ 12 236],[  4.64150943 118.35849057] ; [  9.35849057 238.64150943],0
s6,1,0.132236,2.266054,[62 59] ; [147 100],[68.7201087 52.2798913] ; [140.2798913 106.7201087],0
d1,1,0.162805,1.947976,[53 71] ; [126 124],[59.34759358 64.65240642] ; [119.65240642 130.34759358],0
p10,1,0.178462,1.810383,[81 40] ; [182  65],[86.47554348 34.52445652] ; [176.52445652  70.47554348],0
r4,1,0.190411,1.714431,[103  21] ; [220  30],[107.09090909  16.90909091] ; [215.90909091  34.09090909],0
p1,1,0.193481,1.690909,[  4 120] ; [ 16 232],[  6.66666667 117.33333333] ; [ 13.33333333 234.66666667],0
p6,1,0.215007,1.537391,[ 17 102] ; [ 48 197],[21.25 97.75] ; [ 43.75 201.25],0
v1,1,0.30068,1.071174,[49 73] ; [111 131],[53.62637363 68.37362637] ; [106.37362637 135.62637363],0
p2,1,0.317064,1.001018,[85 39] ; [183  66],[89.09383378 34.90616622] ; [178.90616622  70.09383378],0
r3,1,0.321583,0.982497,[111  12] ; [232  17],[113.41129032   9.58870968] ; [229.58870968  19.41129032],0
d5,1,0.3242,0.971929,[87 36] ; [188  61],[90.92741935 32.07258065] ; [184.07258065  64.92741935],0
u3,1,0.338432,0.916364,[32 24] ; [34 36],[29.33333333 26.66666667] ; [36.66666667 33.33333333],0
a6,1,0.3553,0.854436,[77 47] ; [166  82],[81. 43.] ; [162.  86.],0
b2,1,0.378218,0.776488,[16 38] ; [53 93],[18.63 35.37] ; [50.37 95.63],0
b3,1,0.378218,0.776488,[16 38] ; [53 93],[18.63 35.37] ; [50.37 95.63],0
p8,1,0.390589,0.737108,[38 85] ; [ 86 157],[41.67213115 81.32786885] ; [ 82.32786885 160.67213115],0
s2,1,0.405968,0.690577,[48 75] ; [108 140],[51.71967655 71.28032345] ; [104.28032345 143.71967655],0
s1,1,0.4207,0.648359,[  3 120] ; [ 10 235],[  4.3451087 118.6548913] ; [  8.6548913 236.3451087],0
b4,1,0.465685,0.532195,[68 56] ; [147 103],[71.28342246 52.71657754] ; [143.71657754 106.28342246],0
b1,1,0.635477,0.224707,[44 80] ; [ 95 155],[46.0855615 77.9144385] ; [ 92.9144385 157.0855615],0
s5,1,0.637693,0.221772,[29 91] ; [ 63 175],[30.83798883 89.16201117] ; [ 61.16201117 176.83798883],0
u4,1,0.727597,0.12133,[  1 123] ; [  3 247],[  1.32620321 122.67379679] ; [  2.67379679 247.32620321],0
a7,1,0.75032,0.101262,[85 38] ; [168  81],[83.65322581 39.34677419] ; [169.34677419  79.65322581],0
p9,1,0.848972,0.036264,[91 28] ; [188  55],[91.71546961 27.28453039] ; [187.28453039  55.71546961],0
d4,1,0.861365,0.030498,[95 29] ; [192  56],[95.66666667 28.33333333] ; [191.33333333  56.66666667],0
d3,1,0.88337,0.02152,[74 48] ; [153  96],[74.64690027 47.35309973] ; [152.35309973  96.64690027],0
u2,1,0.920873,0.009867,[29 26] ; [37 32],[29.27419355 25.72580645] ; [36.72580645 32.27419355],0
b5,1,0.956111,0.003029,[79 45] ; [160  90],[79.24064171 44.75935829] ; [159.75935829  90.24064171],0
a1,1,0.988058,0.000224,[  5 119] ; [ 10 240],[  4.97326203 119.02673797] ; [ 10.02673797 239.97326203],0
