Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,37.358493,[14 68] ; [40 19],[31.40425532 50.59574468] ; [22.59574468 36.40425532],1
s2,1,0.0,31.476875,[15 64] ; [39 20],[30.91304348 48.08695652] ; [23.08695652 35.91304348],1
s5,1,1e-05,19.496225,[ 7 70] ; [24 34],[17.68148148 59.31851852] ; [13.31851852 44.68148148],1
p10,1,5.7e-05,16.186649,[48 31] ; [53  5],[58.24087591 20.75912409] ; [42.75912409 15.24087591],1
s6,1,0.000146,14.429542,[39 41] ; [46 11],[49.6350365 30.3649635] ; [35.3649635 21.6350365],1
a5,1,0.000478,12.199557,[34 48] ; [42 17],[44.19858156 37.80141844] ; [31.80141844 27.19858156],1
s3,1,0.003181,8.700843,[33 46] ; [39 19],[41.51824818 37.48175182] ; [30.48175182 27.51824818],0
a3,1,0.019468,5.458987,[36 45] ; [38 21],[42.81428571 38.18571429] ; [31.18571429 27.81428571],0
p6,1,0.032835,4.554353,[19 61] ; [24 35],[24.74820144 55.25179856] ; [18.25179856 40.74820144],0
p9,1,0.033463,4.521949,[57 23] ; [51  8],[62.15827338 17.84172662] ; [45.84172662 13.15827338],0
d1,1,0.035254,4.432844,[ 1 81] ; [ 5 54],[ 3.4893617 78.5106383] ; [ 2.5106383 56.4893617],0
p5,1,0.041786,4.143852,[ 5 76] ; [10 49],[ 8.67857143 72.32142857] ; [ 6.32142857 52.67857143],0
p2,1,0.052523,3.759023,[58 24] ; [50  9],[62.80851064 19.19148936] ; [45.19148936 13.80851064],0
d2,1,0.0568,3.628446,[15 67] ; [19 40],[19.77304965 62.22695035] ; [14.22695035 44.77304965],0
p7,1,0.06994,3.284418,[42 38] ; [40 19],[47.1942446 32.8057554] ; [34.8057554 24.1942446],0
p8,1,0.109554,2.560638,[32 47] ; [32 27],[36.63768116 42.36231884] ; [27.36231884 31.63768116],0
d3,1,0.116504,2.463695,[19 62] ; [21 38],[23.14285714 57.85714286] ; [16.85714286 42.14285714],0
p4,1,0.128092,2.315479,[38 44] ; [35 24],[42.45390071 39.54609929] ; [30.54609929 28.45390071],0
b2,1,0.137241,2.208627,[ 8 40] ; [12 28],[10.90909091 37.09090909] ; [ 9.09090909 30.90909091],0
b3,1,0.137241,2.208627,[ 8 40] ; [12 28],[10.90909091 37.09090909] ; [ 9.09090909 30.90909091],0
v1,1,0.160185,1.972481,[34 45] ; [32 26],[38.05839416 40.94160584] ; [27.94160584 30.05839416],0
n5,1,0.195279,1.677332,[57 25] ; [46 12],[60.32857143 21.67142857] ; [42.67142857 15.32857143],0
n6,1,0.22533,1.4701,[66 16] ; [52  7],[68.62411348 13.37588652] ; [49.37588652  9.62411348],0
v2,1,0.277959,1.177041,[30 44] ; [29 29],[33.07575758 40.92424242] ; [25.92424242 32.07575758],0
v3,1,0.291401,1.113139,[24 55] ; [23 36],[26.9057971 52.0942029] ; [20.0942029 38.9057971],0
r2,1,0.313363,1.016449,[78  4] ; [58  1],[79.09219858  2.90780142] ; [56.90780142  2.09219858],0
n1,1,0.324324,0.971429,[ 6 12] ; [8 8],[ 7.41176471 10.58823529] ; [6.58823529 9.41176471],0
a6,1,0.328976,0.952926,[49 33] ; [40 19],[51.75886525 30.24113475] ; [37.24113475 21.75886525],0
a2,1,0.357202,0.847706,[ 6 76] ; [ 7 52],[ 7.56028369 74.43971631] ; [ 5.43971631 53.56028369],0
s4,1,0.368583,0.808435,[13 68] ; [13 46],[15.04285714 65.95714286] ; [10.95714286 48.04285714],0
v4,1,0.36968,0.804741,[81  1] ; [56  2],[80.24285714  1.75714286] ; [56.75714286  1.24285714],0
s1,1,0.415671,0.662523,[ 3 76] ; [ 4 54],[ 4.03649635 74.96350365] ; [ 2.96350365 55.03649635],0
p1,1,0.42477,0.637079,[10 72] ; [10 49],[11.63120567 70.36879433] ; [ 8.36879433 50.63120567],0
b1,1,0.427784,0.628831,[28 54] ; [24 35],[30.24113475 51.75886525] ; [21.75886525 37.24113475],0
a4,1,0.447704,0.576457,[16 64] ; [15 44],[17.84172662 62.15827338] ; [13.15827338 45.84172662],0
r1,1,0.474334,0.511861,[60 21] ; [46 12],[61.76978417 19.23021583] ; [44.23021583 13.76978417],0
b5,1,0.487036,0.483068,[52 30] ; [34 25],[50.0141844 31.9858156] ; [35.9858156 23.0141844],0
d5,1,0.510666,0.432701,[38 43] ; [31 28],[39.92142857 41.07857143] ; [29.07857143 29.92142857],0
u2,1,0.513428,0.427074,[18 28] ; [10 11],[19.2238806 26.7761194] ; [ 8.7761194 12.2238806],0
a8,1,0.515662,0.422561,[ 9 64] ; [ 9 46],[10.265625 62.734375] ; [ 7.734375 47.265625],0
n3,1,0.545417,0.365591,[16  1] ; [15  2],[15.5  1.5] ; [15.5  1.5],0
p12,1,0.580057,0.306142,[ 6 75] ; [ 3 56],[ 5.20714286 75.79285714] ; [ 3.79285714 55.20714286],0
n2,1,0.580758,0.305011,[16  2] ; [14  3],[15.42857143  2.57142857] ; [14.57142857  2.42857143],0
u3,1,0.587139,0.294834,[23 23] ; [12  9],[24.02985075 21.97014925] ; [10.97014925 10.02985075],0
p11,1,0.59242,0.28658,[63 19] ; [43 16],[61.64539007 20.35460993] ; [44.35460993 14.64539007],0
b4,1,0.597345,0.279019,[44 38] ; [29 30],[42.45390071 39.54609929] ; [30.54609929 28.45390071],0
