Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-05,19.485505,[24 16] ; [ 2 26],[15.29411765 24.70588235] ; [10.70588235 17.29411765],1
a3,1,3.1e-05,17.369172,[31  8] ; [ 8 20],[22.70149254 16.29850746] ; [16.29850746 11.70149254],1
d5,1,0.009254,6.773123,[32  8] ; [14 14],[27.05882353 12.94117647] ; [18.94117647  9.05882353],0
a7,1,0.017257,5.67004,[26 14] ; [10 18],[21.17647059 18.82352941] ; [14.82352941 13.17647059],0
p6,1,0.025904,4.962406,[ 3 35] ; [ 8 20],[ 6.33333333 31.66666667] ; [ 4.66666667 23.33333333],0
p7,1,0.050568,3.822532,[12 28] ; [15 13],[15.88235294 24.11764706] ; [11.11764706 16.88235294],0
r2,1,0.054228,3.70568,[33  6] ; [18 10],[29.68656716  9.31343284] ; [21.31343284  6.68656716],0
d3,1,0.05909,3.562748,[25 15] ; [11 17],[21.17647059 18.82352941] ; [14.82352941 13.17647059],0
v3,1,0.084745,2.971461,[11 27] ; [ 3 24],[ 8.18461538 29.81538462] ; [ 5.81538462 21.18461538],0
d4,1,0.096439,2.763468,[30 10] ; [15 12],[26.86567164 13.13432836] ; [18.13432836  8.86567164],0
s4,1,0.098294,2.733014,[ 4 36] ; [ 7 21],[ 6.47058824 33.52941176] ; [ 4.52941176 23.47058824],0
v2,1,0.105639,2.618286,[17 23] ; [ 6 20],[13.93939394 26.06060606] ; [ 9.06060606 16.93939394],0
b5,1,0.127515,2.322496,[14 26] ; [15 13],[17.05882353 22.94117647] ; [11.94117647 16.05882353],0
a6,1,0.146631,2.106956,[27 13] ; [14 14],[24.11764706 15.88235294] ; [16.88235294 11.11764706],0
p3,1,0.158675,1.986813,[13 26] ; [ 5 23],[10.47761194 28.52238806] ; [ 7.52238806 20.47761194],0
d1,1,0.170066,1.882365,[18 22] ; [ 8 20],[15.29411765 24.70588235] ; [10.70588235 17.29411765],0
r1,1,0.187719,1.735431,[29 11] ; [16 12],[26.47058824 13.52941176] ; [18.52941176  9.47058824],0
r4,1,0.188978,1.725564,[25 15] ; [13 15],[22.35294118 17.64705882] ; [15.64705882 12.35294118],0
d2,1,0.201938,1.628299,[22 18] ; [11 17],[19.41176471 20.58823529] ; [13.58823529 14.41176471],0
b4,1,0.205376,1.603724,[21 19] ; [19  9],[23.52941176 16.47058824] ; [16.47058824 11.52941176],0
p4,1,0.226741,1.46119,[14 26] ; [ 6 22],[11.76470588 28.23529412] ; [ 8.23529412 19.76470588],0
n4,1,0.234422,1.413828,[23 17] ; [12 16],[20.58823529 19.41176471] ; [14.41176471 13.58823529],0
u2,1,0.298433,1.081182,[4 5] ; [13  7],[5.27586207 3.72413793] ; [11.72413793  8.27586207],0
a1,1,0.317508,0.999184,[ 4 36] ; [ 1 27],[ 2.94117647 37.05882353] ; [ 2.05882353 25.94117647],0
p2,1,0.324324,0.971429,[18 22] ; [16 12],[20. 20.] ; [14. 14.],0
