Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.005127,7.834225,[ 1 10] ; [34 28],[5.2739726 5.7260274] ; [29.7260274 32.2739726],0
v2,1,0.022882,5.177465,[7 4] ; [17 43],[3.71830986 7.28169014] ; [20.28169014 39.71830986],0
r1,1,0.040513,4.196282,[9 2] ; [30 32],[5.87671233 5.12328767] ; [33.12328767 28.87671233],0
d4,1,0.05239,3.76326,[10  1] ; [37 24],[7.18055556 3.81944444] ; [39.81944444 21.18055556],0
d1,1,0.139627,2.182063,[ 1 10] ; [19 43],[3.01369863 7.98630137] ; [16.98630137 45.01369863],0
u2,1,0.146306,2.110345,[4 1] ; [13 16],[2.5 2.5] ; [14.5 14.5],0
p11,1,0.154857,2.023739,[5 6] ; [42 20],[7.08219178 3.91780822] ; [39.91780822 22.08219178],0
d2,1,0.190104,1.716814,[2 9] ; [24 38],[3.91780822 7.08219178] ; [22.08219178 39.91780822],0
a6,1,0.230841,1.43567,[6 5] ; [22 40],[4.21917808 6.78082192] ; [23.78082192 38.21917808],0
r4,1,0.260265,1.267346,[9 2] ; [40 22],[7.38356164 3.61643836] ; [41.61643836 20.38356164],0
s3,1,0.268651,1.223622,[3 8] ; [28 34],[4.67123288 6.32876712] ; [26.32876712 35.67123288],0
p6,1,0.287435,1.131595,[ 1 10] ; [14 46],[2.32394366 8.67605634] ; [12.67605634 47.32394366],0
v1,1,0.29454,1.098754,[6 5] ; [23 38],[4.43055556 6.56944444] ; [24.56944444 36.43055556],0
s7,1,0.302987,1.061003,[ 1 10] ; [13 44],[2.26470588 8.73529412] ; [11.73529412 45.26470588],0
d3,1,0.311965,1.022339,[3 8] ; [27 35],[4.52054795 6.47945205] ; [25.47945205 36.52054795],0
r2,1,0.356492,0.850214,[10  1] ; [49 13],[8.89041096 2.10958904] ; [50.10958904 11.89041096],0
s1,1,0.366491,0.815529,[ 1 10] ; [ 2 60],[ 0.45205479 10.54794521] ; [ 2.54794521 59.45205479],0
p9,1,0.369296,0.806031,[5 6] ; [36 24],[6.35211268 4.64788732] ; [34.64788732 25.35211268],0
n5,1,0.403082,0.699113,[6 5] ; [25 36],[4.73611111 6.26388889] ; [26.26388889 34.73611111],0
s5,1,0.406065,0.690293,[2 9] ; [18 41],[3.14285714 7.85714286] ; [16.85714286 42.14285714],0
s6,1,0.428531,0.626802,[6 5] ; [25 35],[4.8028169 6.1971831] ; [26.1971831 33.8028169],0
p2,1,0.437286,0.603395,[5 6] ; [36 26],[6.17808219 4.82191781] ; [34.82191781 27.17808219],0
b4,1,0.522593,0.408772,[7 4] ; [33 29],[6.02739726 4.97260274] ; [33.97260274 28.02739726],0
u3,1,0.530172,0.394061,[2 3] ; [16 13],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
p3,1,0.545889,0.364733,[4 7] ; [17 45],[3.16438356 7.83561644] ; [17.83561644 44.16438356],0
b5,1,0.565283,0.33064,[5 6] ; [34 28],[5.87671233 5.12328767] ; [33.12328767 28.87671233],0
p4,1,0.627469,0.235508,[5 6] ; [23 38],[4.27777778 6.72222222] ; [23.72222222 37.27777778],0
n3,1,0.643297,0.214456,[2 2] ; [18 11],[2.42424242 1.57575758] ; [17.57575758 11.42424242],0
s8,1,0.645052,0.212195,[2 9] ; [15 46],[2.59722222 8.40277778] ; [14.40277778 46.59722222],0
p10,1,0.668777,0.183036,[5 6] ; [32 29],[5.65277778 5.34722222] ; [31.34722222 29.65277778],0
s4,1,0.745176,0.10563,[2 9] ; [14 48],[2.4109589 8.5890411] ; [13.5890411 48.4109589],0
p1,1,0.749441,0.102001,[ 1 10] ; [ 4 58],[ 0.75342466 10.24657534] ; [ 4.24657534 57.75342466],0
v4,1,0.771165,0.084595,[9 2] ; [52  9],[9.31944444 1.68055556] ; [51.68055556  9.31944444],0
a5,1,0.781094,0.077225,[6 5] ; [31 31],[5.57534247 5.42465753] ; [31.42465753 30.57534247],0
n6,1,0.804683,0.061153,[7 4] ; [37 25],[6.63013699 4.36986301] ; [37.36986301 24.63013699],0
p8,1,0.872443,0.025778,[4 7] ; [21 41],[3.76712329 7.23287671] ; [21.23287671 40.76712329],0
r3,1,0.927438,0.008294,[9 2] ; [50 12],[8.89041096 2.10958904] ; [50.10958904 11.89041096],0
s2,1,0.932597,0.007154,[4 7] ; [23 38],[4.125 6.875] ; [22.875 38.125],0
d5,1,0.935552,0.006539,[6 5] ; [33 29],[5.87671233 5.12328767] ; [33.12328767 28.87671233],0
p7,1,0.94161,0.005365,[6 5] ; [34 27],[6.11111111 4.88888889] ; [33.88888889 27.11111111],0
b2,1,0.947825,0.004282,[1 3] ; [ 8 26],[0.94736842 3.05263158] ; [ 8.05263158 25.94736842],0
b3,1,0.947825,0.004282,[1 3] ; [ 8 26],[0.94736842 3.05263158] ; [ 8.05263158 25.94736842],0
a1,1,0.951451,0.003707,[ 1 10] ; [ 6 56],[1.05479452 9.94520548] ; [ 5.94520548 56.05479452],0
a3,1,0.978146,0.00075,[6 5] ; [33 28],[5.95833333 5.04166667] ; [33.04166667 27.95833333],0
