Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,31.648226,[121   5] ; [6 6],[115.95652174  10.04347826] ; [11.04347826  0.95652174],1
r4,1,0.0,30.645967,[112  15] ; [3 9],[105.07194245  21.92805755] ; [9.92805755 2.07194245],1
r1,1,0.000112,14.917905,[104  23] ; [4 8],[98.67625899 28.32374101] ; [9.32374101 2.67625899],1
d5,1,0.00344,8.558029,[100  26] ; [5 7],[95.86956522 30.13043478] ; [9.13043478 2.86956522],0
s8,1,0.008502,6.924582,[71 55] ; [ 2 10],[66.65217391 59.34782609] ; [6.34782609 5.65217391],0
b4,1,0.026687,4.910925,[74 53] ; [3 9],[70.35251799 56.64748201] ; [6.64748201 5.35251799],0
s1,1,0.029445,4.741432,[  4 121] ; [ 2 10],[  5.47445255 119.52554745] ; [ 0.52554745 11.47445255],0
a5,1,0.037647,4.320894,[90 37] ; [5 7],[86.79856115 40.20143885] ; [8.20143885 3.79856115],0
s3,1,0.038606,4.278121,[81 46] ; [4 8],[77.6618705 49.3381295] ; [7.3381295 4.6618705],0
s6,1,0.048708,3.885405,[85 37] ; [5 7],[81.94029851 40.05970149] ; [8.05970149 3.94029851],0
n6,1,0.061663,3.492083,[99 26] ; [6 5],[96.50735294 28.49264706] ; [8.49264706 2.50735294],0
n4,1,0.079863,3.067681,[101  25] ; [7 5],[98.60869565 27.39130435] ; [9.39130435 2.60869565],0
p2,1,0.089625,2.881098,[98 25] ; [7 5],[95.66666667 27.33333333] ; [9.33333333 2.66666667],0
d1,1,0.092422,2.831682,[64 63] ; [3 9],[61.21582734 65.78417266] ; [5.78417266 6.21582734],0
p9,1,0.111998,2.525802,[105  19] ; [8 4],[103.02941176  20.97058824] ; [9.97058824 2.02941176],0
n3,1,0.121335,2.4,[24  6] ; [3 3],[22.5  7.5] ; [4.5 1.5],0
s7,1,0.137483,2.205907,[68 54] ; [4 8],[65.55223881 56.44776119] ; [6.44776119 5.55223881],0
d3,1,0.138986,2.189148,[60 67] ; [3 9],[57.56115108 69.43884892] ; [5.43884892 6.56115108],0
n1,1,0.173617,1.851429,[19 11] ; [2 4],[17.5 12.5] ; [3.5 2.5],0
b1,1,0.198255,1.655183,[60 67] ; [8 4],[62.1294964 64.8705036] ; [5.8705036 6.1294964],0
b2,1,0.211353,1.562137,[48 39] ; [3 6],[46.21875 40.78125] ; [4.78125 4.21875],0
b3,1,0.211353,1.562137,[48 39] ; [3 6],[46.21875 40.78125] ; [4.78125 4.21875],0
b5,1,0.217156,1.523068,[66 61] ; [4 8],[63.95683453 63.04316547] ; [6.04316547 5.95683453],0
r3,1,0.239964,1.380807,[118   9] ; [10  2],[116.94964029  10.05035971] ; [11.05035971  0.94964029],0
a1,1,0.239964,1.380807,[  9 118] ; [ 2 10],[ 10.05035971 116.94964029] ; [ 0.94964029 11.05035971],0
p5,1,0.254192,1.300117,[ 16 107] ; [3 9],[ 17.31111111 105.68888889] ; [ 1.68888889 10.31111111],0
p11,1,0.266052,1.236989,[102  25] ; [8 4],[100.50359712  26.49640288] ; [9.49640288 2.50359712],0
n5,1,0.280131,1.166454,[100  25] ; [8 4],[98.54014599 26.45985401] ; [9.45985401 2.54014599],0
v3,1,0.281908,1.157867,[61 62] ; [4 8],[59.22222222 63.77777778] ; [5.77777778 6.22222222],0
a4,1,0.317332,0.99991,[61 65] ; [4 8],[59.34782609 66.65217391] ; [5.65217391 6.34782609],0
a6,1,0.327258,0.959718,[50 77] ; [3 9],[48.42446043 78.57553957] ; [4.57553957 7.42446043],0
p4,1,0.330695,0.946176,[65 60] ; [8 4],[66.60583942 58.39416058] ; [6.39416058 5.60583942],0
n2,1,0.346373,0.8867,[25  5] ; [4 2],[24.16666667  5.83333333] ; [4.83333333 1.16666667],0
p6,1,0.452692,0.563903,[43 77] ; [3 9],[41.81818182 78.18181818] ; [4.18181818 7.81818182],0
s4,1,0.45835,0.549921,[ 21 106] ; [3 9],[ 21.92805755 105.07194245] ; [2.07194245 9.92805755],0
s5,1,0.465947,0.531572,[54 68] ; [4 8],[52.80597015 69.19402985] ; [5.19402985 6.80597015],0
p12,1,0.498501,0.458127,[  5 117] ; [ 1 11],[  5.46268657 116.53731343] ; [ 0.53731343 11.46268657],0
p7,1,0.509433,0.435231,[80 42] ; [9 3],[81.02985075 40.97014925] ; [7.97014925 4.02985075],0
a3,1,0.511124,0.431766,[95 32] ; [10  2],[95.9352518 31.0647482] ; [9.0647482 2.9352518],0
p10,1,0.607366,0.264029,[99 23] ; [9 3],[98.32835821 23.67164179] ; [9.67164179 2.32835821],0
v2,1,0.787389,0.07274,[76 46] ; [7 5],[75.56716418 46.43283582] ; [7.43283582 4.56716418],0
p1,1,0.790245,0.070752,[  8 118] ; [ 1 11],[  8.2173913 117.7826087] ; [ 0.7826087 11.2173913],0
d4,1,0.840273,0.04062,[102  24] ; [10  2],[102.26086957  23.73913043] ; [9.73913043 2.26086957],0
p8,1,0.870738,0.026478,[58 64] ; [6 6],[58.26865672 63.73134328] ; [5.73134328 6.26865672],0
d2,1,0.896213,0.017016,[61 66] ; [6 6],[61.21582734 65.78417266] ; [5.78417266 6.21582734],0
u2,1,0.931547,0.007378,[15 17] ; [1 1],[15.05882353 16.94117647] ; [0.94117647 1.05882353],0
p3,1,0.957448,0.002847,[61 63] ; [6 6],[61.08823529 62.91176471] ; [5.91176471 6.08823529],0
s2,1,0.996484,1.9e-05,[74 53] ; [7 5],[74.00719424 52.99280576] ; [6.99280576 5.00719424],0
