Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,6.5e-05,15.965348,[65 29] ; [130  15],[76.69456067 17.30543933] ; [118.30543933  26.69456067],1
p6,1,0.0005,12.116044,[17 75] ; [57 85],[29.09401709 62.90598291] ; [44.90598291 97.09401709],1
p3,1,0.001227,10.448761,[36 58] ; [86 58],[48.18487395 45.81512605] ; [73.81512605 70.18487395],0
p9,1,0.0014,10.205632,[66 27] ; [127  18],[75.41596639 17.58403361] ; [117.58403361  27.41596639],0
n5,1,0.004749,7.972516,[54 38] ; [111  35],[63.78151261 28.21848739] ; [101.21848739  44.78151261],0
p4,1,0.006571,7.386572,[42 49] ; [93 52],[52.05508475 38.94491525] ; [82.94491525 62.05508475],0
p8,1,0.007627,7.119089,[40 52] ; [87 55],[49.93162393 42.06837607] ; [77.06837607 64.93162393],0
s4,1,0.013199,6.142307,[14 79] ; [  8 137],[ 8.59663866 84.40336134] ; [ 13.40336134 131.59663866],0
p7,1,0.019359,5.468791,[51 41] ; [102  43],[59.39240506 32.60759494] ; [93.60759494 51.39240506],0
b5,1,0.035627,4.414873,[47 47] ; [93 53],[54.83333333 39.16666667] ; [85.16666667 60.83333333],0
r3,1,0.039405,4.243305,[86  7] ; [143   3],[89.10878661  3.89121339] ; [139.89121339   6.10878661],0
b2,1,0.040752,4.186292,[17 43] ; [40 49],[22.95302013 37.04697987] ; [34.04697987 54.95302013],0
b3,1,0.040752,4.186292,[17 43] ; [40 49],[22.95302013 37.04697987] ; [34.04697987 54.95302013],0
p11,1,0.048744,3.884132,[71 23] ; [125  21],[76.76666667 17.23333333] ; [119.23333333  26.76666667],0
v4,1,0.049514,3.857844,[84 10] ; [139   6],[87.70711297  6.29288703] ; [135.29288703   9.70711297],0
p10,1,0.05608,3.649668,[67 26] ; [118  25],[72.90254237 20.09745763] ; [112.09745763  30.90254237],0
a4,1,0.056723,3.630696,[33 61] ; [69 76],[40.11715481 53.88284519] ; [61.88284519 83.11715481],0
s5,1,0.072185,3.232625,[24 67] ; [ 24 120],[18.58723404 72.41276596] ; [ 29.41276596 114.58723404],0
s6,1,0.08962,2.881181,[37 56] ; [74 71],[43.37394958 49.62605042] ; [67.62605042 77.37394958],0
p5,1,0.134609,2.238524,[ 7 87] ; [ 20 126],[10.575 83.425] ; [ 16.425 129.575],0
s3,1,0.140862,2.168513,[24 68] ; [ 26 118],[19.49152542 72.50847458] ; [ 30.50847458 113.49152542],0
a2,1,0.161014,1.96468,[16 78] ; [ 36 110],[20.36666667 73.63333333] ; [ 31.63333333 114.36666667],0
d3,1,0.245469,1.348907,[63 31] ; [108  38],[66.975 27.025] ; [104.025  41.975],0
s7,1,0.261234,1.262208,[21 68] ; [42 96],[24.70044053 64.29955947] ; [38.29955947 99.70044053],0
v3,1,0.263101,1.252366,[43 49] ; [77 65],[47.17948718 44.82051282] ; [72.82051282 69.17948718],0
a6,1,0.267893,1.227503,[64 30] ; [109  37],[67.75833333 26.24166667] ; [105.24166667  40.75833333],0
a5,1,0.267893,1.227503,[64 30] ; [109  37],[67.75833333 26.24166667] ; [105.24166667  40.75833333],0
r4,1,0.283809,1.148758,[80 14] ; [131  15],[82.64166667 11.35833333] ; [128.35833333  17.64166667],0
p1,1,0.303366,1.05934,[ 5 89] ; [ 13 133],[ 7.05 86.95] ; [ 10.95 135.05],0
n1,1,0.311281,1.025231,[ 6 20] ; [ 9 16],[ 7.64705882 18.35294118] ; [ 7.35294118 17.64705882],0
n4,1,0.320653,0.986283,[66 27] ; [112  34],[69.26359833 23.73640167] ; [108.73640167  37.26359833],0
n6,1,0.344384,0.894042,[74 20] ; [122  24],[76.76666667 17.23333333] ; [119.23333333  26.76666667],0
d2,1,0.363104,0.827128,[39 54] ; [70 76],[42.41422594 50.58577406] ; [66.58577406 79.41422594],0
u1,1,0.379645,0.771852,[11 83] ; [ 23 123],[13.31666667 80.68333333] ; [ 20.68333333 125.31666667],0
r1,1,0.421011,0.64749,[74 20] ; [121  25],[76.375 17.625] ; [118.625  27.375],0
s1,1,0.578475,0.308706,[ 1 90] ; [  3 143],[ 1.53586498 89.46413502] ; [  2.46413502 143.53586498],0
d1,1,0.583423,0.300733,[52 42] ; [86 60],[54.05 39.95] ; [83.95 62.05],0
a1,1,0.661836,0.191302,[ 5 89] ; [  6 140],[ 4.30833333 89.69166667] ; [  6.69166667 139.30833333],0
p12,1,0.667116,0.184994,[ 4 89] ; [  8 136],[ 4.70886076 88.29113924] ; [  7.29113924 136.70886076],0
a8,1,0.671541,0.179805,[ 8 78] ; [ 14 112],[ 8.9245283 77.0754717] ; [ 13.0754717 112.9245283],0
a7,1,0.748539,0.102763,[69 24] ; [111  35],[70.041841 22.958159] ; [109.958159  36.041841],0
s8,1,0.763278,0.090709,[23 71] ; [ 38 107],[23.9916318 70.0083682] ; [ 37.0083682 107.9916318],0
n3,1,0.810755,0.057337,[19  7] ; [19  6],[19.37254902  6.62745098] ; [18.62745098  6.37254902],0
d4,1,0.818874,0.052438,[76 17] ; [121  25],[76.65690377 16.34309623] ; [120.34309623  25.65690377],0
u2,1,0.823826,0.049563,[13 11] ; [20 19],[12.57142857 11.42857143] ; [20.42857143 18.57142857],0
u4,1,0.834998,0.043387,[ 1 93] ; [  2 144],[ 1.175 92.825] ; [  1.825 144.175],0
d5,1,0.848198,0.036641,[77 17] ; [121  25],[77.55 16.45] ; [120.45  25.55],0
b4,1,0.868229,0.027526,[55 39] ; [87 59],[55.61666667 38.38333333] ; [86.38333333 59.61666667],0
u3,1,0.875315,0.024621,[12 13] ; [20 20],[12.30769231 12.69230769] ; [19.69230769 20.30769231],0
a3,1,0.891513,0.018602,[69 25] ; [106  40],[68.54166667 25.45833333] ; [106.45833333  39.54166667],0
n2,1,0.924558,0.008967,[18  8] ; [17  8],[17.84313725  8.15686275] ; [17.15686275  7.84313725],0
b1,1,0.930408,0.007627,[34 60] ; [52 94],[33.68333333 60.31666667] ; [52.31666667 93.68333333],0
r2,1,0.950644,0.003831,[86  7] ; [131  11],[85.87659574  7.12340426] ; [131.12340426  10.87659574],0
