Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.028971,4.769338,[2 1] ; [ 21 101],[0.552 2.448] ; [22.448 99.552],0
v4,1,0.128942,2.305192,[2 1] ; [112  10],[2.736 0.264] ; [111.264  10.736],0
n1,1,0.243926,1.357759,[2 1] ; [14 28],[1.06666667 1.93333333] ; [14.93333333 27.06666667],0
s2,1,0.406222,0.68983,[1 2] ; [70 52],[1.704 1.296] ; [69.296 52.704],0
a4,1,0.45835,0.54992,[2 1] ; [55 67],[1.368 1.632] ; [55.632 66.368],0
s3,1,0.476164,0.507637,[1 2] ; [66 56],[1.608 1.392] ; [65.392 56.608],0
s7,1,0.518369,0.417137,[1 2] ; [59 54],[1.55172414 1.44827586] ; [58.44827586 54.55172414],0
v1,1,0.53088,0.392707,[2 1] ; [59 63],[1.464 1.536] ; [59.536 62.464],0
b1,1,0.549539,0.358143,[2 1] ; [60 62],[1.488 1.512] ; [60.512 61.488],0
v2,1,0.588284,0.293032,[2 1] ; [60 58],[1.53719008 1.46280992] ; [60.46280992 57.53719008],0
s8,1,0.665888,0.186449,[1 2] ; [56 66],[1.368 1.632] ; [55.632 66.368],0
a2,1,0.673839,0.177144,[1 2] ; [28 94],[0.696 2.304] ; [28.304 93.696],0
n6,1,0.686924,0.162436,[2 1] ; [92 28],[2.29268293 0.70731707] ; [91.70731707 28.29268293],0
n2,1,0.71077,0.13751,[2 1] ; [32 10],[2.26666667 0.73333333] ; [31.73333333 10.26666667],0
b4,1,0.72693,0.12195,[2 1] ; [69 53],[1.704 1.296] ; [69.296 52.704],0
a7,1,0.816193,0.054031,[2 1] ; [88 33],[2.17741935 0.82258065] ; [87.82258065 33.17741935],0
a6,1,0.833134,0.044388,[2 1] ; [74 48],[1.824 1.176] ; [74.176 47.824],0
n3,1,0.860449,0.030907,[2 1] ; [30 12],[2.13333333 0.86666667] ; [29.86666667 12.13333333],0
d3,1,0.901041,0.015462,[2 1] ; [84 36],[2.09756098 0.90243902] ; [83.90243902 36.09756098],0
b2,1,0.913145,0.011897,[1 2] ; [17 39],[0.91525424 2.08474576] ; [17.08474576 38.91525424],0
b3,1,0.913145,0.011897,[1 2] ; [17 39],[0.91525424 2.08474576] ; [17.08474576 38.91525424],0
v3,1,0.914132,0.011627,[1 2] ; [44 77],[1.08870968 1.91129032] ; [43.91129032 77.08870968],0
a3,1,0.918567,0.010453,[2 1] ; [84 37],[2.08064516 0.91935484] ; [83.91935484 37.08064516],0
s6,1,0.959027,0.002639,[2 1] ; [81 38],[2.04098361 0.95901639] ; [80.95901639 38.04098361],0
n5,1,0.960508,0.002452,[2 1] ; [79 42],[1.95967742 1.04032258] ; [79.04032258 41.95967742],0
a5,1,0.992103,9.8e-05,[2 1] ; [81 41],[1.992 1.008] ; [81.008 40.992],0
