Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.711426,[85 19] ; [ 6 17],[74.51968504 29.48031496] ; [16.48031496  6.51968504],1
v4,1,0.000166,14.1832,[94  9] ; [14  9],[88.28571429 14.71428571] ; [19.71428571  3.28571429],1
r1,1,0.000621,11.711436,[67 36] ; [ 6 17],[59.67460317 43.32539683] ; [13.32539683  9.67460317],1
a6,1,0.006553,7.391661,[64 40] ; [ 7 16],[58.14173228 45.85826772] ; [12.85826772 10.14173228],0
a3,1,0.017648,5.630768,[52 51] ; [ 5 17],[46.968 56.032] ; [10.032 11.968],0
b1,1,0.019107,5.491706,[40 64] ; [15  8],[45.03937008 58.96062992] ; [ 9.96062992 13.03937008],0
v3,1,0.025726,4.974318,[32 69] ; [ 2 21],[27.69354839 73.30645161] ; [ 6.30645161 16.69354839],0
p3,1,0.031656,4.617008,[48 56] ; [ 5 18],[43.4015748 60.5984252] ; [ 9.5984252 13.4015748],0
p10,1,0.033233,4.533757,[66 35] ; [ 9 13],[61.58536585 39.41463415] ; [13.41463415  8.58536585],0
v1,1,0.049267,3.866245,[44 56] ; [ 5 18],[39.83739837 60.16260163] ; [ 9.16260163 13.83739837],0
u3,1,0.05495,3.683588,[25 27] ; [ 4 14],[21.54285714 30.45714286] ; [ 7.45714286 10.54285714],0
p4,1,0.10505,2.627154,[51 53] ; [ 7 16],[47.49606299 56.50393701] ; [10.50393701 12.49606299],0
n4,1,0.116642,2.461837,[76 28] ; [13 10],[72.88188976 31.11811024] ; [16.11811024  6.88188976],0
p9,1,0.134049,2.244975,[71 29] ; [12 10],[68.03278689 31.96721311] ; [14.96721311  7.03278689],0
n6,1,0.142352,2.15235,[75 29] ; [13 10],[72.06299213 31.93700787] ; [15.93700787  7.06299213],0
r3,1,0.153667,2.035469,[85 19] ; [15  7],[82.53968254 21.46031746] ; [17.46031746  4.53968254],0
a8,1,0.156915,2.003711,[ 8 90] ; [ 4 18],[ 9.8 88.2] ; [ 2.2 19.8],0
v2,1,0.184656,1.759746,[38 59] ; [ 5 16],[35.34745763 61.65254237] ; [ 7.65254237 13.34745763],0
s7,1,0.203446,1.61746,[21 76] ; [ 2 19],[18.90677966 78.09322034] ; [ 4.09322034 16.90677966],0
p2,1,0.204756,1.608125,[77 27] ; [14  9],[74.51968504 29.48031496] ; [16.48031496  6.51968504],0
s5,1,0.206677,1.594554,[14 87] ; [ 1 22],[12.21774194 88.78225806] ; [ 2.78225806 20.21774194],0
s6,1,0.206987,1.592376,[41 61] ; [ 6 17],[38.352 63.648] ; [ 8.648 14.352],0
s4,1,0.210949,1.564901,[ 9 95] ; [ 4 19],[10.64566929 93.35433071] ; [ 2.35433071 20.64566929],0
a7,1,0.214878,1.538252,[60 44] ; [10 13],[57.32283465 46.67716535] ; [12.67716535 10.32283465],0
b5,1,0.3007,1.071086,[62 42] ; [11 12],[59.77952756 44.22047244] ; [13.22047244  9.77952756],0
s3,1,0.317994,0.997179,[28 74] ; [ 4 19],[26.112 75.888] ; [ 5.888 17.112],0
d3,1,0.329285,0.951708,[28 75] ; [ 4 19],[26.15873016 76.84126984] ; [ 5.84126984 17.15873016],0
d5,1,0.332425,0.939427,[43 61] ; [ 7 16],[40.94488189 63.05511811] ; [ 9.05511811 13.94488189],0
s1,1,0.333284,0.936095,[ 4 98] ; [ 2 21],[ 4.896 97.104] ; [ 1.104 21.896],0
a5,1,0.345074,0.891488,[52 52] ; [ 9 14],[49.95275591 54.04724409] ; [11.04724409 11.95275591],0
p8,1,0.364011,0.824008,[47 53] ; [ 8 14],[45.08196721 54.91803279] ; [ 9.91803279 12.08196721],0
p11,1,0.383734,0.758705,[73 31] ; [14  9],[71.24409449 32.75590551] ; [15.75590551  7.24409449],0
p6,1,0.415467,0.663102,[27 75] ; [ 4 18],[25.5 76.5] ; [ 5.5 16.5],0
a2,1,0.416351,0.660591,[10 94] ; [ 1 22],[ 9.00787402 94.99212598] ; [ 1.99212598 21.00787402],0
n3,1,0.505485,0.443402,[23  7] ; [8 4],[22.14285714  7.85714286] ; [8.85714286 3.14285714],0
n2,1,0.516211,0.421456,[22 10] ; [7 5],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
b2,1,0.571949,0.319432,[20 40] ; [3 9],[19.16666667 40.83333333] ; [3.83333333 8.16666667],0
b3,1,0.571949,0.319432,[20 40] ; [3 9],[19.16666667 40.83333333] ; [3.83333333 8.16666667],0
p7,1,0.596828,0.279807,[55 47] ; [11 12],[53.856 48.144] ; [12.144 10.856],0
n5,1,0.607947,0.263175,[76 28] ; [18  5],[76.97637795 27.02362205] ; [17.02362205  5.97637795],0
p12,1,0.663304,0.189535,[ 7 96] ; [ 1 22],[ 6.53968254 96.46031746] ; [ 1.46031746 21.53968254],0
u2,1,0.671941,0.17934,[23 29] ; [9 9],[23.77142857 28.22857143] ; [8.22857143 9.77142857],0
