Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,180.288738,[ 25 145] ; [203  47],[92.28571429 77.71428571] ; [135.71428571 114.28571429],1
s6,1,0.0,62.311942,[87 80] ; [213  31],[121.89781022  45.10218978] ; [178.10218978  65.89781022],1
s8,1,0.0,43.030532,[ 56 112] ; [165  85],[88.82296651 79.17703349] ; [132.17703349 117.82296651],1
s7,1,0.0,41.842414,[59 97] ; [169  70],[90.04556962 65.95443038] ; [137.95443038 101.04556962],1
s5,1,0.001016,10.798162,[ 52 114] ; [113 124],[67.96526055 98.03473945] ; [ 97.03473945 139.96526055],0
s4,1,0.001648,9.904849,[ 17 150] ; [ 55 194],[ 28.90384615 138.09615385] ; [ 43.09615385 205.90384615],0
d1,1,0.004255,8.171536,[95 76] ; [173  77],[108.85510689  62.14489311] ; [159.14489311  90.85510689],0
d2,1,0.006464,7.416176,[77 93] ; [147 103],[90.66666667 79.33333333] ; [133.33333333 116.66666667],0
p12,1,0.010535,6.542076,[ 11 159] ; [ 36 212],[ 19.11483254 150.88516746] ; [ 27.88516746 220.11483254],0
d4,1,0.01135,6.409639,[133  38] ; [217  32],[142.5  28.5] ; [207.5  41.5],0
n1,1,0.014072,6.02914,[ 7 20] ; [21 16],[11.8125 15.1875] ; [16.1875 20.8125],0
u3,1,0.032452,4.57447,[28 23] ; [39 13],[33.17475728 17.82524272] ; [33.82524272 18.17475728],0
a3,1,0.035865,4.403529,[120  50] ; [198  51],[129.02147971  40.97852029] ; [188.97852029  60.02147971],0
r2,1,0.045256,4.009088,[164   6] ; [247   2],[166.75417661   3.24582339] ; [244.24582339   4.75417661],0
p1,1,0.115411,2.478514,[ 16 155] ; [ 36 212],[ 21.22195704 149.77804296] ; [ 30.77804296 217.22195704],0
b1,1,0.153716,2.034979,[ 66 105] ; [114 136],[73.11163895 97.88836105] ; [106.88836105 143.11163895],0
u1,1,0.156346,2.009213,[ 33 138] ; [ 63 187],[ 38.99287411 132.00712589] ; [ 57.00712589 192.99287411],0
p4,1,0.199185,1.648337,[133  38] ; [207  43],[138.09976247  32.90023753] ; [201.90023753  48.09976247],0
v3,1,0.263785,1.248785,[72 95] ; [116 122],[77.52098765 89.47901235] ; [110.47901235 127.52098765],0
n5,1,0.264172,1.246762,[131  39] ; [203  46],[135.51312649  34.48687351] ; [198.48687351  50.51312649],0
s1,1,0.267791,1.228028,[  3 167] ; [  9 241],[  4.85714286 165.14285714] ; [  7.14285714 242.85714286],0
b4,1,0.283176,1.151784,[95 76] ; [152  98],[100.32541568  70.67458432] ; [146.67458432 103.32541568],0
a6,1,0.289677,1.121123,[123  48] ; [167  82],[118.07142857  52.92857143] ; [171.92857143  77.07142857],0
a2,1,0.294166,1.100455,[ 42 129] ; [ 73 177],[ 46.71021378 124.28978622] ; [ 68.28978622 181.71021378],0
p2,1,0.325168,0.968046,[147  24] ; [222  27],[150.23571429  20.76428571] ; [218.76428571  30.23571429],0
p5,1,0.339801,0.911182,[ 27 144] ; [ 48 199],[ 30.68181818 140.31818182] ; [ 44.31818182 202.68181818],0
n4,1,0.350954,0.870006,[139  32] ; [211  38],[142.5  28.5] ; [207.5  41.5],0
p9,1,0.366863,0.814263,[148  21] ; [225  24],[150.8062201  18.1937799] ; [222.1937799  26.8062201],0
a7,1,0.418787,0.653715,[129  42] ; [179  70],[125.4  45.6] ; [182.6  66.4],0
u2,1,0.420965,0.647619,[28 23] ; [32 19],[30. 21.] ; [30. 21.],0
a5,1,0.426741,0.631675,[132  39] ; [201  49],[135.25653207  35.74346793] ; [197.74346793  52.25653207],0
n6,1,0.478519,0.502236,[147  24] ; [219  29],[149.3699284  21.6300716] ; [216.6300716  31.3699284],0
n3,1,0.490819,0.474731,[23  4] ; [29  8],[21.9375  5.0625] ; [30.0625  6.9375],0
v2,1,0.503048,0.4485,[107  61] ; [145  95],[103.76470588  64.23529412] ; [148.23529412  91.76470588],0
v1,1,0.521884,0.410169,[106  63] ; [143  97],[102.88753056  66.11246944] ; [146.11246944  93.88753056],0
a4,1,0.528729,0.396833,[79 91] ; [124 126],[82.16666667 87.83333333] ; [120.83333333 129.16666667],0
r1,1,0.58298,0.301442,[145  26] ; [215  33],[146.92124105  24.07875895] ; [213.07875895  34.92124105],0
d3,1,0.609969,0.260221,[115  56] ; [174  76],[117.3847981  53.6152019] ; [171.6152019  78.3847981],0
p10,1,0.619593,0.24644,[146  24] ; [218  31],[147.6849642  22.3150358] ; [216.3150358  32.6849642],0
p6,1,0.676768,0.173787,[79 88] ; [122 125],[81.07971014 85.92028986] ; [119.92028986 127.07971014],0
p7,1,0.681212,0.168765,[133  37] ; [189  58],[131.27098321  38.72901679] ; [190.72901679  56.27098321],0
p11,1,0.690207,0.158861,[139  32] ; [207  43],[140.5368171  30.4631829] ; [205.4631829  44.5368171],0
p8,1,0.735617,0.114017,[110  58] ; [167  82],[111.5971223  56.4028777] ; [165.4028777  83.5971223],0
a8,1,0.7457,0.10518,[ 20 122] ; [ 31 209],[ 18.95811518 123.04188482] ; [ 32.04188482 207.95811518],0
d5,1,0.758093,0.094856,[143  28] ; [211  38],[144.12857143  26.87142857] ; [209.87142857  39.12857143],0
