Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.9e-05,15.846172,[ 93 132] ; [35 13],[105.49450549 119.50549451] ; [22.50549451 25.49450549],1
s7,1,0.000567,11.880379,[ 82 137] ; [31 17],[ 92.68539326 126.31460674] ; [20.31460674 27.68539326],1
p1,1,0.002026,9.526223,[ 12 216] ; [ 9 41],[ 17.22302158 210.77697842] ; [ 3.77697842 46.22302158],0
s8,1,0.007056,7.258652,[ 73 156] ; [26 24],[ 81.25806452 147.74193548] ; [17.74193548 32.25806452],0
p3,1,0.010608,6.529841,[ 48 181] ; [19 31],[ 54.99283154 174.00716846] ; [12.00716846 37.99283154],0
s5,1,0.01429,6.0019,[ 49 174] ; [18 28],[ 55.54275093 167.45724907] ; [11.45724907 34.54275093],0
s3,1,0.020531,5.366202,[111 115] ; [33 16],[118.34181818 107.65818182] ; [25.65818182 23.34181818],0
b5,1,0.022473,5.208785,[135  95] ; [38 12],[142.10714286  87.89285714] ; [30.89285714 19.10714286],0
s2,1,0.031477,4.626743,[ 88 141] ; [27 22],[ 94.73021583 134.26978417] ; [20.26978417 28.73021583],0
n6,1,0.042217,4.126468,[176  52] ; [45  5],[181.25179856  46.74820144] ; [39.74820144 10.25179856],0
p8,1,0.051235,3.800564,[ 65 162] ; [21 28],[ 70.73188406 156.26811594] ; [15.26811594 33.73188406],0
v4,1,0.057437,3.609895,[197  31] ; [48  2],[200.9352518  27.0647482] ; [44.0647482  5.9352518],0
v1,1,0.062523,3.469157,[ 90 132] ; [27 22],[ 95.84501845 126.15498155] ; [21.15498155 27.84501845],0
v2,1,0.063487,3.443873,[104 114] ; [30 18],[109.81954887 108.18045113] ; [24.18045113 23.81954887],0
r4,1,0.066327,3.371667,[181  49] ; [45  5],[185.64285714  44.35714286] ; [40.35714286  9.64285714],0
s6,1,0.100376,2.699557,[119 108] ; [32 17],[124.19202899 102.80797101] ; [26.80797101 22.19202899],0
u3,1,0.107204,2.594966,[30 42] ; [8 4],[32.57142857 39.42857143] ; [5.42857143 6.57142857],0
r2,1,0.112458,2.519336,[206  19] ; [49  1],[208.63636364  16.36363636] ; [46.36363636  3.63636364],0
p9,1,0.139439,2.184137,[159  64] ; [40  9],[163.15073529  59.84926471] ; [35.84926471 13.15073529],0
p2,1,0.151426,2.057825,[150  79] ; [38 12],[154.30824373  74.69175627] ; [33.69175627 16.30824373],0
r3,1,0.153912,2.033049,[197  30] ; [47  3],[199.9566787  27.0433213] ; [44.0433213  5.9566787],0
v3,1,0.171966,1.86572,[ 77 146] ; [22 27],[ 81.16544118 141.83455882] ; [17.83455882 31.16544118],0
n3,1,0.198378,1.654274,[44 22] ; [11  2],[45.94936709 20.05063291] ; [9.05063291 3.94936709],0
n5,1,0.231668,1.430588,[179  49] ; [43  7],[182.07194245  45.92805755] ; [39.92805755 10.07194245],0
a3,1,0.249231,1.327607,[158  70] ; [38 11],[161.32851986  66.67148014] ; [34.67148014 14.32851986],0
b3,1,0.264321,1.245985,[50 88] ; [15 17],[52.76470588 85.23529412] ; [12.23529412 19.76470588],0
b2,1,0.264321,1.245985,[50 88] ; [15 17],[52.76470588 85.23529412] ; [12.23529412 19.76470588],0
s4,1,0.267445,1.229807,[ 32 196] ; [ 4 45],[ 29.63176895 198.36823105] ; [ 6.36823105 42.63176895],0
a6,1,0.280834,1.163047,[145  84] ; [35 14],[148.27338129  80.72661871] ; [31.72661871 17.27338129],0
a7,1,0.287808,1.129845,[151  78] ; [29 21],[147.74193548  81.25806452] ; [32.25806452 17.74193548],0
a4,1,0.299555,1.076175,[105 123] ; [19 31],[101.69784173 126.30215827] ; [22.30215827 27.69784173],0
a8,1,0.355955,0.852114,[ 40 173] ; [ 6 40],[ 37.83011583 175.16988417] ; [ 8.16988417 37.83011583],0
d3,1,0.367331,0.812675,[135  94] ; [26 24],[132.14695341  96.85304659] ; [28.85304659 21.14695341],0
p11,1,0.382877,0.761445,[166  64] ; [33 17],[163.46428571  66.53571429] ; [35.53571429 14.46428571],0
d1,1,0.428642,0.626499,[110 120] ; [27 23],[112.53571429 117.46428571] ; [24.46428571 25.53571429],0
d5,1,0.454458,0.55951,[172  57] ; [35 15],[169.90322581  59.09677419] ; [37.09677419 12.90322581],0
s1,1,0.481341,0.495824,[  9 218] ; [ 3 45],[  9.90545455 217.09454545] ; [ 2.09454545 45.90545455],0
a1,1,0.498567,0.457985,[ 15 215] ; [ 2 48],[ 13.96428571 216.03571429] ; [ 3.03571429 46.96428571],0
b4,1,0.504998,0.444417,[136  94] ; [27 23],[133.89285714  96.10714286] ; [29.10714286 20.89285714],0
p5,1,0.51338,0.427172,[  9 220] ; [ 3 47],[  9.84946237 219.15053763] ; [ 2.15053763 47.84946237],0
u2,1,0.532049,0.390476,[34 36] ; [7 5],[35. 35.] ; [6. 6.],0
p10,1,0.535936,0.383124,[158  71] ; [36 13],[159.8057554  69.1942446] ; [34.1942446 14.8057554],0
u1,1,0.640676,0.217859,[ 31 199] ; [ 8 42],[ 32.03571429 197.96428571] ; [ 6.96428571 43.03571429],0
b1,1,0.666447,0.185787,[ 95 135] ; [19 31],[ 93.64285714 136.35714286] ; [20.35714286 29.64285714],0
d2,1,0.670512,0.181003,[101 125] ; [24 26],[102.35507246 123.64492754] ; [22.64492754 27.35507246],0
u4,1,0.707144,0.141147,[  3 227] ; [ 1 49],[  3.28571429 226.71428571] ; [ 0.71428571 49.28571429],0
d4,1,0.749362,0.102068,[173  55] ; [39 11],[173.8705036  54.1294964] ; [38.1294964 11.8705036],0
p12,1,0.784,0.075136,[ 12 216] ; [ 3 45],[ 12.39130435 215.60869565] ; [ 2.60869565 45.39130435],0
n2,1,0.798082,0.065449,[50 18] ; [10  3],[50.37037037 17.62962963] ; [9.62962963 3.37037037],0
n1,1,0.811454,0.056907,[31 36] ; [6 6],[31.37974684 35.62025316] ; [5.62025316 6.37974684],0
a2,1,0.859002,0.031558,[ 48 182] ; [11 39],[ 48.46428571 181.53571429] ; [10.53571429 39.46428571],0
a5,1,0.902536,0.014996,[163  67] ; [35 15],[162.64285714  67.35714286] ; [35.35714286 14.64285714],0
r1,1,0.933347,0.006995,[172  56] ; [38 12],[172.23021583  55.76978417] ; [37.76978417 12.23021583],0
