Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.968986,[58 18] ; [14 31],[45.2231405 30.7768595] ; [26.7768595 18.2231405],1
p7,1,0.010174,6.604182,[29 45] ; [28 16],[35.74576271 38.25423729] ; [21.25423729 22.74576271],0
n6,1,0.010273,6.586895,[57 18] ; [24 21],[50.625 24.375] ; [30.375 14.625],0
p5,1,0.02635,4.932895,[11 63] ; [ 1 44],[ 7.46218487 66.53781513] ; [ 4.53781513 40.46218487],0
n1,1,0.032791,4.556668,[13 14] ; [ 2 12],[ 9.87804878 17.12195122] ; [5.12195122 8.87804878],0
s7,1,0.036251,4.385252,[30 44] ; [ 9 33],[24.87931034 49.12068966] ; [14.12068966 27.87931034],0
u2,1,0.037277,4.337715,[13 30] ; [13 10],[16.93939394 26.06060606] ; [ 9.06060606 13.93939394],0
d2,1,0.049029,3.874367,[22 54] ; [ 6 39],[17.58677686 58.41322314] ; [10.41322314 34.58677686],0
d3,1,0.058963,3.566327,[21 55] ; [20 25],[25.75206612 50.24793388] ; [15.24793388 29.75206612],0
a2,1,0.092462,2.830971,[ 8 68] ; [ 1 44],[ 5.65289256 70.34710744] ; [ 3.34710744 41.65289256],0
d4,1,0.095343,2.781764,[32 44] ; [26 19],[36.42975207 39.57024793] ; [21.57024793 23.42975207],0
b3,1,0.11739,2.451809,[21 25] ; [ 7 19],[17.88888889 28.11111111] ; [10.11111111 15.88888889],0
b2,1,0.11739,2.451809,[21 25] ; [ 7 19],[17.88888889 28.11111111] ; [10.11111111 15.88888889],0
p10,1,0.138051,2.199551,[48 26] ; [23 22],[44.1512605 29.8487395] ; [26.8487395 18.1512605],0
p1,1,0.141087,2.166064,[12 64] ; [ 3 42],[ 9.4214876 66.5785124] ; [ 5.5785124 39.4214876],0
r3,1,0.156992,2.002963,[53 22] ; [37  8],[56.25 18.75] ; [33.75 11.25],0
s6,1,0.215075,1.536935,[39 35] ; [18 26],[35.74576271 38.25423729] ; [21.25423729 22.74576271],0
p3,1,0.21584,1.531818,[19 57] ; [16 29],[21.98347107 54.01652893] ; [13.01652893 31.98347107],0
s5,1,0.218125,1.516667,[20 55] ; [ 7 35],[17.30769231 57.69230769] ; [ 9.69230769 32.30769231],0
u3,1,0.241157,1.373819,[16 27] ; [12 11],[18.24242424 24.75757576] ; [ 9.75757576 13.24242424],0
n3,1,0.272629,1.203469,[16 11] ; [10  3],[17.55  9.45] ; [8.45 4.55],0
b5,1,0.272962,1.201803,[43 33] ; [30 15],[45.85123967 30.14876033] ; [27.14876033 17.85123967],0
s3,1,0.29555,1.094165,[33 41] ; [24 20],[35.74576271 38.25423729] ; [21.25423729 22.74576271],0
a7,1,0.312271,1.021045,[35 41] ; [25 20],[37.68595041 38.31404959] ; [22.31404959 22.68595041],0
b1,1,0.353812,0.859737,[37 39] ; [18 27],[34.54545455 41.45454545] ; [20.45454545 24.54545455],0
p2,1,0.371681,0.798037,[48 28] ; [32 13],[50.24793388 25.75206612] ; [29.75206612 15.24793388],0
r2,1,0.376224,0.783005,[61 15] ; [33 12],[59.04132231 16.95867769] ; [34.95867769 10.04132231],0
