Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9e-06,19.799614,[35 39] ; [252  90],[51.05288462 22.94711538] ; [235.94711538 106.05288462],1
n4,1,1.9e-05,18.32593,[38 37] ; [258  84],[53.23741007 21.76258993] ; [242.76258993  99.23741007],1
p10,1,0.000343,12.817165,[42 30] ; [266  73],[53.95620438 18.04379562] ; [254.04379562  84.95620438],1
s5,1,0.004048,8.261958,[10 60] ; [104 228],[19.85074627 50.14925373] ; [ 94.14925373 237.85074627],0
p9,1,0.005479,7.713999,[49 23] ; [278  59],[57.56479218 14.43520782] ; [269.43520782  67.56479218],0
s6,1,0.006967,7.281579,[37 37] ; [224 112],[47.10731707 26.89268293] ; [213.89268293 122.10731707],0
p11,1,0.011262,6.423547,[48 27] ; [268  76],[56.56324582 18.43675418] ; [259.43675418  84.56324582],0
u2,1,0.017578,5.637733,[21  7] ; [55 55],[15.42028986 12.57971014] ; [60.57971014 49.42028986],0
p7,1,0.022137,5.234952,[27 43] ; [178 154],[35.69651741 34.30348259] ; [169.30348259 162.69651741],0
p2,1,0.028401,4.803536,[51 24] ; [274  70],[58.17422434 16.82577566] ; [266.82577566  77.17422434],0
s1,1,0.031028,4.651429,[ 6 65] ; [ 10 326],[ 2.79115479 68.20884521] ; [ 13.20884521 322.79115479],0
u3,1,0.048756,3.883724,[20  7] ; [59 52],[15.45652174 11.54347826] ; [63.54347826 47.45652174],0
d2,1,0.053524,3.727493,[25 49] ; [158 185],[32.47482014 41.52517986] ; [150.52517986 192.47482014],0
s8,1,0.062935,3.458311,[21 54] ; [135 207],[28.05755396 46.94244604] ; [127.94244604 214.05755396],0
p6,1,0.065179,3.400447,[12 60] ; [ 92 248],[18.17475728 53.82524272] ; [ 85.82524272 254.17475728],0
b3,1,0.085751,2.952374,[ 8 30] ; [ 69 126],[12.55793991 25.44206009] ; [ 64.44206009 130.55793991],0
b2,1,0.085751,2.952374,[ 8 30] ; [ 69 126],[12.55793991 25.44206009] ; [ 64.44206009 130.55793991],0
a5,1,0.08996,2.875089,[45 30] ; [241 103],[51.19331742 23.80668258] ; [234.80668258 109.19331742],0
s7,1,0.098082,2.736461,[22 48] ; [141 194],[28.17283951 41.82716049] ; [134.82716049 200.17283951],0
a2,1,0.098414,2.731064,[10 65] ; [ 75 269],[15.21479714 59.78520286] ; [ 69.78520286 274.21479714],0
d1,1,0.098953,2.722337,[34 41] ; [192 152],[40.45346062 34.54653938] ; [185.54653938 158.45346062],0
p5,1,0.130512,2.2864,[ 1 72] ; [ 19 324],[ 3.50961538 69.49038462] ; [ 16.49038462 326.50961538],0
p8,1,0.154186,2.030343,[23 50] ; [136 200],[28.37897311 44.62102689] ; [130.62102689 205.37897311],0
s2,1,0.166218,1.916722,[30 44] ; [168 172],[35.39130435 38.60869565] ; [162.60869565 177.39130435],0
v1,1,0.171493,1.869844,[29 44] ; [165 175],[34.2905569 38.7094431] ; [159.7094431 180.2905569],0
v2,1,0.179429,1.80235,[29 38] ; [172 157],[34.00757576 32.99242424] ; [166.99242424 162.00757576],0
v3,1,0.191518,1.705902,[18 49] ; [117 216],[22.6125 44.3875] ; [112.3875 220.6125],0
b1,1,0.223866,1.479416,[29 46] ; [108 236],[24.52267303 50.47732697] ; [112.47732697 231.52267303],0
s4,1,0.272849,1.202366,[ 9 66] ; [ 58 280],[12.16707022 62.83292978] ; [ 54.83292978 283.16707022],0
a7,1,0.285034,1.142931,[51 24] ; [254  89],[54.72488038 20.27511962] ; [250.27511962  92.72488038],0
r1,1,0.289551,1.121709,[66  9] ; [284  58],[62.94964029 12.05035971] ; [287.05035971  54.94964029],0
a4,1,0.308079,1.038894,[27 48] ; [145 197],[30.9352518 44.0647482] ; [141.0647482 200.9352518],0
p1,1,0.352765,0.863485,[ 2 72] ; [ 18 325],[ 3.54916067 70.45083933] ; [ 16.45083933 326.54916067],0
p12,1,0.373645,0.791506,[ 2 70] ; [ 18 325],[ 3.46987952 68.53012048] ; [ 16.53012048 326.46987952],0
n1,1,0.402993,0.699377,[12 15] ; [32 58],[10.15384615 16.84615385] ; [33.84615385 56.15384615],0
a3,1,0.407734,0.685398,[47 28] ; [232 111],[50.05980861 24.94019139] ; [228.94019139 114.05980861],0
p4,1,0.418087,0.655685,[25 49] ; [132 208],[28.06280193 45.93719807] ; [128.93719807 211.06280193],0
a1,1,0.439925,0.596477,[ 1 74] ; [ 10 334],[ 1.96897375 73.03102625] ; [  9.03102625 334.96897375],0
u1,1,0.486293,0.484718,[ 8 67] ; [ 47 297],[ 9.84486874 65.15513126] ; [ 45.15513126 298.84486874],0
r2,1,0.520894,0.412123,[72  3] ; [333   9],[72.84172662  2.15827338] ; [332.15827338   9.84172662],0
b4,1,0.548054,0.360815,[46 29] ; [198 146],[43.67541766 31.32458234] ; [200.32458234 143.67541766],0
n3,1,0.586193,0.29633,[21  6] ; [66 25],[19.90677966  7.09322034] ; [67.09322034 23.90677966],0
