Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3e-06,21.869775,[ 8 43] ; [19  9],[17.43037975 33.56962025] ; [ 9.56962025 18.43037975],1
s6,1,0.000495,12.133294,[14 37] ; [19  9],[21.30379747 29.69620253] ; [11.69620253 16.30379747],1
s7,1,0.000578,11.845001,[11 37] ; [17 10],[17.92 30.08] ; [10.08 16.92],1
s8,1,0.007891,7.057978,[ 8 43] ; [12 16],[12.91139241 38.08860759] ; [ 7.08860759 20.91139241],0
s5,1,0.040964,4.177516,[ 5 46] ; [ 7 18],[ 8.05263158 42.94736842] ; [ 3.94736842 21.05263158],0
a6,1,0.049394,3.86191,[21 30] ; [18 10],[25.17721519 25.82278481] ; [13.82278481 14.17721519],0
p2,1,0.078217,3.101568,[31 19] ; [22  5],[34.41558442 15.58441558] ; [18.58441558  8.41558442],0
r3,1,0.083536,2.994721,[29 20] ; [22  6],[32.45454545 16.54545455] ; [18.54545455  9.45454545],0
a3,1,0.099142,2.719298,[26 25] ; [19  8],[29.42307692 21.57692308] ; [15.57692308 11.42307692],0
p9,1,0.102136,2.671875,[27 21] ; [21  7],[30.31578947 17.68421053] ; [17.68421053 10.31578947],0
r2,1,0.153501,2.03711,[25 23] ; [18  8],[27.89189189 20.10810811] ; [15.10810811 10.89189189],0
p5,1,0.199181,1.64837,[ 3 47] ; [ 4 23],[ 4.54545455 45.45454545] ; [ 2.45454545 24.54545455],0
p7,1,0.223583,1.481226,[13 35] ; [11 16],[15.36 32.64] ; [ 8.64 18.36],0
b1,1,0.254792,1.296837,[25 26] ; [10 18],[22.59493671 28.40506329] ; [12.40506329 15.59493671],0
p11,1,0.266212,1.236163,[30 21] ; [20  8],[32.27848101 18.72151899] ; [17.72151899 10.27848101],0
d5,1,0.267506,1.229492,[32 19] ; [21  7],[34.21518987 16.78481013] ; [18.78481013  9.21518987],0
p8,1,0.267506,1.229492,[19 32] ; [ 7 21],[16.78481013 34.21518987] ; [ 9.21518987 18.78481013],0
d2,1,0.309751,1.031738,[17 32] ; [13 15],[19.09090909 29.90909091] ; [10.90909091 17.09090909],0
s4,1,0.312669,1.019368,[ 8 43] ; [ 7 21],[ 9.6835443 41.3164557] ; [ 5.3164557 22.6835443],0
n1,1,0.319435,0.991259,[ 8 17] ; [5 5],[ 9.28571429 15.71428571] ; [3.71428571 6.28571429],0
p1,1,0.336113,0.9252,[ 5 46] ; [ 1 26],[ 3.92307692 47.07692308] ; [ 2.07692308 24.92307692],0
p3,1,0.337621,0.919445,[16 34] ; [12 16],[17.94871795 32.05128205] ; [10.05128205 17.94871795],0
p6,1,0.340738,0.907652,[10 40] ; [ 8 19],[11.68831169 38.31168831] ; [ 6.31168831 20.68831169],0
n4,1,0.344107,0.895072,[31 20] ; [20  8],[32.92405063 18.07594937] ; [18.07594937  9.92405063],0
a2,1,0.363903,0.824378,[ 4 47] ; [ 4 24],[ 5.16455696 45.83544304] ; [ 2.83544304 25.16455696],0
b4,1,0.507623,0.438964,[33 18] ; [16 12],[31.63291139 19.36708861] ; [17.36708861 10.63291139],0
s1,1,0.532191,0.390205,[ 2 49] ; [ 2 26],[ 2.58227848 48.41772152] ; [ 1.41772152 26.58227848],0
b2,1,0.550552,0.356328,[ 8 20] ; [ 7 12],[ 8.93617021 19.06382979] ; [ 6.06382979 12.93617021],0
b3,1,0.550552,0.356328,[ 8 20] ; [ 7 12],[ 8.93617021 19.06382979] ; [ 6.06382979 12.93617021],0
p4,1,0.566206,0.329072,[23 27] ; [11 17],[21.79487179 28.20512821] ; [12.20512821 15.79487179],0
n3,1,0.577155,0.310857,[14 11] ; [6 3],[14.70588235 10.29411765] ; [5.29411765 3.70588235],0
a4,1,0.603929,0.269111,[15 35] ; [10 18],[16.02564103 33.97435897] ; [ 8.97435897 19.02564103],0
d4,1,0.63783,0.221591,[35 15] ; [21  7],[35.8974359 14.1025641] ; [20.1025641  7.8974359],0
n2,1,0.652391,0.202899,[17  8] ; [6 4],[16.42857143  8.57142857] ; [6.57142857 3.42857143],0
a1,1,0.65406,0.200819,[ 3 48] ; [ 1 27],[ 2.58227848 48.41772152] ; [ 1.41772152 26.58227848],0
n5,1,0.7003,0.14816,[36 14] ; [19  9],[35.25641026 14.74358974] ; [19.74358974  8.25641026],0
v1,1,0.72357,0.125098,[15 34] ; [ 9 17],[15.68 33.32] ; [ 8.32 17.68],0
p10,1,0.765866,0.088677,[29 21] ; [16 10],[29.60526316 20.39473684] ; [15.39473684 10.60526316],0
