Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9.7e-05,15.184815,[ 8 31] ; [19  9],[15.71641791 23.28358209] ; [11.28358209 16.71641791],1
d4,1,0.000793,11.257071,[15 24] ; [23  6],[21.79411765 17.20588235] ; [16.20588235 12.79411765],1
r3,1,0.001594,9.966886,[16 23] ; [23  6],[22.36764706 16.63235294] ; [16.63235294 12.36764706],0
n4,1,0.002885,8.879008,[25 14] ; [ 8 21],[18.92647059 20.07352941] ; [14.07352941 14.92647059],0
n5,1,0.018622,5.536682,[26 13] ; [11 18],[21.22058824 17.77941176] ; [15.77941176 13.22058824],0
d5,1,0.021636,5.274786,[12 27] ; [17 12],[16.63235294 22.36764706] ; [12.36764706 16.63235294],0
p10,1,0.030695,4.669931,[15 23] ; [18  9],[19.29230769 18.70769231] ; [13.70769231 13.29230769],0
d1,1,0.033121,4.539535,[ 5 34] ; [10 19],[ 8.60294118 30.39705882] ; [ 6.39705882 22.60294118],0
b1,1,0.045659,3.994145,[23 16] ; [10 19],[18.92647059 20.07352941] ; [14.07352941 14.92647059],0
v3,1,0.053813,3.718504,[ 4 35] ; [ 8 20],[ 6.98507463 32.01492537] ; [ 5.01492537 22.98507463],0
s6,1,0.057943,3.595307,[ 9 30] ; [13 16],[12.61764706 26.38235294] ; [ 9.38235294 19.61764706],0
v4,1,0.07822,3.101504,[22 16] ; [22  6],[25.33333333 12.66666667] ; [18.66666667  9.33333333],0
p9,1,0.105346,2.622682,[16 22] ; [18 11],[19.28358209 18.71641791] ; [14.71641791 14.28358209],0
a4,1,0.109172,2.566173,[ 6 33] ; [ 1 28],[ 4.01470588 34.98529412] ; [ 2.98529412 26.01470588],0
p2,1,0.117526,2.449991,[22 17] ; [21  7],[25.02985075 13.97014925] ; [17.97014925 10.02985075],0
s8,1,0.124194,2.363622,[ 4 35] ; [ 7 22],[ 6.30882353 32.69117647] ; [ 4.69117647 24.30882353],0
a6,1,0.156026,2.012325,[11 28] ; [13 16],[13.76470588 25.23529412] ; [10.23529412 18.76470588],0
s2,1,0.183675,1.767639,[ 9 30] ; [11 18],[11.47058824 27.52941176] ; [ 8.52941176 20.47058824],0
u2,1,0.190588,1.713063,[10 16] ; [10  7],[12.09302326 13.90697674] ; [7.90697674 9.09302326],0
r2,1,0.209166,1.577187,[18 19] ; [18 10],[20.49230769 16.50769231] ; [15.50769231 12.49230769],0
p11,1,0.247726,1.336084,[16 23] ; [16 13],[18.35294118 20.64705882] ; [13.64705882 15.35294118],0
u3,1,0.258362,1.277513,[ 6 20] ; [ 7 11],[ 7.68181818 18.31818182] ; [ 5.31818182 12.68181818],0
n1,1,0.28245,1.155266,[ 7 15] ; [ 2 11],[ 5.65714286 16.34285714] ; [3.34285714 9.65714286],0
d2,1,0.291836,1.111134,[11 28] ; [ 5 24],[ 9.17647059 29.82352941] ; [ 6.82352941 22.17647059],0
s3,1,0.302871,1.061509,[12 25] ; [13 16],[14.01515152 22.98484848] ; [10.98484848 18.01515152],0
p1,1,0.304423,1.054718,[ 4 35] ; [ 1 27],[ 2.91044776 36.08955224] ; [ 2.08955224 25.91044776],0
p4,1,0.319101,0.992629,[12 26] ; [ 6 23],[10.20895522 27.79104478] ; [ 7.79104478 21.20895522],0
p8,1,0.340811,0.907377,[11 28] ; [11 17],[12.80597015 26.19402985] ; [ 9.19402985 18.80597015],0
s4,1,0.343176,0.898529,[ 7 32] ; [ 8 21],[ 8.60294118 30.39705882] ; [ 6.39705882 22.60294118],0
n3,1,0.357617,0.846245,[10 12] ; [8 5],[11.31428571 10.68571429] ; [6.68571429 6.31428571],0
p5,1,0.371423,0.798897,[ 1 38] ; [ 2 26],[ 1.74626866 37.25373134] ; [ 1.25373134 26.74626866],0
a1,1,0.461971,0.541114,[ 3 36] ; [ 1 28],[ 2.29411765 36.70588235] ; [ 1.70588235 27.29411765],0
b4,1,0.496156,0.463149,[26 13] ; [17 12],[24.66176471 14.33823529] ; [18.33823529 10.66176471],0
p3,1,0.532462,0.389691,[ 7 32] ; [ 7 22],[ 8.02941176 30.97058824] ; [ 5.97058824 23.02941176],0
s7,1,0.574671,0.31493,[ 8 29] ; [ 8 21],[ 8.96969697 28.03030303] ; [ 7.03030303 21.96969697],0
r1,1,0.634041,0.22662,[10 29] ; [ 6 23],[ 9.17647059 29.82352941] ; [ 6.82352941 22.17647059],0
p7,1,0.6886,0.160605,[15 23] ; [12 15],[15.78461538 22.21538462] ; [11.21538462 15.78461538],0
s1,1,0.702912,0.145461,[ 3 36] ; [ 3 26],[ 3.44117647 35.55882353] ; [ 2.55882353 26.44117647],0
v1,1,0.723441,0.125219,[12 26] ; [ 8 21],[11.34328358 26.65671642] ; [ 8.65671642 20.34328358],0
v2,1,0.736453,0.113268,[11 25] ; [10 19],[11.63076923 24.36923077] ; [ 9.36923077 19.63076923],0
b5,1,0.750584,0.101041,[20 19] ; [16 13],[20.64705882 18.35294118] ; [15.35294118 13.64705882],0
a3,1,0.752993,0.099033,[13 25] ; [11 18],[13.6119403 24.3880597] ; [10.3880597 18.6119403],0
p6,1,0.823719,0.049624,[ 6 32] ; [ 5 23],[ 6.33333333 31.66666667] ; [ 4.66666667 23.33333333],0
b2,1,0.874408,0.024984,[ 8 18] ; [4 8],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
b3,1,0.874408,0.024984,[ 8 18] ; [4 8],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
n2,1,0.886436,0.020396,[13  9] ; [8 5],[13.2  8.8] ; [7.8 5.2],0
s5,1,0.949387,0.004029,[ 6 33] ; [ 4 23],[ 5.90909091 33.09090909] ; [ 4.09090909 22.90909091],0
n6,1,0.971223,0.001301,[20 19] ; [15 14],[20.07352941 18.92647059] ; [14.92647059 14.07352941],0
