Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2e-06,22.993135,[109  31] ; [27 35],[94.25742574 45.74257426] ; [41.74257426 20.25742574],1
a4,1,9e-06,19.727135,[74 66] ; [12 50],[59.6039604 80.3960396] ; [26.3960396 35.6039604],1
d2,1,0.000108,14.99918,[82 58] ; [18 44],[69.30693069 70.69306931] ; [30.69306931 31.30693069],1
u1,1,0.0008,11.240227,[ 27 113] ; [ 1 61],[ 19.40594059 120.59405941] ; [ 8.59405941 53.40594059],1
a6,1,0.003276,8.646804,[98 42] ; [30 32],[88.71287129 51.28712871] ; [39.28712871 22.71287129],0
d1,1,0.006271,7.470716,[102  38] ; [33 29],[93.56435644 46.43564356] ; [41.43564356 20.56435644],0
n4,1,0.008592,6.905802,[66 74] ; [17 45],[57.52475248 82.47524752] ; [25.47524752 36.52475248],0
s6,1,0.008941,6.834602,[88 51] ; [26 34],[79.6281407 59.3718593] ; [34.3718593 25.6281407],0
p7,1,0.011669,6.360488,[76 61] ; [22 39],[67.80808081 69.19191919] ; [30.19191919 30.80808081],0
p3,1,0.013406,6.114667,[61 77] ; [16 46],[53.13 84.87] ; [23.87 38.13],0
r1,1,0.015213,5.891629,[110  29] ; [39 23],[103.039801  35.960199] ; [45.960199 16.039801],0
v2,1,0.027245,4.87523,[82 52] ; [26 33],[74.98445596 59.01554404] ; [33.01554404 25.98445596],0
p9,1,0.058725,3.573025,[102  36] ; [35 23],[96.45918367 41.54081633] ; [40.54081633 17.45918367],0
p4,1,0.065602,3.38977,[66 72] ; [21 41],[60.03 77.97] ; [26.97 35.03],0
p10,1,0.088611,2.899431,[98 41] ; [33 24],[92.90306122 46.09693878] ; [38.09693878 18.90306122],0
p6,1,0.103264,2.654389,[40 96] ; [11 49],[ 35.3877551 100.6122449] ; [15.6122449 44.3877551],0
s2,1,0.115821,2.472937,[64 76] ; [21 41],[58.91089109 81.08910891] ; [26.08910891 35.91089109],0
p2,1,0.124111,2.364661,[105  33] ; [40 21],[100.55276382  37.44723618] ; [44.44723618 16.55276382],0
d4,1,0.126322,2.337134,[131   9] ; [54  8],[128.21782178  11.78217822] ; [56.78217822  5.21782178],0
r3,1,0.134867,2.235571,[134   6] ; [56  6],[131.68316832   8.31683168] ; [58.31683168  3.68316832],0
r4,1,0.189199,1.723848,[119  21] ; [48 14],[115.74257426  24.25742574] ; [51.25742574 10.74257426],0
v1,1,0.219543,1.507358,[58 78] ; [20 40],[54.12244898 81.87755102] ; [23.87755102 36.12244898],0
r2,1,0.248502,1.331708,[127   9] ; [54  7],[124.95431472  11.04568528] ; [56.04568528  4.95431472],0
s8,1,0.274792,1.192668,[49 90] ; [17 45],[45.64179104 93.35820896] ; [20.35820896 41.64179104],0
u2,1,0.284666,1.144679,[16 15] ; [22 12],[18.12307692 12.87692308] ; [19.87692308 14.12307692],0
v3,1,0.337663,0.919283,[40 93] ; [13 43],[37.2962963 95.7037037] ; [15.7037037 40.2962963],0
a1,1,0.338094,0.917646,[  6 134] ; [ 1 61],[  4.85148515 135.14851485] ; [ 2.14851485 59.85148515],0
p12,1,0.338962,0.914354,[  6 132] ; [ 1 60],[  4.85427136 133.14572864] ; [ 2.14572864 58.85427136],0
b1,1,0.340345,0.909131,[55 85] ; [20 42],[51.98019802 88.01980198] ; [23.01980198 38.98019802],0
p11,1,0.346716,0.885441,[91 49] ; [36 26],[88.01980198 51.98019802] ; [38.98019802 23.01980198],0
d3,1,0.356462,0.850321,[112  28] ; [46 16],[109.5049505  30.4950495] ; [48.4950495 13.5049505],0
