Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.6e-05,18.588226,[ 52 106] ; [55 35],[68.16935484 89.83064516] ; [38.83064516 51.16935484],1
p2,1,4.5e-05,16.665807,[88 76] ; [73 19],[103.140625  60.859375] ; [57.859375 34.140625],1
s6,1,0.000245,13.449076,[ 48 117] ; [48 44],[ 61.63424125 103.36575875] ; [34.36575875 57.63424125],1
p3,1,0.000893,11.036229,[ 32 133] ; [35 56],[ 43.18359375 121.81640625] ; [23.81640625 67.18359375],1
v3,1,0.003072,8.764265,[ 35 124] ; [36 55],[ 45.156 113.844] ; [25.844 65.156],0
r1,1,0.006965,7.281867,[100  65] ; [71 21],[109.78599222  55.21400778] ; [61.21400778 30.78599222],0
p9,1,0.011073,6.453561,[92 69] ; [68 25],[101.41732283  59.58267717] ; [58.58267717 34.41732283],0
p10,1,0.032056,4.595487,[85 77] ; [61 31],[93.11811024 68.88188976] ; [52.88188976 39.11811024],0
u1,1,0.035927,4.40057,[ 14 151] ; [16 77],[ 19.18604651 145.81395349] ; [10.81395349 82.18604651],0
p7,1,0.04682,3.951833,[ 48 115] ; [38 53],[ 55.18897638 107.81102362] ; [30.81102362 60.18897638],0
p11,1,0.051473,3.792802,[97 68] ; [66 27],[104.24418605  60.75581395] ; [58.75581395 34.24418605],0
v4,1,0.066999,3.355056,[131  33] ; [80 10],[136.23622047  27.76377953] ; [74.76377953 15.23622047],0
r3,1,0.07876,3.090297,[132  32] ; [81 10],[136.98823529  27.01176471] ; [76.01176471 14.98823529],0
p4,1,0.09598,2.771111,[ 45 118] ; [35 58],[ 50.9375 112.0625] ; [29.0625 63.9375],0
b5,1,0.098668,2.726949,[89 76] ; [60 33],[95.29069767 69.70930233] ; [53.70930233 39.29069767],0
r2,1,0.114407,2.492267,[135  28] ; [82  9],[139.25590551  23.74409449] ; [77.74409449 13.25590551],0
n5,1,0.132493,2.263046,[98 65] ; [64 28],[103.55294118  59.44705882] ; [58.44705882 33.55294118],0
u3,1,0.141943,2.156772,[26 36] ; [18 13],[29.33333333 32.66666667] ; [14.66666667 16.33333333],0
a7,1,0.141983,2.156337,[99 65] ; [64 28],[104.421875  59.578125] ; [58.578125 33.421875],0
n1,1,0.149021,2.082242,[26 42] ; [ 5 18],[23.16483516 44.83516484] ; [ 7.83516484 15.16483516],0
p6,1,0.187437,1.737652,[ 22 141] ; [18 73],[ 25.66929134 137.33070866] ; [14.33070866 76.66929134],0
d3,1,0.192624,1.697435,[94 70] ; [61 32],[98.91050584 65.08949416] ; [56.08949416 36.91050584],0
u2,1,0.206039,1.59904,[28 33] ; [18 12],[30.83516484 30.16483516] ; [15.16483516 14.83516484],0
r4,1,0.253085,1.306194,[115  50] ; [71 22],[118.95348837  46.04651163] ; [67.04651163 25.95348837],0
s7,1,0.266898,1.232621,[ 31 126] ; [23 66],[ 34.46341463 122.53658537] ; [19.53658537 69.46341463],0
s4,1,0.269472,1.219435,[ 20 145] ; [ 7 84],[ 17.40234375 147.59765625] ; [ 9.59765625 81.40234375],0
n6,1,0.270705,1.213169,[113  52] ; [69 23],[116.84824903  48.15175097] ; [65.15175097 26.84824903],0
n3,1,0.306707,1.044803,[41 25] ; [17  6],[43.01123596 22.98876404] ; [14.98876404  8.01123596],0
p5,1,0.365529,0.818809,[  8 157] ; [ 7 85],[  9.63035019 155.36964981] ; [ 5.36964981 86.63035019],0
n4,1,0.394426,0.725254,[108  57] ; [65 27],[111.07003891  53.92996109] ; [61.92996109 30.07003891],0
b2,1,0.395016,0.723446,[38 59] ; [25 29],[40.47019868 56.52980132] ; [22.52980132 31.47019868],0
b3,1,0.395016,0.723446,[38 59] ; [25 29],[40.47019868 56.52980132] ; [22.52980132 31.47019868],0
a6,1,0.400609,0.706497,[105  60] ; [64 29],[108.08139535  56.91860465] ; [60.91860465 32.08139535],0
a1,1,0.435613,0.607811,[ 11 154] ; [ 4 89],[  9.59302326 155.40697674] ; [ 5.40697674 87.59302326],0
