Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.625008,[65  6] ; [20 20],[54.36936937 16.63063063] ; [30.63063063  9.36936937],1
r2,1,1e-06,23.944087,[66  4] ; [21 17],[56.38888889 13.61111111] ; [30.61111111  7.38888889],1
r3,1,5e-06,20.834078,[69  2] ; [27 14],[60.85714286 10.14285714] ; [35.14285714  5.85714286],1
v4,1,0.000391,12.574994,[68  3] ; [29 11],[62.04504505  8.95495495] ; [34.95495495  5.04504505],1
b1,1,0.001034,10.765621,[24 47] ; [27 14],[32.33035714 38.66964286] ; [18.66964286 22.33035714],0
d1,1,0.002807,8.928707,[34 37] ; [ 8 33],[26.625 44.375] ; [15.375 25.625],0
d5,1,0.010169,6.605098,[54 16] ; [22 19],[47.92792793 22.07207207] ; [28.07207207 12.92792793],0
v3,1,0.012106,6.295225,[28 42] ; [ 7 34],[22.07207207 47.92792793] ; [12.92792793 28.07207207],0
b4,1,0.012654,6.21682,[45 26] ; [16 25],[38.66964286 32.33035714] ; [22.33035714 18.66964286],0
d3,1,0.02667,4.912034,[45 25] ; [17 23],[39.45454545 30.54545455] ; [22.54545455 17.45454545],0
s5,1,0.032828,4.554706,[22 47] ; [ 5 33],[17.41121495 51.58878505] ; [ 9.58878505 28.41121495],0
p9,1,0.03731,4.336221,[59 12] ; [27 14],[54.51785714 16.48214286] ; [31.48214286  9.51785714],0
p10,1,0.050837,3.813651,[56 15] ; [24 15],[51.63636364 19.36363636] ; [28.36363636 10.63636364],0
a7,1,0.090047,2.873532,[44 26] ; [19 22],[39.72972973 30.27027027] ; [23.27027027 17.72972973],0
b3,1,0.096963,2.754796,[16 32] ; [ 4 22],[12.97297297 35.02702703] ; [ 7.02702703 18.97297297],0
b2,1,0.096963,2.754796,[16 32] ; [ 4 22],[12.97297297 35.02702703] ; [ 7.02702703 18.97297297],0
p1,1,0.097783,2.741336,[ 8 63] ; [ 1 40],[ 5.70535714 65.29464286] ; [ 3.29464286 37.70535714],0
a4,1,0.105401,2.621862,[22 49] ; [ 7 34],[18.38392857 52.61607143] ; [10.61607143 30.38392857],0
s1,1,0.116154,2.468434,[ 2 69] ; [ 4 37],[ 3.80357143 67.19642857] ; [ 2.19642857 38.80357143],0
a2,1,0.129138,2.302842,[10 61] ; [ 2 39],[ 7.60714286 63.39285714] ; [ 4.39285714 36.60714286],0
d4,1,0.149581,2.076514,[51 20] ; [24 17],[47.54464286 23.45535714] ; [27.45535714 13.54464286],0
p6,1,0.173373,1.853531,[33 36] ; [13 25],[29.6635514 39.3364486] ; [16.3364486 21.6635514],0
d2,1,0.181878,1.782213,[26 45] ; [10 31],[22.82142857 48.17857143] ; [13.17857143 27.82142857],0
p12,1,0.215608,1.533369,[ 6 65] ; [ 1 39],[ 4.47747748 66.52252252] ; [ 2.52252252 37.47747748],0
s8,1,0.220511,1.501044,[29 42] ; [12 29],[25.99107143 45.00892857] ; [15.00892857 25.99107143],0
a5,1,0.243669,1.359244,[41 30] ; [19 22],[38.03571429 32.96428571] ; [21.96428571 19.03571429],0
n4,1,0.262191,1.257153,[49 22] ; [24 17],[46.27678571 24.72321429] ; [26.72321429 14.27678571],0
p3,1,0.280797,1.163229,[43 28] ; [20 20],[40.2972973 30.7027027] ; [22.7027027 17.2972973],0
s4,1,0.289826,1.120431,[13 58] ; [11 30],[15.21428571 55.78571429] ; [ 8.78571429 32.21428571],0
n3,1,0.308418,1.037438,[17  4] ; [12  6],[15.61538462  5.38461538] ; [13.38461538  4.61538462],0
a1,1,0.350227,0.872634,[ 7 64] ; [ 2 39],[ 5.70535714 65.29464286] ; [ 3.29464286 37.70535714],0
s6,1,0.354106,0.858689,[42 25] ; [22 19],[39.7037037 27.2962963] ; [24.2962963 16.7037037],0
s7,1,0.370979,0.800383,[30 37] ; [14 25],[27.81132075 39.18867925] ; [16.18867925 22.81132075],0
v2,1,0.384366,0.75669,[35 35] ; [17 24],[32.79279279 37.20720721] ; [19.20720721 21.79279279],0
b5,1,0.397391,0.716206,[41 30] ; [27 14],[43.10714286 27.89285714] ; [24.89285714 16.10714286],0
p5,1,0.416374,0.660528,[11 60] ; [ 4 36],[ 9.59459459 61.40540541] ; [ 5.40540541 34.59459459],0
p2,1,0.430484,0.621516,[59 12] ; [30  9],[57.44545455 13.55454545] ; [31.55454545  7.44545455],0
p8,1,0.440863,0.594035,[43 27] ; [21 18],[41.10091743 28.89908257] ; [22.89908257 16.10091743],0
p11,1,0.468966,0.524412,[53 18] ; [28 13],[51.34821429 19.65178571] ; [29.65178571 11.34821429],0
n2,1,0.509966,0.434137,[16  5] ; [12  6],[15.07692308  5.92307692] ; [12.92307692  5.07692308],0
n1,1,0.552033,0.353688,[ 7 13] ; [ 8 10],[ 7.89473684 12.10526316] ; [ 7.10526316 10.89473684],0
a3,1,0.567832,0.326323,[43 28] ; [22 18],[41.57657658 29.42342342] ; [23.42342342 16.57657658],0
s3,1,0.588748,0.292304,[37 33] ; [19 21],[35.63636364 34.36363636] ; [20.36363636 19.63636364],0
