Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.29984,[44 78] ; [228  61],[80.73965937 41.26034063] ; [191.26034063  97.73965937],1
d3,1,0.0,40.071015,[62 60] ; [236  54],[88.24271845 33.75728155] ; [209.75728155  80.24271845],1
a2,1,1e-06,23.409074,[ 15 107] ; [105 187],[35.36231884 86.63768116] ; [ 84.63768116 207.36231884],1
u1,1,6e-06,20.409928,[ 12 110] ; [ 90 202],[30.05797101 91.94202899] ; [ 71.94202899 220.05797101],1
b5,1,0.000199,13.838206,[54 68] ; [187 105],[71.01932367 50.98067633] ; [169.98067633 122.01932367],1
b1,1,0.006763,7.33475,[60 62] ; [102 190],[47.73913043 74.26086957] ; [114.26086957 177.73913043],0
r4,1,0.010795,6.49868,[109  13] ; [280  12],[114.63285024   7.36714976] ; [274.36714976  17.63285024],0
d1,1,0.010868,6.486745,[68 54] ; [201  91],[79.2705314 42.7294686] ; [189.7294686 102.2705314],0
v2,1,0.011165,6.438851,[60 58] ; [183 101],[71.32835821 46.67164179] ; [171.67164179 112.32835821],0
r1,1,0.012348,6.260156,[95 27] ; [254  36],[103.34466019  18.65533981] ; [245.65533981  44.34466019],0
b4,1,0.0257,4.976082,[59 63] ; [176 116],[69.25120773 52.74879227] ; [165.74879227 126.25120773],0
b2,1,0.032681,4.562408,[47 44] ; [ 77 124],[38.64383562 52.35616438] ; [ 85.35616438 115.64383562],0
b3,1,0.032681,4.562408,[47 44] ; [ 77 124],[38.64383562 52.35616438] ; [ 85.35616438 115.64383562],0
d4,1,0.052575,3.757385,[96 25] ; [252  38],[102.45255474  18.54744526] ; [245.54744526  44.45255474],0
v4,1,0.06312,3.453449,[115   6] ; [286   5],[117.76941748   3.23058252] ; [283.23058252   7.76941748],0
n4,1,0.081886,3.027065,[107  14] ; [237  54],[101.02912621  19.97087379] ; [242.97087379  48.02912621],0
n1,1,0.116249,2.467148,[21 12] ; [26 30],[17.42696629 15.57303371] ; [29.57303371 26.42696629],0
p4,1,0.140672,2.17059,[75 47] ; [200  90],[81.43203883 40.56796117] ; [193.56796117  96.43203883],0
s8,1,0.183048,1.772703,[90 32] ; [194  95],[84.30170316 37.69829684] ; [199.69829684  89.30170316],0
p2,1,0.204229,1.611872,[98 23] ; [251  41],[102.24939467  18.75060533] ; [246.75060533  45.24939467],0
p11,1,0.219767,1.50589,[101  21] ; [226  66],[96.36231884 25.63768116] ; [230.63768116  61.36231884],0
u3,1,0.254369,1.299145,[11  8] ; [41 16],[13.  6.] ; [39. 18.],0
n5,1,0.273995,1.196635,[102  19] ; [231  59],[98.03649635 22.96350365] ; [234.96350365  55.03649635],0
s4,1,0.310087,1.030307,[30 91] ; [ 59 232],[26.13834951 94.86165049] ; [ 62.86165049 228.13834951],0
p8,1,0.319358,0.991576,[62 57] ; [165 122],[66.53448276 52.46551724] ; [160.46551724 126.53448276],0
p12,1,0.326832,0.961409,[  9 111] ; [ 31 260],[ 11.67883212 108.32116788] ; [ 28.32116788 262.67883212],0
a4,1,0.357921,0.845174,[66 56] ; [143 148],[61.73849879 60.26150121] ; [147.26150121 143.73849879],0
s1,1,0.391843,0.733216,[  4 118] ; [ 15 272],[  5.66748166 116.33251834] ; [ 13.33251834 273.66748166],0
a3,1,0.412902,0.67043,[103  19] ; [235  55],[100.08737864  21.91262136] ; [237.91262136  52.08737864],0
p10,1,0.416897,0.659045,[101  20] ; [251  39],[103.63017032  17.36982968] ; [248.36982968  41.63017032],0
