Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,70.296416,[ 15 123] ; [68 43],[46. 92.] ; [37. 74.],1
p2,1,0.0,26.384314,[75 63] ; [95 17],[93.84 44.16] ; [76.16 35.84],1
s6,1,4.6e-05,16.62244,[63 73] ; [80 31],[78.73684211 57.26315789] ; [64.26315789 46.73684211],1
r4,1,7.3e-05,15.725061,[96 42] ; [101  11],[108.744  29.256] ; [88.256 23.744],1
p8,1,8.5e-05,15.444423,[ 22 116] ; [42 69],[ 35.46987952 102.53012048] ; [28.53012048 82.46987952],1
s7,1,0.000189,13.93566,[41 94] ; [56 47],[55.0210084 79.9789916] ; [41.9789916 61.0210084],1
p6,1,0.000189,13.933018,[ 11 126] ; [28 82],[ 21.63157895 115.36842105] ; [17.36842105 92.63157895],1
d1,1,0.000326,12.91192,[61 77] ; [75 37],[75.072 62.928] ; [60.928 51.072],1
n4,1,0.000388,12.588301,[109  29] ; [106   6],[118.68  19.32] ; [96.32 15.68],1
r3,1,0.000506,12.092707,[106  30] ; [105   7],[115.70967742  20.29032258] ; [95.29032258 16.70967742],1
d5,1,0.000845,11.139808,[90 48] ; [94 18],[101.568  36.432] ; [82.432 29.568],1
s8,1,0.000846,11.137704,[ 37 101] ; [52 58],[49.52419355 88.47580645] ; [39.47580645 70.52419355],1
s2,1,0.001544,10.024965,[47 88] ; [60 49],[59.20081967 75.79918033] ; [47.79918033 61.20081967],0
v1,1,0.00182,9.72229,[47 87] ; [59 48],[58.93775934 75.06224066] ; [47.06224066 59.93775934],0
v4,1,0.002336,9.265117,[113  25] ; [106   6],[120.888  17.112] ; [98.112 13.888],0
d3,1,0.00279,8.939758,[73 65] ; [80 32],[84.456 53.544] ; [68.544 43.456],0
n6,1,0.003211,8.683555,[111  26] ; [105   7],[118.84337349  18.15662651] ; [97.15662651 14.84337349],0
d2,1,0.003603,8.473941,[60 75] ; [70 41],[71.34146341 63.65853659] ; [58.65853659 52.34146341],0
p9,1,0.004174,8.206329,[96 39] ; [95 15],[105.24489796  29.75510204] ; [85.75510204 24.24489796],0
v2,1,0.004248,8.174547,[46 83] ; [59 50],[56.91176471 72.08823529] ; [48.08823529 60.91176471],0
a1,1,0.011482,6.389219,[ 13 125] ; [  2 110],[  8.28 129.72] ; [  6.72 105.28],0
p5,1,0.024079,5.088963,[  5 133] ; [12 98],[  9.45967742 128.54032258] ; [  7.54032258 102.45967742],0
p10,1,0.024674,5.046608,[91 46] ; [88 23],[98.88306452 38.11693548] ; [80.11693548 30.88306452],0
d4,1,0.031554,4.622579,[95 42] ; [91 21],[102.3373494  34.6626506] ; [83.6626506 28.3373494],0
u1,1,0.035409,4.425367,[ 17 121] ; [25 87],[ 23.184 114.816] ; [18.816 93.184],0
u2,1,0.04553,3.998907,[18 31] ; [19 13],[22.38271605 26.61728395] ; [14.61728395 17.38271605],0
a7,1,0.047513,3.927138,[84 53] ; [82 30],[91.33333333 45.66666667] ; [74.66666667 37.33333333],0
a4,1,0.051552,3.790241,[56 80] ; [60 52],[63.61290323 72.38709677] ; [52.38709677 59.61290323],0
s3,1,0.056863,3.6266,[59 76] ; [61 48],[66.39344262 68.60655738] ; [53.60655738 55.39344262],0
p12,1,0.065433,3.394017,[  8 129] ; [14 98],[ 12.10441767 124.89558233] ; [  9.89558233 102.10441767],0
r2,1,0.078702,3.091496,[120  18] ; [104   7],[124.14457831  13.85542169] ; [99.85542169 11.14457831],0
n1,1,0.084179,2.982304,[23 33] ; [16 10],[26.63414634 29.36585366] ; [12.36585366 13.63414634],0
r1,1,0.094482,2.796299,[90 48] ; [84 28],[96.048 41.952] ; [77.952 34.048],0
a5,1,0.101407,2.683272,[93 45] ; [86 26],[98.808 39.192] ; [80.192 31.808],0
u4,1,0.150719,2.064954,[  2 136] ; [  5 107],[  3.864 134.136] ; [  3.136 108.864],0
p11,1,0.151181,2.060299,[92 46] ; [84 28],[97.152 40.848] ; [78.848 33.152],0
s5,1,0.156135,2.01127,[ 25 107] ; [28 77],[ 29.51898734 102.48101266] ; [23.48101266 81.51898734],0
s1,1,0.221625,1.493818,[  5 130] ; [  8 103],[  7.13414634 127.86585366] ; [  5.86585366 105.13414634],0
n3,1,0.251762,1.313502,[33 22] ; [19  7],[35.30864198 19.69135802] ; [16.69135802  9.30864198],0
b5,1,0.26621,1.236173,[83 55] ; [75 37],[87.216 50.784] ; [70.784 41.216],0
v3,1,0.311987,1.022247,[41 93] ; [39 67],[44.66666667 89.33333333] ; [35.33333333 70.66666667],0
a3,1,0.313873,1.01431,[89 47] ; [80 32],[92.67741935 43.32258065] ; [76.32258065 35.67741935],0
u3,1,0.412553,0.67143,[23 26] ; [18 14],[24.80246914 24.19753086] ; [16.19753086 15.80246914],0
b4,1,0.44828,0.574996,[89 49] ; [67 45],[86.112 51.888] ; [69.888 42.112],0
b1,1,0.491069,0.474184,[52 86] ; [47 65],[54.648 83.352] ; [44.352 67.648],0
a2,1,0.657188,0.196958,[ 30 108] ; [27 85],[ 31.464 106.536] ; [25.536 86.464],0
a8,1,0.695746,0.152936,[ 13 119] ; [11 85],[ 13.89473684 118.10526316] ; [10.10526316 85.89473684],0
p1,1,0.734498,0.115022,[ 13 125] ; [ 12 100],[ 13.8 124.2] ; [ 11.2 100.8],0
s4,1,0.811298,0.057002,[ 20 116] ; [15 95],[ 19.3495935 116.6504065] ; [15.6504065 94.3495935],0
b3,1,0.846062,0.037692,[28 47] ; [28 44],[28.57142857 46.42857143] ; [27.42857143 44.57142857],0
b2,1,0.846062,0.037692,[28 47] ; [28 44],[28.57142857 46.42857143] ; [27.42857143 44.57142857],0
n2,1,0.913759,0.011729,[41 16] ; [19  7],[41.20481928 15.79518072] ; [18.79518072  7.20481928],0
