Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,45.203165,[27 38] ; [278  65],[48.59068627 16.40931373] ; [256.40931373  86.59068627],1
s2,1,0.0,43.513228,[26 39] ; [275  71],[47.60340633 17.39659367] ; [253.39659367  92.60340633],1
s5,1,0.0,25.497392,[10 52] ; [170 164],[28.18181818 33.81818182] ; [151.81818182 182.18181818],1
s8,1,0.000123,14.748753,[33 32] ; [256  88],[45.92909535 19.07090465] ; [243.07090465 100.92909535],1
r4,1,0.00027,13.26803,[53 12] ; [328  19],[60.1092233  4.8907767] ; [320.8907767  26.1092233],1
r3,1,0.001786,9.757838,[58  7] ; [337   9],[62.46958637  2.53041363] ; [332.53041363  13.46958637],0
p9,1,0.006744,7.339943,[52 13] ; [313  30],[58.1495098  6.8504902] ; [306.8504902  36.1495098],0
r1,1,0.023505,5.130812,[49 16] ; [299  47],[55.03649635  9.96350365] ; [292.96350365  53.03649635],0
v1,1,0.038443,4.285316,[29 34] ; [203 135],[36.44887781 26.55112219] ; [195.55112219 142.44887781],0
a5,1,0.043692,4.068439,[45 20] ; [279  68],[51.11650485 13.88349515] ; [272.88349515  74.11650485],0
n5,1,0.04491,4.022015,[47 18] ; [286  59],[52.79268293 12.20731707] ; [280.20731707  64.79268293],0
s4,1,0.06132,3.501321,[ 8 57] ; [ 78 267],[13.63414634 51.36585366] ; [ 72.36585366 272.63414634],0
d5,1,0.069049,3.305493,[49 16] ; [291  53],[54.03422983 10.96577017] ; [285.96577017  58.03422983],0
r2,1,0.087966,2.911205,[60  4] ; [336   8],[62.11764706  1.88235294] ; [333.88235294  10.11764706],0
p12,1,0.121647,2.395992,[ 3 61] ; [ 38 307],[ 6.41564792 57.58435208] ; [ 34.58435208 310.41564792],0
d1,1,0.122336,2.38716,[36 29] ; [227 120],[41.49271845 23.50728155] ; [221.50728155 125.49271845],0
b2,1,0.127454,2.323238,[24 21] ; [ 99 142],[19.35314685 25.64685315] ; [103.64685315 137.35314685],0
b3,1,0.127454,2.323238,[24 21] ; [ 99 142],[19.35314685 25.64685315] ; [103.64685315 137.35314685],0
a2,1,0.14234,2.152473,[14 51] ; [106 241],[18.93203883 46.06796117] ; [101.06796117 245.93203883],0
n6,1,0.156534,2.007389,[54 11] ; [307  37],[57.37163814  7.62836186] ; [303.62836186  40.37163814],0
u2,1,0.168793,1.893628,[7 7] ; [45 20],[9.21518987 4.78481013] ; [42.78481013 22.21518987],0
s1,1,0.169617,1.886327,[ 1 64] ; [ 19 323],[ 3.19410319 61.80589681] ; [ 16.80589681 325.19410319],0
p5,1,0.212862,1.551851,[ 7 56] ; [ 60 284],[10.37100737 52.62899263] ; [ 56.62899263 287.37100737],0
p1,1,0.213795,1.545542,[ 4 61] ; [ 39 306],[ 6.81707317 58.18292683] ; [ 36.18292683 308.81707317],0
a1,1,0.302624,1.062593,[ 2 63] ; [ 22 325],[ 3.78640777 61.21359223] ; [ 20.21359223 326.78640777],0
b1,1,0.304378,1.054916,[22 43] ; [141 206],[25.71601942 39.28398058] ; [137.28398058 209.71601942],0
d2,1,0.318553,0.994879,[32 33] ; [193 152],[35.67073171 29.32926829] ; [189.32926829 155.67073171],0
b5,1,0.382716,0.761961,[35 30] ; [207 140],[38.17961165 26.82038835] ; [203.82038835 143.17961165],0
n1,1,0.392013,0.732689,[8 5] ; [38 40],[6.57142857 6.42857143] ; [39.42857143 38.57142857],0
a8,1,0.415184,0.663908,[11 44] ; [ 49 265],[ 8.94308943 46.05691057] ; [ 51.05691057 262.94308943],0
u1,1,0.45379,0.561169,[14 51] ; [ 90 257],[16.40776699 48.59223301] ; [ 87.59223301 259.40776699],0
d3,1,0.495922,0.463653,[45 20] ; [253  92],[47.24390244 17.75609756] ; [250.75609756  94.24390244],0
n2,1,0.522768,0.408429,[12  2] ; [61 17],[11.10869565  2.89130435] ; [61.89130435 16.10869565],0
u3,1,0.526164,0.401795,[9 5] ; [48 18],[9.975 4.025] ; [47.025 18.975],0
b4,1,0.533765,0.387219,[34 31] ; [196 151],[36.28640777 28.71359223] ; [193.71359223 153.28640777],0
p10,1,0.538156,0.378967,[54 11] ; [295  48],[55.6004902  9.3995098] ; [293.3995098  49.6004902],0
d4,1,0.575588,0.313421,[54 11] ; [295  49],[55.46454768  9.53545232] ; [293.53545232  50.46454768],0
p4,1,0.580259,0.305815,[42 23] ; [235 110],[43.91463415 21.08536585] ; [233.08536585 111.91463415],0
p6,1,0.589745,0.290743,[32 32] ; [158 183],[30.02469136 33.97530864] ; [159.97530864 181.02469136],0
a7,1,0.596736,0.279946,[48 17] ; [245 102],[46.22572816 18.77427184] ; [246.77427184 100.22572816],0
n4,1,0.614295,0.253968,[53 12] ; [290  55],[54.37804878 10.62195122] ; [288.62195122  56.37804878],0
v2,1,0.645714,0.211347,[36 27] ; [203 134],[37.6425 25.3575] ; [201.3575 135.6425],0
p3,1,0.717105,0.131283,[38 26] ; [197 149],[36.68292683 27.31707317] ; [198.31707317 147.68292683],0
n3,1,0.726362,0.122478,[10  4] ; [52 26],[9.43478261 4.56521739] ; [52.56521739 25.43478261],0
v3,1,0.754846,0.097504,[27 34] ; [156 180],[28.11838791 32.88161209] ; [154.88161209 181.11838791],0
a4,1,0.765186,0.089208,[31 34] ; [172 174],[32.10462287 32.89537713] ; [170.89537713 175.10462287],0
a3,1,0.77503,0.081682,[51 13] ; [281  65],[51.82439024 12.17560976] ; [280.17560976  65.82439024],0
p8,1,0.837054,0.042297,[36 29] ; [193 147],[36.75308642 28.24691358] ; [192.24691358 147.75308642],0
a6,1,0.839207,0.041172,[43 22] ; [232 112],[43.70415648 21.29584352] ; [231.29584352 112.70415648],0
p11,1,0.843833,0.038806,[51 14] ; [276  71],[51.58980583 13.41019417] ; [275.41019417  71.58980583],0
p2,1,0.898485,0.016276,[56  9] ; [296  50],[55.66909976  9.33090024] ; [296.33090024  49.66909976],0
p7,1,0.967743,0.001635,[45 19] ; [234 100],[44.86432161 19.13567839] ; [234.13567839  99.86432161],0
