Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-05,16.097416,[ 3 12] ; [59 21],[9.78947368 5.21052632] ; [52.21052632 27.78947368],1
v4,1,0.00289,8.875606,[9 6] ; [71  8],[12.76595745  2.23404255] ; [67.23404255 11.76595745],0
p10,1,0.007068,7.255584,[7 8] ; [63 16],[11.17021277  3.82978723] ; [58.82978723 20.17021277],0
n6,1,0.037625,4.321877,[8 7] ; [63 17],[11.21052632  3.78947368] ; [59.78947368 20.21052632],0
b4,1,0.042748,4.105357,[6 9] ; [54 26],[9.47368421 5.52631579] ; [50.52631579 29.47368421],0
s5,1,0.047447,3.92945,[ 2 13] ; [29 43],[5.34482759 9.65517241] ; [25.65517241 46.34482759],0
d1,1,0.058811,3.570597,[ 3 12] ; [37 43],[6.31578947 8.68421053] ; [33.68421053 46.31578947],0
u2,1,0.065163,3.400837,[5 1] ; [14 19],[2.92307692 3.07692308] ; [16.07692308 16.92307692],0
s7,1,0.066051,3.378536,[ 4 11] ; [41 37],[7.25806452 7.74193548] ; [37.74193548 40.25806452],0
p2,1,0.073269,3.208234,[9 6] ; [64 15],[11.64893617  3.35106383] ; [61.35106383 17.64893617],0
p4,1,0.080143,3.061991,[11  4] ; [39 41],[7.89473684 7.10526316] ; [42.10526316 37.89473684],0
v3,1,0.103265,2.654378,[ 2 13] ; [26 49],[ 4.66666667 10.33333333] ; [23.33333333 51.66666667],0
p9,1,0.127766,2.319441,[10  5] ; [66 13],[12.12765957  2.87234043] ; [63.87234043 15.12765957],0
s1,1,0.131375,2.276179,[ 2 13] ; [ 3 76],[ 0.79787234 14.20212766] ; [ 4.20212766 74.79787234],0
v2,1,0.139872,2.179367,[ 4 11] ; [36 40],[6.59340659 8.40659341] ; [33.40659341 42.59340659],0
p7,1,0.165588,1.922442,[11  4] ; [41 35],[8.57142857 6.42857143] ; [43.42857143 32.57142857],0
v1,1,0.202791,1.62216,[ 5 10] ; [39 37],[7.25274725 7.74725275] ; [36.74725275 39.25274725],0
s2,1,0.206456,1.596102,[8 7] ; [56 24],[10.10526316  4.89473684] ; [53.89473684 26.10526316],0
a8,1,0.206803,1.59367,[ 3 12] ; [ 7 71],[ 1.61290323 13.38709677] ; [ 8.38709677 69.61290323],0
b3,1,0.257732,1.280896,[ 2 11] ; [15 33],[3.62295082 9.37704918] ; [13.37704918 34.62295082],0
b2,1,0.257732,1.280896,[ 2 11] ; [15 33],[3.62295082 9.37704918] ; [13.37704918 34.62295082],0
r3,1,0.266676,1.233766,[12  3] ; [72  8],[13.26315789  1.73684211] ; [70.73684211  9.26315789],0
p6,1,0.267343,1.230329,[ 3 11] ; [29 50],[4.8172043 9.1827957] ; [27.1827957 51.8172043],0
s8,1,0.271841,1.207433,[ 5 10] ; [39 41],[6.94736842 8.05263158] ; [37.05263158 42.94736842],0
n1,1,0.293803,1.102114,[4 2] ; [ 8 11],[2.88 3.12] ; [9.12 9.88],0
n5,1,0.329848,0.949494,[9 6] ; [58 22],[10.57894737  4.42105263] ; [56.42105263 23.57894737],0
a4,1,0.334696,0.930643,[ 3 12] ; [26 54],[ 4.57894737 10.42105263] ; [24.42105263 55.57894737],0
p12,1,0.335243,0.928538,[ 2 13] ; [ 5 75],[ 1.10526316 13.89473684] ; [ 5.89473684 74.10526316],0
b1,1,0.337157,0.921212,[8 7] ; [32 48],[6.31578947 8.68421053] ; [33.68421053 46.31578947],0
a7,1,0.337157,0.921212,[7 8] ; [48 32],[8.68421053 6.31578947] ; [46.31578947 33.68421053],0
d5,1,0.385269,0.753821,[9 6] ; [57 23],[10.42105263  4.57894737] ; [55.57894737 24.42105263],0
s6,1,0.396662,0.718421,[9 6] ; [54 22],[10.38461538  4.61538462] ; [52.61538462 23.38461538],0
a6,1,0.402501,0.700843,[10  5] ; [44 36],[8.52631579 6.47368421] ; [45.47368421 34.52631579],0
u3,1,0.412435,0.67177,[2 4] ; [17 16],[2.92307692 3.07692308] ; [16.07692308 16.92307692],0
a1,1,0.455329,0.557352,[ 2 13] ; [ 6 74],[ 1.26315789 13.73684211] ; [ 6.73684211 73.26315789],0
n2,1,0.457901,0.55102,[4 2] ; [17  4],[4.66666667 1.33333333] ; [16.33333333  4.66666667],0
b5,1,0.504062,0.446373,[8 7] ; [50 30],[9.15789474 5.84210526] ; [48.84210526 31.15789474],0
d2,1,0.507796,0.438607,[ 5 10] ; [34 46],[6.15789474 8.84210526] ; [32.84210526 47.15789474],0
p11,1,0.572312,0.318829,[10  5] ; [59 21],[10.89473684  4.10526316] ; [58.10526316 21.89473684],0
s4,1,0.609205,0.261334,[ 3 12] ; [21 59],[ 3.78947368 11.21052632] ; [20.21052632 59.78947368],0
n4,1,0.640836,0.21765,[9 6] ; [53 27],[9.78947368 5.21052632] ; [52.21052632 27.78947368],0
d4,1,0.645763,0.211284,[10  5] ; [58 22],[10.73684211  4.26315789] ; [57.26315789 22.73684211],0
p1,1,0.676312,0.174307,[ 1 14] ; [ 8 71],[ 1.43617021 13.56382979] ; [ 7.56382979 71.43617021],0
a5,1,0.696597,0.152036,[8 7] ; [47 33],[8.68421053 6.31578947] ; [46.31578947 33.68421053],0
n3,1,0.82176,0.050752,[4 2] ; [15  6],[4.22222222 1.77777778] ; [14.77777778  6.22222222],0
p8,1,0.898029,0.016423,[6 8] ; [32 46],[5.7826087 8.2173913] ; [32.2173913 45.7826087],0
p3,1,0.931216,0.00745,[7 7] ; [41 39],[7.14893617 6.85106383] ; [40.85106383 39.14893617],0
a3,1,0.970778,0.001342,[9 6] ; [47 32],[8.93617021 6.06382979] ; [47.06382979 31.93617021],0
d3,1,0.976308,0.000882,[8 7] ; [43 37],[8.05263158 6.94736842] ; [42.94736842 37.05263158],0
