Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.036951,4.352679,[65 65] ; [15  5],[69.33333333 60.66666667] ; [10.66666667  9.33333333],0
b3,1,0.042737,4.105781,[35 46] ; [1 9],[32.04395604 48.95604396] ; [3.95604396 6.04395604],0
b2,1,0.042737,4.105781,[35 46] ; [1 9],[32.04395604 48.95604396] ; [3.95604396 6.04395604],0
p2,1,0.069435,3.296321,[102  30] ; [13  9],[98.57142857 33.42857143] ; [16.42857143  5.57142857],0
r4,1,0.123098,2.377457,[109  23] ; [21  1],[111.42857143  20.57142857] ; [18.57142857  3.42857143],0
v3,1,0.134354,2.241463,[55 69] ; [ 6 16],[51.80821918 72.19178082] ; [ 9.19178082 12.80821918],0
s3,1,0.156378,2.008908,[64 64] ; [14  7],[67.00671141 60.99328859] ; [10.99328859 10.00671141],0
n3,1,0.158844,1.985194,[24 10] ; [3 4],[22.3902439 11.6097561] ; [4.6097561 2.3902439],0
d3,1,0.190226,1.715864,[83 49] ; [17  5],[85.71428571 46.28571429] ; [14.28571429  7.71428571],0
p9,1,0.202525,1.624072,[108  22] ; [15  6],[105.89403974  24.10596026] ; [17.10596026  3.89403974],0
p11,1,0.221738,1.493089,[95 37] ; [13  9],[92.57142857 39.42857143] ; [15.42857143  6.57142857],0
s5,1,0.260531,1.265934,[33 93] ; [ 7 11],[35. 91.] ; [ 5. 13.],0
v2,1,0.272497,1.204136,[78 47] ; [11 11],[75.68027211 49.31972789] ; [13.31972789  8.68027211],0
p4,1,0.291449,1.112918,[64 68] ; [ 8 14],[61.71428571 70.28571429] ; [10.28571429 11.71428571],0
n4,1,0.301071,1.069444,[98 34] ; [14  8],[96. 36.] ; [16.  6.],0
b1,1,0.372102,0.796633,[49 83] ; [ 6 16],[47.14285714 84.85714286] ; [ 7.85714286 14.14285714],0
p1,1,0.374751,0.78785,[ 14 118] ; [ 1 21],[ 12.85714286 119.14285714] ; [ 2.14285714 19.85714286],0
u3,1,0.390116,0.738579,[27 16] ; [7 2],[28.11538462 14.88461538] ; [5.88461538 3.11538462],0
a3,1,0.415291,0.663602,[89 42] ; [13  9],[87.33333333 43.66666667] ; [14.66666667  7.33333333],0
s6,1,0.425554,0.634925,[85 47] ; [14  5],[86.54304636 45.45695364] ; [12.45695364  6.54304636],0
s7,1,0.450025,0.570589,[55 70] ; [ 7 13],[53.44827586 71.55172414] ; [ 8.55172414 11.44827586],0
p5,1,0.4674,0.528116,[ 12 118] ; [ 1 21],[ 11.11842105 118.88157895] ; [ 1.88157895 20.11842105],0
r3,1,0.472563,0.515976,[119  12] ; [21  1],[119.86928105  11.13071895] ; [20.13071895  1.86928105],0
u1,1,0.502196,0.450292,[ 17 115] ; [ 4 18],[ 18. 114.] ; [ 3. 19.],0
p8,1,0.544261,0.3677,[38 93] ; [ 5 17],[36.81699346 94.18300654] ; [ 6.18300654 15.81699346],0
v4,1,0.571777,0.319719,[121  11] ; [20  1],[121.64705882  10.35294118] ; [19.35294118  1.64705882],0
p6,1,0.583951,0.29989,[ 24 106] ; [ 3 19],[ 23.09210526 106.90789474] ; [ 3.90789474 18.09210526],0
p10,1,0.62344,0.241063,[93 38] ; [16  5],[93.94078947 37.05921053] ; [15.05921053  5.94078947],0
a2,1,0.634153,0.226471,[ 30 102] ; [ 4 18],[ 29.14285714 102.85714286] ; [ 4.85714286 17.14285714],0
s8,1,0.650332,0.205482,[47 84] ; [ 9 13],[47.94771242 83.05228758] ; [ 8.05228758 13.94771242],0
a5,1,0.655174,0.199439,[96 36] ; [17  5],[96.85714286 35.14285714] ; [16.14285714  5.85714286],0
r1,1,0.700237,0.148225,[101  31] ; [16  6],[100.28571429  31.71428571] ; [16.71428571  5.28571429],0
u2,1,0.723308,0.125346,[26 16] ; [5 4],[25.52941176 16.47058824] ; [5.47058824 3.52941176],0
n5,1,0.726712,0.122152,[89 43] ; [14  8],[88.28571429 43.71428571] ; [14.71428571  7.28571429],0
d1,1,0.741648,0.108683,[71 61] ; [11 11],[70.28571429 61.71428571] ; [11.71428571 10.28571429],0
a4,1,0.765174,0.089218,[61 70] ; [11 11],[61.64705882 69.35294118] ; [10.35294118 11.64705882],0
a7,1,0.772313,0.083724,[94 38] ; [15  7],[93.42857143 38.57142857] ; [15.57142857  6.42857143],0
n2,1,0.777268,0.080022,[26  8] ; [5 2],[25.70731707  8.29268293] ; [5.29268293 1.70731707],0
b5,1,0.781797,0.076717,[86 46] ; [15  7],[86.57142857 45.42857143] ; [14.42857143  7.57142857],0
n6,1,0.804547,0.06124,[98 33] ; [17  5],[98.46405229 32.53594771] ; [16.53594771  5.46405229],0
a6,1,0.835437,0.043153,[87 45] ; [14  8],[86.57142857 45.42857143] ; [14.42857143  7.57142857],0
