Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000182,14.007572,[17 10] ; [11 42],[ 9.45 17.55] ; [18.55 34.45],1
p3,1,0.006197,7.492143,[17 13] ; [14 39],[11.20481928 18.79518072] ; [19.79518072 33.20481928],0
p4,1,0.008182,6.993224,[19 10] ; [19 35],[13.27710843 15.72289157] ; [24.72289157 29.27710843],0
p10,1,0.012896,6.183255,[21  5] ; [28 26],[15.925 10.075] ; [33.075 20.925],0
p5,1,0.037378,4.333099,[ 6 23] ; [ 3 50],[ 3.18292683 25.81707317] ; [ 5.81707317 47.18292683],0
v4,1,0.049347,3.863498,[23  4] ; [34 19],[19.2375  7.7625] ; [37.7625 15.2375],0
a7,1,0.105306,2.623295,[18 12] ; [22 31],[14.45783133 15.54216867] ; [25.54216867 27.45783133],0
p11,1,0.107864,2.585246,[23  7] ; [32 22],[19.64285714 10.35714286] ; [35.35714286 18.64285714],0
p6,1,0.115432,2.478225,[10 19] ; [10 43],[ 7.07317073 21.92682927] ; [12.92682927 40.07317073],0
a2,1,0.162049,1.955002,[ 6 24] ; [ 5 49],[ 3.92857143 26.07142857] ; [ 7.07142857 46.92857143],0
b4,1,0.166981,1.90984,[16 14] ; [37 17],[18.92857143 11.07142857] ; [34.07142857 19.92857143],0
n2,1,0.173023,1.856556,[11  3] ; [13 10],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
d1,1,0.188616,1.728395,[10 20] ; [26 28],[12.85714286 17.14285714] ; [23.14285714 30.85714286],0
p2,1,0.206613,1.595001,[23  6] ; [35 18],[20.51219512  8.48780488] ; [37.48780488 15.51219512],0
s6,1,0.217341,1.521842,[ 9 19] ; [25 29],[11.6097561 16.3902439] ; [22.3902439 31.6097561],0
p12,1,0.240399,1.378254,[ 2 27] ; [ 1 53],[ 1.04819277 27.95180723] ; [ 1.95180723 52.04819277],0
d5,1,0.250438,1.320858,[18 12] ; [39 15],[20.35714286  9.64285714] ; [36.64285714 17.35714286],0
s3,1,0.267506,1.229492,[ 7 19] ; [21 32],[ 9.21518987 16.78481013] ; [18.78481013 34.21518987],0
n3,1,0.275313,1.190083,[7 7] ; [15  7],[8.55555556 5.44444444] ; [13.44444444  8.55555556],0
s4,1,0.292599,1.107623,[ 7 22] ; [ 8 46],[ 5.24096386 23.75903614] ; [ 9.75903614 44.24096386],0
p9,1,0.294475,1.09905,[21  8] ; [31 20],[18.85 10.15] ; [33.15 17.85],0
b2,1,0.298291,1.081818,[ 4 14] ; [12 21],[ 5.64705882 12.35294118] ; [10.35294118 22.64705882],0
b3,1,0.298291,1.081818,[ 4 14] ; [12 21],[ 5.64705882 12.35294118] ; [10.35294118 22.64705882],0
s7,1,0.337621,0.919445,[12 16] ; [16 34],[10.05128205 17.94871795] ; [17.94871795 32.05128205],0
s8,1,0.378602,0.775235,[ 9 20] ; [12 42],[ 7.3373494 21.6626506] ; [13.6626506 40.3373494],0
s5,1,0.409034,0.681606,[ 3 23] ; [10 43],[ 4.27848101 21.72151899] ; [ 8.72151899 44.27848101],0
a3,1,0.426694,0.631804,[16 14] ; [33 20],[17.71084337 12.28915663] ; [31.28915663 21.71084337],0
a4,1,0.477612,0.504312,[ 9 21] ; [20 33],[10.48192771 19.51807229] ; [18.51807229 34.48192771],0
n1,1,0.514084,0.425745,[ 4 10] ; [ 9 14],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
p1,1,0.526485,0.40117,[ 4 25] ; [ 5 49],[ 3.14457831 25.85542169] ; [ 5.85542169 48.14457831],0
s1,1,0.541193,0.373333,[ 2 28] ; [ 2 52],[ 1.42857143 28.57142857] ; [ 2.57142857 51.42857143],0
u3,1,0.549141,0.358859,[5 8] ; [ 6 15],[4.20588235 8.79411765] ; [ 6.79411765 14.20588235],0
r2,1,0.559069,0.341319,[14 12] ; [31 20],[15.19480519 10.80519481] ; [29.80519481 21.19480519],0
b5,1,0.598976,0.276543,[16 14] ; [32 22],[17.14285714 12.85714286] ; [30.85714286 23.14285714],0
d2,1,0.615856,0.251736,[11 19] ; [22 30],[12.07317073 17.92682927] ; [20.92682927 31.07317073],0
a6,1,0.648807,0.207407,[16 14] ; [26 28],[15. 15.] ; [27. 27.],0
n5,1,0.712278,0.136012,[21  8] ; [37 17],[20.26506024  8.73493976] ; [37.73493976 16.26506024],0
d4,1,0.72591,0.1229,[21  9] ; [39 14],[21.68674699  8.31325301] ; [38.31325301 14.68674699],0
u2,1,0.725944,0.122868,[5 9] ; [ 6 14],[4.52941176 9.47058824] ; [ 6.47058824 13.52941176],0
n4,1,0.758166,0.094796,[19 11] ; [36 18],[19.64285714 10.35714286] ; [35.35714286 18.64285714],0
b1,1,0.793762,0.068345,[13 17] ; [25 29],[13.57142857 16.42857143] ; [24.42857143 29.57142857],0
v3,1,0.797648,0.065737,[ 8 20] ; [14 40],[ 7.51219512 20.48780488] ; [14.48780488 39.51219512],0
r3,1,0.823479,0.049762,[19  9] ; [34 18],[18.55  9.45] ; [34.45 17.55],0
a1,1,0.83661,0.042532,[ 2 28] ; [ 3 51],[ 1.78571429 28.21428571] ; [ 3.21428571 50.78571429],0
d3,1,0.844554,0.038444,[16 14] ; [30 24],[16.42857143 13.57142857] ; [29.57142857 24.42857143],0
r1,1,0.844785,0.038329,[ 8 21] ; [16 38],[ 8.38554217 20.61445783] ; [15.61445783 38.38554217],0
v2,1,0.878475,0.023379,[12 17] ; [22 29],[12.325 16.675] ; [21.675 29.325],0
v1,1,0.914222,0.011602,[ 9 19] ; [17 34],[ 9.21518987 18.78481013] ; [16.78481013 34.21518987],0
a5,1,0.947589,0.004321,[17 13] ; [31 23],[17.14285714 12.85714286] ; [30.85714286 23.14285714],0
u1,1,0.961545,0.002325,[ 4 26] ; [ 7 47],[ 3.92857143 26.07142857] ; [ 7.07142857 46.92857143],0
s2,1,1.0,0.0,[ 9 18] ; [18 36],[ 9. 18.] ; [18. 36.],0
