Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.003672,8.439051,[ 8 34] ; [6 3],[11.52941176 30.47058824] ; [2.47058824 6.52941176],0
b3,1,0.003672,8.439051,[ 8 34] ; [6 3],[11.52941176 30.47058824] ; [2.47058824 6.52941176],0
a1,1,0.005782,7.616876,[ 3 68] ; [ 4 12],[ 5.71264368 65.28735632] ; [ 1.28735632 14.71264368],0
p12,1,0.010829,6.493223,[ 4 67] ; [ 4 11],[ 6.60465116 64.39534884] ; [ 1.39534884 13.60465116],0
s5,1,0.014272,6.004127,[13 55] ; [7 7],[16.58536585 51.41463415] ; [ 3.41463415 10.58536585],0
u2,1,0.086931,2.930301,[18 21] ; [7 2],[20.3125 18.6875] ; [4.6875 4.3125],0
s4,1,0.094781,2.791244,[18 53] ; [ 1 15],[15.50574713 55.49425287] ; [ 3.49425287 12.50574713],0
n4,1,0.142756,2.147994,[44 27] ; [13  3],[46.51724138 24.48275862] ; [10.48275862  5.51724138],0
p9,1,0.165255,1.925467,[56 15] ; [15  1],[57.94252874 13.05747126] ; [13.05747126  2.94252874],0
p10,1,0.184417,1.761668,[55 15] ; [14  1],[56.82352941 13.17647059] ; [12.17647059  2.82352941],0
a5,1,0.190733,1.711949,[36 35] ; [11  5],[38.35632184 32.64367816] ; [8.64367816 7.35632184],0
p3,1,0.190733,1.711949,[36 35] ; [11  5],[38.35632184 32.64367816] ; [8.64367816 7.35632184],0
v1,1,0.209677,1.573657,[30 41] ; [9 6],[32.19767442 38.80232558] ; [6.80232558 8.19767442],0
s6,1,0.215047,1.537121,[39 28] ; [12  4],[41.1686747 25.8313253] ; [9.8313253 6.1686747],0
n5,1,0.267647,1.228768,[47 23] ; [13  3],[48.8372093 21.1627907] ; [11.1627907  4.8372093],0
b5,1,0.270744,1.212975,[46 25] ; [8 8],[44.06896552 26.93103448] ; [9.93103448 6.06896552],0
p4,1,0.279329,1.170351,[43 28] ; [12  4],[44.88505747 26.11494253] ; [10.11494253  5.88505747],0
d4,1,0.281442,1.160115,[48 23] ; [13  3],[49.7816092 21.2183908] ; [11.2183908  4.7816092],0
s7,1,0.281805,1.158362,[26 42] ; [8 7],[27.85542169 40.14457831] ; [6.14457831 8.85542169],0
n6,1,0.314672,1.010964,[59 12] ; [14  1],[60.26744186 10.73255814] ; [12.73255814  2.26744186],0
r4,1,0.325603,0.966306,[44 27] ; [12  4],[45.70114943 25.29885057] ; [10.29885057  5.70114943],0
s1,1,0.327508,0.958725,[ 4 67] ; [ 2 14],[ 4.89655172 66.10344828] ; [ 1.10344828 14.89655172],0
d2,1,0.440238,0.595663,[20 51] ; [ 3 13],[18.77011494 52.22988506] ; [ 4.22988506 11.77011494],0
u3,1,0.465519,0.532592,[16 22] ; [5 4],[16.9787234 21.0212766] ; [4.0212766 4.9787234],0
a7,1,0.477338,0.504939,[42 29] ; [11  5],[43.25287356 27.74712644] ; [9.74712644 6.25287356],0
s3,1,0.484546,0.488614,[33 37] ; [ 6 10],[31.74418605 38.25581395] ; [7.25581395 8.74418605],0
s2,1,0.51414,0.425633,[33 38] ; [ 6 10],[31.82758621 39.17241379] ; [7.17241379 8.82758621],0
p6,1,0.523372,0.407244,[31 39] ; [8 7],[32.11764706 37.88235294] ; [6.88235294 8.11764706],0
v2,1,0.532129,0.390324,[29 41] ; [8 8],[30.11627907 39.88372093] ; [6.88372093 9.11627907],0
d3,1,0.572503,0.318513,[41 30] ; [8 8],[39.98850575 31.01149425] ; [9.01149425 6.98850575],0
