Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.6e-05,18.594572,[35  8] ; [19 32],[24.70212766 18.29787234] ; [29.29787234 21.70212766],1
a4,1,6.2e-05,16.037851,[22 20] ; [ 7 44],[13.09677419 28.90322581] ; [15.90322581 35.09677419],1
a3,1,0.000399,12.537685,[29 13] ; [16 34],[20.54347826 21.45652174] ; [24.45652174 25.54347826],1
a6,1,0.002318,9.278741,[27 16] ; [16 35],[19.67021277 23.32978723] ; [23.32978723 27.67021277],0
d2,1,0.004868,7.927785,[23 19] ; [13 37],[16.43478261 25.56521739] ; [19.56521739 30.43478261],0
d1,1,0.005443,7.725915,[21 22] ; [11 40],[14.63829787 28.36170213] ; [17.36170213 33.63829787],0
p4,1,0.009106,6.801934,[18 24] ; [ 9 41],[12.32608696 29.67391304] ; [14.67391304 35.32608696],0
d3,1,0.009949,6.644093,[27 16] ; [18 32],[20.80645161 22.19354839] ; [24.19354839 25.80645161],0
u1,1,0.027353,4.868368,[ 6 37] ; [ 1 50],[ 3.20212766 39.79787234] ; [ 3.79787234 47.20212766],0
a7,1,0.033049,4.543247,[27 15] ; [21 29],[21.91304348 20.08695652] ; [26.08695652 23.91304348],0
n4,1,0.064755,3.411212,[27 15] ; [23 28],[22.58064516 19.41935484] ; [27.41935484 23.58064516],0
a1,1,0.067085,3.352931,[ 9 34] ; [ 4 47],[ 5.94680851 37.05319149] ; [ 7.05319149 43.94680851],0
b4,1,0.076378,3.14033,[20 23] ; [33 18],[24.24468085 18.75531915] ; [28.75531915 22.24468085],0
s6,1,0.080576,3.05325,[16 26] ; [11 40],[12.19354839 29.80645161] ; [14.80645161 36.19354839],0
d4,1,0.080918,3.046362,[30 13] ; [26 24],[25.89247312 17.10752688] ; [30.10752688 19.89247312],0
a8,1,0.121876,2.393043,[ 4 36] ; [ 1 45],[ 2.3255814 37.6744186] ; [ 2.6744186 43.3255814],0
p2,1,0.143819,2.136611,[17 23] ; [29 21],[20.44444444 19.55555556] ; [25.55555556 24.44444444],0
p3,1,0.165081,1.927059,[12 28] ; [ 9 42],[ 9.23076923 30.76923077] ; [11.76923077 39.23076923],0
v2,1,0.199295,1.647536,[16 24] ; [13 35],[13.18181818 26.81818182] ; [15.81818182 32.18181818],0
s4,1,0.204214,1.611978,[ 3 39] ; [ 8 43],[ 4.96774194 37.03225806] ; [ 6.03225806 44.96774194],0
v1,1,0.213575,1.547025,[16 26] ; [13 37],[13.23913043 28.76086957] ; [15.76086957 34.23913043],0
p5,1,0.270948,1.211941,[ 4 37] ; [ 2 48],[ 2.7032967 38.2967033] ; [ 3.2967033 46.7032967],0
r1,1,0.28027,1.165778,[12 29] ; [10 41],[ 9.80434783 31.19565217] ; [12.19565217 38.80434783],0
b1,1,0.300586,1.071591,[24 19] ; [23 28],[21.5 21.5] ; [25.5 25.5],0
n5,1,0.312307,1.020896,[26 15] ; [27 24],[23.61956522 17.38043478] ; [29.38043478 21.61956522],0
u2,1,0.316783,1.002181,[ 4 10] ; [15 19],[5.54166667 8.45833333] ; [13.45833333 20.54166667],0
n2,1,0.345637,0.889412,[ 7 10] ; [14 11],[8.5 8.5] ; [12.5 12.5],0
v4,1,0.364562,0.822115,[21 19] ; [31 19],[23.11111111 16.88888889] ; [28.88888889 21.11111111],0
p9,1,0.381869,0.764675,[24 18] ; [24 26],[21.91304348 20.08695652] ; [26.08695652 23.91304348],0
n3,1,0.408187,0.684076,[8 9] ; [15 10],[9.30952381 7.69047619] ; [13.69047619 11.30952381],0
s8,1,0.510817,0.432393,[ 3 40] ; [ 2 49],[ 2.28723404 40.71276596] ; [ 2.71276596 48.28723404],0
r3,1,0.539891,0.375741,[19 21] ; [27 23],[20.44444444 19.55555556] ; [25.55555556 24.44444444],0
p1,1,0.556114,0.346478,[ 6 37] ; [ 5 45],[ 5.08602151 37.91397849] ; [ 5.91397849 44.08602151],0
n6,1,0.589115,0.291728,[21 20] ; [29 22],[22.2826087 18.7173913] ; [27.7173913 23.2826087],0
s3,1,0.61465,0.253458,[ 9 32] ; [13 36],[10.02222222 30.97777778] ; [11.97777778 37.02222222],0
n1,1,0.615735,0.251908,[ 6 11] ; [ 7 18],[ 5.26190476 11.73809524] ; [ 7.73809524 17.26190476],0
s2,1,0.645978,0.211008,[ 9 33] ; [ 9 42],[ 8.12903226 33.87096774] ; [ 9.87096774 41.12903226],0
p6,1,0.70766,0.140625,[ 5 35] ; [ 5 45],[ 4.44444444 35.55555556] ; [ 5.55555556 44.44444444],0
p10,1,0.713105,0.135195,[20 21] ; [22 27],[19.13333333 21.86666667] ; [22.86666667 26.13333333],0
