Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,224.95087,[  6 146] ; [494 211],[88.68144691 63.31855309] ; [411.31855309 293.68144691],1
d3,1,0.0,140.604559,[ 43 107] ; [549 156],[103.85964912  46.14035088] ; [488.14035088 216.85964912],1
d5,1,0.0,125.00836,[73 78] ; [619  86],[122.07009346  28.92990654] ; [569.92990654 135.07009346],1
d2,1,0.0,42.806561,[ 36 116] ; [372 331],[72.53333333 79.46666667] ; [335.46666667 367.53333333],1
a3,1,0.0,37.844141,[76 76] ; [527 175],[107.32552693  44.67447307] ; [495.67447307 206.32552693],1
a5,1,0.0,36.940425,[80 72] ; [542 163],[110.31971995  41.68028005] ; [511.68028005 193.31971995],1
a4,1,0.0,31.188096,[ 36 115] ; [343 361],[66.93450292 84.06549708] ; [312.06549708 391.93450292],1
u1,1,0.0,28.59592,[  4 148] ; [147 558],[ 26.78179697 125.21820303] ; [124.21820303 580.78179697],1
a2,1,2e-06,22.853043,[ 13 139] ; [188 517],[ 35.64994166 116.35005834] ; [165.35005834 539.64994166],1
s2,1,8.3e-05,15.490586,[54 94] ; [380 320],[75.74528302 72.25471698] ; [358.25471698 341.74528302],1
r1,1,0.001402,10.202932,[108  42] ; [585 118],[121.86400938  28.13599062] ; [571.13599062 131.86400938],0
a7,1,0.00141,10.192412,[94 57] ; [528 176],[109.8502924  41.1497076] ; [512.1497076 191.8502924],0
v2,1,0.001575,9.989209,[64 79] ; [400 276],[81.01587302 61.98412698] ; [382.98412698 293.01587302],0
b2,1,0.003351,8.605535,[21 68] ; [169 252],[33.15686275 55.84313725] ; [156.84313725 264.15686275],0
b3,1,0.003351,8.605535,[21 68] ; [169 252],[33.15686275 55.84313725] ; [156.84313725 264.15686275],0
s5,1,0.004218,8.187471,[ 34 112] ; [240 434],[48.78536585 97.21463415] ; [225.21463415 448.78536585],0
u2,1,0.004768,7.965557,[33 43] ; [109  65],[43.168 32.832] ; [98.832 75.168],0
p2,1,0.009324,6.759724,[115  36] ; [594 106],[125.80376028  25.19623972] ; [583.19623972 116.80376028],0
v1,1,0.010158,6.607022,[66 82] ; [385 300],[80.12965186 67.87034814] ; [370.87034814 314.12965186],0
s8,1,0.012576,6.227825,[53 98] ; [324 377],[66.8157277 84.1842723] ; [310.1842723 390.8157277],0
r2,1,0.013265,6.133458,[140  12] ; [675  24],[145.56991774   6.43008226] ; [669.43008226  29.56991774],0
s6,1,0.01443,5.98473,[87 61] ; [478 213],[99.66626937 48.33373063] ; [465.33373063 225.66626937],0
p1,1,0.016318,5.76826,[ 20 131] ; [ 51 649],[ 12.59811986 138.40188014] ; [ 58.40188014 641.59811986],0
s7,1,0.017042,5.692026,[56 86] ; [341 335],[68.91687042 73.08312958] ; [328.08312958 347.91687042],0
p9,1,0.018714,5.528012,[116  33] ; [594 100],[125.49228944  23.50771056] ; [584.50771056 109.49228944],0
n3,1,0.020865,5.338016,[32  4] ; [110  47],[26.48704663  9.51295337] ; [115.51295337  41.48704663],0
p10,1,0.025224,5.008469,[109  38] ; [571 124],[118.71733967  28.28266033] ; [561.28266033 133.71733967],0
a1,1,0.030787,4.664805,[  2 150] ; [ 38 667],[  7.09451575 144.90548425] ; [ 32.90548425 672.09451575],0
n4,1,0.04468,4.030673,[105  46] ; [543 160],[114.57611241  36.42388759] ; [533.42388759 169.57611241],0
p4,1,0.045738,3.991204,[79 72] ; [426 271],[89.92334906 61.07665094] ; [415.07665094 281.92334906],0
u3,1,0.046568,3.960943,[38 38] ; [111  64],[45.11553785 30.88446215] ; [103.88446215  71.11553785],0
a6,1,0.052925,3.746284,[94 58] ; [492 212],[104.05607477  47.94392523] ; [481.94392523 222.05607477],0
v3,1,0.054887,3.68552,[ 49 100] ; [279 395],[59.38274605 89.61725395] ; [268.61725395 405.38274605],0
p6,1,0.058893,3.568292,[ 44 105] ; [260 429],[54.05250597 94.94749403] ; [249.94749403 439.05250597],0
b4,1,0.058924,3.567424,[77 75] ; [416 289],[87.43990665 64.56009335] ; [405.56009335 299.43990665],0
n2,1,0.078493,3.095825,[32  5] ; [114  43],[27.84536082  9.15463918] ; [118.15463918  38.84536082],0
s3,1,0.122976,2.379002,[75 74] ; [399 298],[83.4822695 65.5177305] ; [390.5177305 306.4822695],0
u4,1,0.150034,2.071907,[  1 151] ; [ 18 687],[  3.36989498 148.63010502] ; [ 15.63010502 689.36989498],0
p8,1,0.152001,2.052058,[69 79] ; [368 325],[76.90368609 71.09631391] ; [360.09631391 332.90368609],0
p11,1,0.215499,1.534097,[115  37] ; [565 140],[120.60676779  31.39323221] ; [559.39323221 145.60676779],0
p3,1,0.225548,1.46872,[68 82] ; [356 345],[74.73560517 75.26439483] ; [349.26439483 351.73560517],0
s1,1,0.237407,1.395923,[  7 140] ; [ 20 676],[  4.70818505 142.29181495] ; [ 22.29181495 673.70818505],0
n6,1,0.310819,1.027192,[124  28] ; [595 106],[128.12192263  23.87807737] ; [590.87807737 110.12192263],0
p7,1,0.356806,0.849102,[90 58] ; [444 241],[94.87635054 53.12364946] ; [439.12364946 245.87635054],0
p12,1,0.393436,0.728296,[  9 141] ; [ 56 640],[ 11.5248227 138.4751773] ; [ 53.4751773 642.5248227],0
n1,1,0.482694,0.49277,[11 25] ; [57 98],[12.81675393 23.18324607] ; [55.18324607 99.81675393],0
r4,1,0.55255,0.35277,[141  11] ; [663  42],[142.59976663   9.40023337] ; [661.40023337  43.59976663],0
b5,1,0.554448,0.349408,[89 63] ; [431 274],[92.22870478 59.77129522] ; [427.77129522 277.22870478],0
p5,1,0.676131,0.174514,[ 15 135] ; [ 78 620],[ 16.4504717 133.5495283] ; [ 76.5495283 621.4504717],0
s4,1,0.698112,0.150443,[ 27 123] ; [116 579],[ 25.38461538 124.61538462] ; [117.61538462 577.38461538],0
a8,1,0.813103,0.055897,[ 18 121] ; [ 88 554],[ 18.86555698 120.13444302] ; [ 87.13444302 554.86555698],0
b1,1,0.818116,0.052886,[58 94] ; [262 443],[56.75612602 95.24387398] ; [263.24387398 441.75612602],0
n5,1,0.89124,0.018696,[110  41] ; [513 186],[110.67411765  40.32588235] ; [512.32588235 186.67411765],0
