Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1e-06,24.098655,[28  9] ; [11 38],[16.77906977 20.22093023] ; [22.22093023 26.77906977],1
v3,1,0.000218,13.665541,[20 17] ; [ 8 41],[12.04651163 24.95348837] ; [15.95348837 33.04651163],1
d5,1,0.014149,6.019459,[30  7] ; [28 22],[24.66666667 12.33333333] ; [33.33333333 16.66666667],0
d1,1,0.015337,5.877336,[19 18] ; [13 37],[13.6091954 23.3908046] ; [18.3908046 31.6091954],0
d4,1,0.016578,5.7405,[31  6] ; [30 20],[25.94252874 11.05747126] ; [35.05747126 14.94252874],0
a3,1,0.01824,5.572929,[22 15] ; [17 33],[16.5862069 20.4137931] ; [22.4137931 27.5862069],0
n4,1,0.018908,5.509991,[29  8] ; [27 23],[23.81609195 13.18390805] ; [32.18390805 17.81609195],0
d3,1,0.024041,5.091673,[26 11] ; [23 27],[20.83908046 16.16091954] ; [28.16091954 21.83908046],0
n5,1,0.030283,4.693166,[30  7] ; [29 20],[25.38372093 11.61627907] ; [33.61627907 15.38372093],0
b4,1,0.03778,4.314895,[26 11] ; [24 26],[21.26436782 15.73563218] ; [28.73563218 21.26436782],0
s5,1,0.038267,4.293111,[12 21] ; [ 8 41],[ 8.04878049 24.95121951] ; [11.95121951 37.04878049],0
s6,1,0.05898,3.565845,[24  9] ; [26 24],[19.87951807 13.12048193] ; [30.12048193 19.87951807],0
b5,1,0.076344,3.141073,[19 18] ; [35 15],[22.96551724 14.03448276] ; [31.03448276 18.96551724],0
n2,1,0.089192,2.888889,[11  2] ; [7 6],[9. 4.] ; [9. 4.],0
p7,1,0.099029,2.721104,[31  6] ; [32 15],[27.75  9.25] ; [35.25 11.75],0
p4,1,0.104567,2.634475,[27 10] ; [28 22],[23.3908046 13.6091954] ; [31.6091954 18.3908046],0
p12,1,0.113253,2.508232,[ 5 32] ; [ 2 47],[ 3.01162791 33.98837209] ; [ 3.98837209 45.01162791],0
p9,1,0.116436,2.464614,[33  4] ; [38 12],[30.1954023  6.8045977] ; [40.8045977  9.1954023],0
p6,1,0.137211,2.208967,[19 16] ; [19 31],[15.64705882 19.35294118] ; [22.35294118 27.64705882],0
s3,1,0.158799,1.985627,[20 17] ; [19 30],[16.77906977 20.22093023] ; [22.22093023 26.77906977],0
s7,1,0.161268,1.962297,[17 18] ; [16 32],[13.91566265 21.08433735] ; [19.08433735 28.91566265],0
p11,1,0.171957,1.865797,[33  4] ; [39 11],[30.62068966  6.37931034] ; [41.37931034  8.62068966],0
p3,1,0.190068,1.717087,[23 14] ; [24 26],[19.98850575 17.01149425] ; [27.01149425 22.98850575],0
a4,1,0.198608,1.652579,[11 26] ; [ 9 41],[ 8.50574713 28.49425287] ; [11.49425287 38.50574713],0
a2,1,0.215182,1.536216,[ 4 33] ; [ 2 48],[ 2.55172414 34.44827586] ; [ 3.44827586 46.55172414],0
r4,1,0.240638,1.37685,[26 11] ; [29 21],[23.3908046 13.6091954] ; [31.6091954 18.3908046],0
r3,1,0.273506,1.199077,[34  3] ; [42  8],[32.32183908  4.67816092] ; [43.67816092  6.32183908],0
s8,1,0.282295,1.15601,[16 21] ; [16 34],[13.6091954 23.3908046] ; [18.3908046 31.6091954],0
b2,1,0.287624,1.130711,[ 8 15] ; [ 6 22],[ 6.31372549 16.68627451] ; [ 7.68627451 20.31372549],0
b3,1,0.287624,1.130711,[ 8 15] ; [ 6 22],[ 6.31372549 16.68627451] ; [ 7.68627451 20.31372549],0
s2,1,0.29255,1.107848,[19 18] ; [20 30],[16.5862069 20.4137931] ; [22.4137931 27.5862069],0
n6,1,0.332752,0.938157,[33  4] ; [40  9],[31.40697674  5.59302326] ; [41.59302326  7.40697674],0
s4,1,0.375572,0.785147,[ 6 31] ; [12 38],[ 7.65517241 29.34482759] ; [10.34482759 39.65517241],0
n3,1,0.395416,0.722222,[10  3] ; [8 5],[9. 4.] ; [9. 4.],0
a1,1,0.414737,0.665181,[ 4 33] ; [ 3 47],[ 2.97701149 34.02298851] ; [ 4.02298851 45.97701149],0
a8,1,0.41865,0.654101,[ 4 31] ; [ 3 44],[ 2.98780488 32.01219512] ; [ 4.01219512 42.98780488],0
v4,1,0.441103,0.593411,[34  2] ; [44  5],[33.03529412  2.96470588] ; [44.96470588  4.03529412],0
p5,1,0.532129,0.390324,[ 8 29] ; [ 8 41],[ 6.88372093 30.11627907] ; [ 9.11627907 39.88372093],0
p1,1,0.534926,0.385026,[ 3 34] ; [ 6 43],[ 3.87209302 33.12790698] ; [ 5.12790698 43.87209302],0
p10,1,0.630327,0.231618,[30  6] ; [38 10],[29.14285714  6.85714286] ; [38.85714286  9.14285714],0
a7,1,0.643837,0.213759,[24 13] ; [30 20],[22.96551724 14.03448276] ; [31.03448276 18.96551724],0
a5,1,0.659845,0.193711,[21 16] ; [26 24],[19.98850575 17.01149425] ; [27.01149425 22.98850575],0
b1,1,0.673391,0.177661,[11 26] ; [17 33],[11.90804598 25.09195402] ; [16.09195402 33.90804598],0
u3,1,0.696161,0.152496,[7 8] ; [13 19],[6.38297872 8.61702128] ; [13.61702128 18.38297872],0
r2,1,0.707114,0.141176,[29  6] ; [39 10],[28.33333333  6.66666667] ; [39.66666667  9.33333333],0
u1,1,0.74302,0.10749,[ 1 36] ; [ 2 48],[ 1.27586207 35.72413793] ; [ 1.72413793 48.27586207],0
p2,1,0.753771,0.098389,[30  7] ; [41  8],[30.54651163  6.45348837] ; [40.45348837  8.54651163],0
u2,1,0.755497,0.09697,[7 8] ; [17 16],[7.5 7.5] ; [16.5 16.5],0
a6,1,0.806704,0.059868,[19 18] ; [27 23],[19.56321839 17.43678161] ; [26.43678161 23.56321839],0
s1,1,0.90622,0.013879,[ 2 35] ; [ 3 47],[ 2.12643678 34.87356322] ; [ 2.87356322 47.12643678],0
d2,1,0.914478,0.011533,[10 27] ; [13 37],[ 9.7816092 27.2183908] ; [13.2183908 36.7816092],0
n1,1,1.0,0.0,[4 9] ; [4 9],[4. 9.] ; [4. 9.],0
