Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.4e-05,18.850044,[ 6 10] ; [70 11],[12.53608247  3.46391753] ; [63.46391753 17.53608247],1
d5,1,9.6e-05,15.204982,[9 7] ; [75  6],[13.8556701  2.1443299] ; [70.1443299 10.8556701],1
a3,1,0.005517,7.70162,[7 9] ; [63 18],[11.54639175  4.45360825] ; [58.45360825 22.54639175],0
p6,1,0.008001,7.033257,[ 5 11] ; [54 27],[9.73195876 6.26804124] ; [49.26804124 31.73195876],0
a4,1,0.025491,4.990221,[ 4 12] ; [45 36],[8.08247423 7.91752577] ; [40.91752577 40.08247423],0
d2,1,0.031417,4.630021,[ 5 11] ; [49 32],[8.90721649 7.09278351] ; [45.09278351 35.90721649],0
a5,1,0.039174,4.253319,[9 7] ; [65 16],[12.20618557  3.79381443] ; [61.79381443 19.20618557],0
a2,1,0.042232,4.125878,[ 1 15] ; [25 56],[ 4.28865979 11.71134021] ; [21.71134021 59.28865979],0
s2,1,0.052543,3.758388,[7 7] ; [61 20],[10.02105263  3.97894737] ; [57.97894737 23.02105263],0
p11,1,0.053838,3.71772,[9 7] ; [64 17],[12.04123711  3.95876289] ; [60.95876289 20.04123711],0
r4,1,0.059335,3.555882,[12  4] ; [74  7],[14.18556701  1.81443299] ; [71.81443299  9.18556701],0
v2,1,0.081169,3.041334,[ 4 12] ; [39 41],[7.16666667 8.83333333] ; [35.83333333 44.16666667],0
p2,1,0.093161,2.818894,[12  4] ; [73  8],[14.02061856  1.97938144] ; [70.97938144 10.02061856],0
u2,1,0.100348,2.7,[2 7] ; [10  8],[4. 5.] ; [ 8. 10.],0
s7,1,0.114642,2.489033,[7 8] ; [53 25],[9.67741935 5.32258065] ; [50.32258065 27.67741935],0
s6,1,0.121965,2.391906,[10  3] ; [73  7],[11.60215054  1.39784946] ; [71.39784946  8.60215054],0
v4,1,0.145905,2.114553,[14  2] ; [78  3],[15.17525773  0.82474227] ; [76.82474227  4.17525773],0
s3,1,0.179905,1.79841,[9 6] ; [62 19],[11.09375  3.90625] ; [59.90625 21.09375],0
b5,1,0.181886,1.782148,[7 9] ; [50 31],[9.40206186 6.59793814] ; [47.59793814 33.40206186],0
s5,1,0.233886,1.417072,[6 8] ; [45 30],[8.02247191 5.97752809] ; [42.97752809 32.02247191],0
p9,1,0.248297,1.332862,[12  4] ; [70 11],[13.5257732  2.4742268] ; [68.4742268 12.5257732],0
s8,1,0.293568,1.103184,[7 9] ; [47 34],[8.90721649 7.09278351] ; [45.09278351 35.90721649],0
a6,1,0.316455,1.003544,[9 7] ; [56 25],[10.72164948  5.27835052] ; [54.27835052 26.72164948],0
v3,1,0.333096,0.936822,[ 3 13] ; [24 54],[ 4.59574468 11.40425532] ; [22.40425532 55.59574468],0
p3,1,0.345201,0.89102,[10  6] ; [60 21],[11.54639175  4.45360825] ; [58.45360825 22.54639175],0
r2,1,0.380073,0.770465,[14  2] ; [75  5],[14.83333333  1.16666667] ; [74.16666667  5.83333333],0
p1,1,0.396413,0.719179,[ 3 13] ; [ 9 72],[ 1.97938144 14.02061856] ; [10.02061856 70.97938144],0
r1,1,0.468149,0.526341,[12  4] ; [67 14],[13.03092784  2.96907216] ; [65.96907216 15.03092784],0
b4,1,0.484629,0.488428,[9 7] ; [53 28],[10.22680412  5.77319588] ; [51.77319588 29.22680412],0
u3,1,0.573025,0.317647,[5 4] ; [12  6],[5.66666667 3.33333333] ; [11.33333333  6.66666667],0
b1,1,0.672658,0.178508,[ 6 10] ; [35 46],[6.7628866 9.2371134] ; [34.2371134 46.7628866],0
n3,1,0.677856,0.172549,[5 1] ; [12  4],[4.63636364 1.36363636] ; [12.36363636  3.63636364],0
p8,1,0.698535,0.15,[10  6] ; [54 26],[10.66666667  5.33333333] ; [53.33333333 26.66666667],0
a7,1,0.708814,0.139464,[12  4] ; [57 24],[11.3814433  4.6185567] ; [57.6185567 23.3814433],0
n5,1,0.721767,0.126806,[12  4] ; [64 17],[12.53608247  3.46391753] ; [63.46391753 17.53608247],0
n4,1,0.738738,0.111239,[11  5] ; [59 22],[11.54639175  4.45360825] ; [58.45360825 22.54639175],0
p7,1,0.74047,0.109714,[12  4] ; [63 17],[12.5  3.5] ; [62.5 17.5],0
p10,1,0.790255,0.070745,[13  3] ; [68 13],[13.36082474  2.63917526] ; [67.63917526 13.36082474],0
v1,1,0.855008,0.033391,[8 8] ; [42 38],[8.33333333 7.66666667] ; [41.66666667 38.33333333],0
n1,1,0.856417,0.032738,[2 4] ; [ 6 10],[2.18181818 3.81818182] ; [ 5.81818182 10.18181818],0
p12,1,0.870129,0.026731,[ 1 15] ; [ 6 75],[ 1.15463918 14.84536082] ; [ 5.84536082 75.15463918],0
p5,1,0.907728,0.013434,[ 2 14] ; [11 70],[ 2.1443299 13.8556701] ; [10.8556701 70.1443299],0
s1,1,0.990658,0.000137,[ 1 15] ; [ 5 76],[ 0.98969072 15.01030928] ; [ 5.01030928 75.98969072],0
n6,1,1.0,0.0,[14  2] ; [70 10],[14.  2.] ; [70. 10.],0
r3,1,1.0,0.0,[15  1] ; [75  5],[15.  1.] ; [75.  5.],0
