Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.325495,[29 53] ; [44 14],[42.75714286 39.24285714] ; [30.24285714 27.75714286],1
a8,1,9.6e-05,15.214923,[ 1 76] ; [12 43],[ 7.58333333 69.41666667] ; [ 5.41666667 49.58333333],1
d4,1,0.003266,8.652806,[67 15] ; [33 23],[59.42028986 22.57971014] ; [40.57971014 15.42028986],0
b4,1,0.019903,5.420397,[53 29] ; [26 32],[46.27142857 35.72857143] ; [32.72857143 25.27142857],0
r1,1,0.024183,5.081434,[62 19] ; [34 24],[55.94244604 25.05755396] ; [40.05755396 17.94244604],0
n1,1,0.039224,4.251142,[ 7 20] ; [13 11],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
d5,1,0.045251,4.009258,[62 20] ; [34 23],[56.63309353 25.36690647] ; [39.36690647 17.63309353],0
r3,1,0.052639,3.755334,[68 14] ; [40 18],[63.25714286 18.74285714] ; [44.74285714 13.25714286],0
u3,1,0.055097,3.679141,[23  9] ; [ 8 10],[19.84 12.16] ; [11.16  6.84],0
d2,1,0.08577,2.952031,[27 55] ; [27 30],[31.85611511 50.14388489] ; [22.14388489 34.85611511],0
r4,1,0.09991,2.706973,[59 23] ; [34 24],[54.47142857 27.52857143] ; [38.52857143 19.47142857],0
d3,1,0.10482,2.630627,[53 29] ; [29 28],[48.37410072 33.62589928] ; [33.62589928 23.37410072],0
p3,1,0.111607,2.531315,[27 55] ; [12 46],[22.84285714 59.15714286] ; [16.15714286 41.84285714],0
a1,1,0.119309,2.426364,[ 4 78] ; [ 7 51],[ 6.44285714 75.55714286] ; [ 4.55714286 53.44285714],0
a2,1,0.173698,1.850735,[10 72] ; [12 46],[12.88571429 69.11428571] ; [ 9.11428571 48.88571429],0
u2,1,0.18982,1.719015,[22 10] ; [9 9],[19.84 12.16] ; [11.16  6.84],0
a3,1,0.208045,1.584981,[49 33] ; [40 17],[52.50359712 29.49640288] ; [36.49640288 20.50359712],0
p7,1,0.212275,1.55584,[29 52] ; [26 30],[32.51824818 48.48175182] ; [22.48175182 33.51824818],0
n2,1,0.218555,1.513833,[15 12] ; [18  7],[17.13461538  9.86538462] ; [15.86538462  9.13461538],0
v3,1,0.227817,1.454438,[23 53] ; [11 42],[20.03100775 55.96899225] ; [13.96899225 39.03100775],0
d1,1,0.231599,1.431012,[38 44] ; [21 37],[34.55714286 47.44285714] ; [24.44285714 33.55714286],0
p2,1,0.25882,1.275057,[53 29] ; [32 26],[49.78571429 32.21428571] ; [35.21428571 22.78571429],0
a6,1,0.297163,1.086884,[49 33] ; [39 18],[51.91366906 30.08633094] ; [36.08633094 20.91366906],0
b1,1,0.30328,1.059714,[38 44] ; [32 26],[41. 41.] ; [29. 29.],0
s4,1,0.30328,1.059714,[10 72] ; [ 4 54],[ 8.2 73.8] ; [ 5.8 52.2],0
b5,1,0.317251,1.000246,[48 34] ; [29 29],[45.1 36.9] ; [31.9 26.1],0
p8,1,0.336583,0.923404,[26 55] ; [14 43],[23.47826087 57.52173913] ; [16.52173913 40.47826087],0
v4,1,0.361254,0.833528,[66 15] ; [42 14],[63.8540146 17.1459854] ; [44.1459854 11.8540146],0
p4,1,0.369238,0.806227,[30 52] ; [17 41],[27.52857143 54.47142857] ; [19.47142857 38.52857143],0
a4,1,0.413106,0.669844,[27 55] ; [23 35],[29.28571429 52.71428571] ; [20.71428571 37.28571429],0
s3,1,0.421031,0.647435,[37 44] ; [30 27],[39.32608696 41.67391304] ; [27.67391304 29.32608696],0
n3,1,0.422536,0.643251,[18  8] ; [14 10],[16.64  9.36] ; [15.36  8.64],0
p1,1,0.435022,0.609379,[ 7 74] ; [ 3 55],[ 5.82733813 75.17266187] ; [ 4.17266187 53.82733813],0
p9,1,0.544223,0.367769,[47 34] ; [36 21],[48.7173913 32.2826087] ; [34.2826087 22.7173913],0
s1,1,0.628389,0.234252,[ 6 76] ; [ 3 54],[ 5.30935252 76.69064748] ; [ 3.69064748 53.30935252],0
s7,1,0.664383,0.188243,[20 53] ; [17 38],[21.1015625 51.8984375] ; [15.8984375 39.1015625],0
p11,1,0.669476,0.182216,[44 38] ; [29 29],[42.75714286 39.24285714] ; [30.24285714 27.75714286],0
p12,1,0.757702,0.095172,[ 2 78] ; [ 1 57],[ 1.73913043 78.26086957] ; [ 1.26086957 56.73913043],0
s5,1,0.771189,0.084576,[12 66] ; [10 48],[12.61764706 65.38235294] ; [ 9.38235294 48.61764706],0
s8,1,0.842957,0.039249,[21 61] ; [14 44],[20.5 61.5] ; [14.5 43.5],0
u1,1,0.849406,0.036053,[ 5 77] ; [ 4 54],[ 5.27142857 76.72857143] ; [ 3.72857143 54.27142857],0
s6,1,0.849686,0.035917,[35 46] ; [26 32],[35.54676259 45.45323741] ; [25.45323741 32.54676259],0
b2,1,0.873512,0.025345,[13 36] ; [ 9 27],[12.68235294 36.31764706] ; [ 9.31764706 26.68235294],0
b3,1,0.873512,0.025345,[13 36] ; [ 9 27],[12.68235294 36.31764706] ; [ 9.31764706 26.68235294],0
v1,1,0.892344,0.018316,[30 51] ; [21 34],[30.375 50.625] ; [20.625 34.375],0
v2,1,0.894254,0.017669,[31 45] ; [21 32],[30.63565891 45.36434109] ; [21.36434109 31.63565891],0
a5,1,0.918515,0.010466,[53 29] ; [37 21],[52.71428571 29.28571429] ; [37.28571429 20.71428571],0
s2,1,0.920617,0.009931,[28 54] ; [19 38],[27.72661871 54.27338129] ; [19.27338129 37.72661871],0
p5,1,0.951886,0.003641,[ 3 78] ; [ 2 55],[ 2.93478261 78.06521739] ; [ 2.06521739 54.93478261],0
p10,1,0.957966,0.002778,[43 38] ; [30 27],[42.84782609 38.15217391] ; [30.15217391 26.84782609],0
a7,1,0.967049,0.001706,[54 28] ; [38 20],[53.88571429 28.11428571] ; [38.11428571 19.88571429],0
r2,1,0.997243,1.2e-05,[68 13] ; [47  9],[67.99270073 13.00729927] ; [47.00729927  8.99270073],0
