Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000169,14.148082,[9 7] ; [18 97],[ 3.29770992 12.70229008] ; [23.70229008 91.29770992],1
p8,1,0.001132,10.597403,[12  5] ; [36 83],[ 6. 11.] ; [42. 77.],0
p6,1,0.00523,7.798154,[8 7] ; [24 93],[ 3.63636364 11.36363636] ; [28.36363636 88.63636364],0
s6,1,0.008536,6.917388,[10  7] ; [33 88],[ 5.29710145 11.70289855] ; [37.70289855 83.29710145],0
p11,1,0.019676,5.440373,[15  2] ; [72 50],[10.64028777  6.35971223] ; [76.35971223 45.64028777],0
p7,1,0.02495,5.027377,[12  5] ; [50 70],[7.69343066 9.30656934] ; [54.30656934 65.69343066],0
v3,1,0.035467,4.422546,[8 9] ; [28 93],[ 4.43478261 12.56521739] ; [31.56521739 89.43478261],0
b5,1,0.047472,3.928579,[ 6 11] ; [74 48],[9.78417266 7.21582734] ; [70.21582734 51.78417266],0
r3,1,0.055296,3.673143,[16  1] ; [88 33],[12.8115942  4.1884058] ; [91.1884058 29.8115942],0
p12,1,0.056586,3.634713,[ 2 15] ; [  3 117],[ 0.62043796 16.37956204] ; [  4.37956204 115.62043796],0
p4,1,0.058173,3.588729,[10  7] ; [42 78],[ 6.45255474 10.54744526] ; [45.54744526 74.45255474],0
p3,1,0.059442,3.55289,[9 8] ; [36 84],[ 5.58394161 11.41605839] ; [39.41605839 80.58394161],0
r4,1,0.065199,3.399925,[12  5] ; [57 65],[8.43884892 8.56115108] ; [60.56115108 61.43884892],0
s3,1,0.082054,3.023746,[ 7 10] ; [26 93],[ 4.125 12.875] ; [28.875 90.125],0
s1,1,0.089013,2.892139,[ 2 14] ; [  4 118],[ 0.69565217 15.30434783] ; [  5.30434783 116.69565217],0
p10,1,0.115729,2.474192,[12  4] ; [64 54],[9.07462687 6.92537313] ; [66.92537313 51.07462687],0
p5,1,0.161863,1.956733,[ 3 14] ; [  9 112],[ 1.47826087 15.52173913] ; [ 10.52173913 110.47826087],0
b1,1,0.178591,1.809308,[ 5 12] ; [57 65],[7.58273381 9.41726619] ; [54.41726619 67.58273381],0
u2,1,0.19043,1.714286,[4 2] ; [21 33],[2.5 3.5] ; [22.5 31.5],0
v2,1,0.208502,1.581796,[8 9] ; [38 82],[ 5.7080292 11.2919708] ; [40.2919708 79.7080292],0
p2,1,0.21194,1.558128,[13  4] ; [73 47],[10.67153285  6.32846715] ; [75.32846715 44.67153285],0
u3,1,0.214429,1.541268,[3 3] ; [14 40],[1.7 4.3] ; [15.3 38.7],0
n6,1,0.2451,1.351021,[14  3] ; [83 38],[11.94927536  5.05072464] ; [85.05072464 35.94927536],0
d1,1,0.246271,1.344333,[8 9] ; [40 82],[ 5.8705036 11.1294964] ; [42.1294964 79.8705036],0
n3,1,0.32522,0.967837,[6 1] ; [31 15],[4.88679245 2.11320755] ; [32.11320755 13.88679245],0
v1,1,0.326046,0.964539,[ 7 10] ; [35 84],[ 5.25 11.75] ; [36.75 82.25],0
p1,1,0.330833,0.945634,[ 3 14] ; [ 12 110],[ 1.83453237 15.16546763] ; [ 13.16546763 108.83453237],0
n5,1,0.420954,0.647652,[10  7] ; [83 38],[11.45652174  5.54347826] ; [81.54347826 39.45652174],0
d4,1,0.429575,0.623974,[12  5] ; [74 48],[10.51798561  6.48201439] ; [75.48201439 46.51798561],0
a4,1,0.429888,0.623127,[ 4 13] ; [40 81],[ 5.42028986 11.57971014] ; [38.57971014 82.42028986],0
