Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.9e-05,17.511792,[11  4] ; [11 49],[ 4.4 10.6] ; [17.6 42.4],1
s2,1,0.013152,6.148484,[11  5] ; [21 40],[6.64935065 9.35064935] ; [25.35064935 35.64935065],0
p6,1,0.013393,6.116412,[8 8] ; [11 46],[ 4.16438356 11.83561644] ; [14.83561644 42.16438356],0
n6,1,0.014617,5.96209,[ 6 10] ; [43 18],[10.18181818  5.81818182] ; [38.81818182 22.18181818],0
s5,1,0.016354,5.764383,[8 7] ; [13 46],[ 4.25675676 10.74324324] ; [16.74324324 42.25675676],0
d1,1,0.030064,4.70563,[10  6] ; [20 41],[6.23376623 9.76623377] ; [23.76623377 37.23376623],0
d2,1,0.030064,4.70563,[10  6] ; [20 41],[6.23376623 9.76623377] ; [23.76623377 37.23376623],0
d4,1,0.043228,4.086473,[15  1] ; [42 19],[11.84415584  4.15584416] ; [45.15584416 15.84415584],0
n4,1,0.070085,3.281024,[ 2 14] ; [22 39],[ 4.98701299 11.01298701] ; [19.01298701 41.98701299],0
r2,1,0.07424,3.186692,[14  1] ; [42 17],[11.35135135  3.64864865] ; [44.64864865 14.35135135],0
n1,1,0.074247,3.186532,[4 6] ; [ 2 16],[2.14285714 7.85714286] ; [ 3.85714286 14.14285714],0
d5,1,0.089718,2.879417,[13  2] ; [39 22],[10.26315789  4.73684211] ; [41.73684211 19.26315789],0
p11,1,0.096878,2.756198,[ 6 10] ; [37 24],[8.93506494 7.06493506] ; [34.06493506 26.93506494],0
s6,1,0.107775,2.586555,[10  6] ; [24 36],[7.15789474 8.84210526] ; [26.84210526 33.15789474],0
s3,1,0.114331,2.493308,[9 7] ; [20 38],[6.27027027 9.72972973] ; [22.72972973 35.27027027],0
b2,1,0.114632,2.489177,[6 5] ; [10 25],[3.82608696 7.17391304] ; [12.17391304 22.82608696],0
b3,1,0.114632,2.489177,[6 5] ; [10 25],[3.82608696 7.17391304] ; [12.17391304 22.82608696],0
p1,1,0.137517,2.205521,[ 3 13] ; [ 4 56],[ 1.47368421 14.52631579] ; [ 5.52631579 54.47368421],0
p3,1,0.173369,1.853565,[8 8] ; [19 41],[ 5.68421053 10.31578947] ; [21.31578947 38.68421053],0
s8,1,0.181268,1.787201,[ 6 10] ; [13 48],[ 3.94805195 12.05194805] ; [15.05194805 45.94805195],0
a7,1,0.31428,1.012605,[8 7] ; [41 20],[9.67105263 5.32894737] ; [39.32894737 21.67105263],0
a6,1,0.342546,0.900878,[ 6 10] ; [31 30],[7.68831169 8.31168831] ; [29.31168831 31.68831169],0
d3,1,0.361813,0.83159,[11  4] ; [37 24],[9.47368421 5.52631579] ; [38.52631579 22.47368421],0
p2,1,0.365345,0.819436,[9 7] ; [41 19],[10.52631579  5.47368421] ; [39.47368421 20.52631579],0
p10,1,0.375288,0.786081,[10  6] ; [29 29],[8.43243243 7.56756757] ; [30.56756757 27.43243243],0
n3,1,0.3869,0.748663,[5 5] ; [12  6],[6.07142857 3.92857143] ; [10.92857143  7.07142857],0
b5,1,0.413374,0.669075,[9 7] ; [41 20],[10.38961039  5.61038961] ; [39.61038961 21.38961039],0
b1,1,0.460871,0.543778,[9 7] ; [28 33],[7.68831169 8.31168831] ; [29.31168831 31.68831169],0
b4,1,0.472795,0.515437,[10  6] ; [32 29],[8.72727273 7.27272727] ; [33.27272727 27.72727273],0
a3,1,0.512324,0.429318,[10  6] ; [32 28],[8.84210526 7.15789474] ; [33.15789474 26.84210526],0
p4,1,0.522055,0.409831,[ 5 11] ; [24 36],[6.10526316 9.89473684] ; [22.89473684 37.10526316],0
v1,1,0.579423,0.307168,[ 4 12] ; [19 40],[ 4.90666667 11.09333333] ; [18.09333333 40.90666667],0
a4,1,0.588693,0.29239,[ 5 11] ; [15 46],[ 4.15584416 11.84415584] ; [15.84415584 45.15584416],0
r3,1,0.599,0.276506,[14  2] ; [50 11],[13.2987013  2.7012987] ; [50.7012987 10.2987013],0
n2,1,0.638101,0.221235,[7 3] ; [11  7],[6.42857143 3.57142857] ; [11.57142857  6.42857143],0
v3,1,0.679095,0.171146,[ 4 11] ; [13 47],[ 3.4 11.6] ; [13.6 46.4],0
r4,1,0.698786,0.149738,[9 7] ; [31 30],[8.31168831 7.68831169] ; [31.68831169 29.31168831],0
v2,1,0.719374,0.129093,[ 5 11] ; [22 39],[ 5.61038961 10.38961039] ; [21.38961039 39.61038961],0
p9,1,0.751565,0.10022,[9 6] ; [38 21],[9.52702703 5.47297297] ; [37.47297297 21.52702703],0
a1,1,0.795971,0.066856,[ 1 15] ; [ 5 56],[ 1.24675325 14.75324675] ; [ 4.75324675 56.24675325],0
p8,1,0.809894,0.05787,[ 5 10] ; [22 38],[5.4 9.6] ; [21.6 38.4],0
p7,1,0.817345,0.053343,[8 7] ; [30 30],[7.6 7.4] ; [30.4 29.6],0
u1,1,0.830793,0.045661,[ 1 15] ; [ 3 58],[ 0.83116883 15.16883117] ; [ 3.16883117 57.83116883],0
a5,1,0.841598,0.03994,[7 9] ; [25 36],[6.64935065 9.35064935] ; [25.35064935 35.64935065],0
v4,1,0.844114,0.038665,[13  3] ; [50 10],[13.26315789  2.73684211] ; [49.73684211 10.26315789],0
s1,1,0.964577,0.001972,[ 1 15] ; [ 4 57],[ 1.03896104 14.96103896] ; [ 3.96103896 57.03896104],0
