Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6.6e-05,15.909375,[26 20] ; [63  8],[34.99145299 11.00854701] ; [54.00854701 16.99145299],1
p10,1,0.00012,14.791125,[17 26] ; [53 17],[26.63716814 16.36283186] ; [43.36283186 26.63716814],1
v4,1,0.002378,9.232054,[33 13] ; [64  5],[38.8  7.2] ; [58.2 10.8],0
n3,1,0.002608,9.062937,[12 10] ; [24  2],[16.5  5.5] ; [19.5  6.5],0
p2,1,0.002839,8.908117,[24 23] ; [55 16],[31.46610169 15.53389831] ; [47.53389831 23.46610169],0
r4,1,0.007232,7.214532,[24 23] ; [54 18],[30.80672269 16.19327731] ; [47.19327731 24.80672269],0
n2,1,0.015246,5.887841,[14 10] ; [23  3],[17.76  6.24] ; [19.24  6.76],0
p9,1,0.022529,5.20447,[22 21] ; [52 20],[27.66956522 15.33043478] ; [46.33043478 25.66956522],0
s6,1,0.022619,5.197532,[16 30] ; [40 31],[22.01709402 23.98290598] ; [33.98290598 37.01709402],0
n6,1,0.023286,5.14703,[26 20] ; [55 17],[31.57627119 14.42372881] ; [49.42372881 22.57627119],0
b4,1,0.032605,4.566387,[18 29] ; [42 30],[23.69747899 23.30252101] ; [36.30252101 35.69747899],0
b1,1,0.037008,4.350056,[24 23] ; [23 49],[18.56302521 28.43697479] ; [28.43697479 43.56302521],0
b2,1,0.051856,3.780403,[ 9 15] ; [ 6 32],[ 5.80645161 18.19354839] ; [ 9.19354839 28.80645161],0
b3,1,0.051856,3.780403,[ 9 15] ; [ 6 32],[ 5.80645161 18.19354839] ; [ 9.19354839 28.80645161],0
r1,1,0.092904,2.823329,[21 24] ; [45 27],[25.38461538 19.61538462] ; [40.61538462 31.38461538],0
v2,1,0.094638,2.793651,[10 34] ; [25 41],[14. 30.] ; [21. 45.],0
p7,1,0.111348,2.534979,[16 29] ; [35 34],[20.13157895 24.86842105] ; [30.86842105 38.13157895],0
p1,1,0.167155,1.908276,[ 7 40] ; [ 5 66],[ 4.77966102 42.22033898] ; [ 7.22033898 63.77966102],0
v1,1,0.179267,1.803693,[15 32] ; [31 39],[18.47863248 28.52136752] ; [27.52136752 42.47863248],0
p8,1,0.188144,1.732095,[12 33] ; [27 43],[15.26086957 29.73913043] ; [23.73913043 46.26086957],0
u2,1,0.205386,1.603652,[ 8 18] ; [19 22],[10.47761194 15.52238806] ; [16.52238806 24.47761194],0
u3,1,0.205386,1.603652,[ 8 18] ; [19 22],[10.47761194 15.52238806] ; [16.52238806 24.47761194],0
s3,1,0.21761,1.520064,[17 29] ; [34 36],[20.22413793 25.77586207] ; [30.77586207 39.22413793],0
b5,1,0.217694,1.519509,[22 25] ; [42 30],[25.27731092 21.72268908] ; [38.72268908 33.27731092],0
s2,1,0.258914,1.274553,[14 33] ; [28 42],[16.87179487 30.12820513] ; [25.12820513 44.87179487],0
n5,1,0.274552,1.193864,[35 11] ; [48 24],[32.3559322 13.6440678] ; [50.6440678 21.3559322],0
s1,1,0.303731,1.057741,[ 5 40] ; [ 4 65],[ 3.55263158 41.44736842] ; [ 5.44736842 63.55263158],0
a6,1,0.31167,1.023584,[21 26] ; [39 33],[23.69747899 23.30252101] ; [36.30252101 35.69747899],0
a8,1,0.360661,0.83559,[ 7 35] ; [ 7 59],[ 5.44444444 36.55555556] ; [ 8.55555556 57.44444444],0
v3,1,0.367619,0.811697,[12 32] ; [14 56],[10.03508772 33.96491228] ; [15.96491228 54.03508772],0
d5,1,0.420789,0.648112,[17 29] ; [32 40],[19.10169492 26.89830508] ; [29.89830508 42.10169492],0
d3,1,0.420896,0.647812,[15 30] ; [19 53],[13.07692308 31.92307692] ; [20.92307692 51.07692308],0
r2,1,0.432371,0.616447,[37  9] ; [61 10],[38.52991453  7.47008547] ; [59.47008547 11.52991453],0
n1,1,0.457807,0.55125,[ 9 15] ; [12 13],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
p12,1,0.559632,0.340341,[ 1 45] ; [ 3 69],[ 1.55932203 44.44067797] ; [ 2.44067797 69.55932203],0
s4,1,0.581541,0.303749,[ 8 39] ; [15 56],[ 9.16101695 37.83898305] ; [13.83898305 57.16101695],0
n4,1,0.647608,0.208929,[30 15] ; [45 27],[28.84615385 16.15384615] ; [46.15384615 25.84615385],0
p6,1,0.659335,0.194332,[ 8 37] ; [15 56],[ 8.92241379 36.07758621] ; [14.07758621 56.92241379],0
d2,1,0.687458,0.161851,[ 9 38] ; [16 56],[ 9.87394958 37.12605042] ; [15.12605042 56.87394958],0
a3,1,0.702145,0.14625,[21 24] ; [31 41],[20. 25.] ; [32. 40.],0
s5,1,0.725893,0.122916,[ 8 38] ; [14 56],[ 8.72413793 37.27586207] ; [13.27586207 56.72413793],0
s8,1,0.787077,0.072958,[12 35] ; [20 52],[12.63865546 34.36134454] ; [19.36134454 52.63865546],0
a7,1,0.792453,0.069236,[23 22] ; [35 37],[22.30769231 22.69230769] ; [35.69230769 36.30769231],0
u1,1,0.824974,0.048908,[ 1 46] ; [ 2 70],[ 1.18487395 45.81512605] ; [ 1.81512605 70.18487395],0
d1,1,0.824974,0.048908,[ 1 46] ; [ 2 70],[ 1.18487395 45.81512605] ; [ 1.81512605 70.18487395],0
a4,1,0.838105,0.041746,[ 9 37] ; [15 56],[ 9.43589744 36.56410256] ; [14.56410256 56.43589744],0
s7,1,0.867091,0.028008,[14 30] ; [23 46],[14.40707965 29.59292035] ; [22.59292035 46.40707965],0
a2,1,0.904827,0.014296,[ 3 44] ; [ 5 67],[ 3.15966387 43.84033613] ; [ 4.84033613 67.15966387],0
a5,1,0.916928,0.010879,[22 25] ; [33 39],[21.72268908 25.27731092] ; [33.27731092 38.72268908],0
p4,1,0.942102,0.005275,[14 33] ; [21 51],[13.82352941 33.17647059] ; [21.17647059 50.82352941],0
p5,1,0.95485,0.003205,[ 2 43] ; [ 3 68],[ 1.93965517 43.06034483] ; [ 3.06034483 67.93965517],0
